,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3
1,0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,audio_features,1a2iF9XymafjRk56q7oCxo,spotify:track:1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo,219587,4
2,0.518,0.376,9,-18.248,0,0.0431,0.933,0.86,0.0976,0.744,158.089,audio_features,4qYHnP5AmKzXbJhciPV8si,spotify:track:4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/tracks/4qYHnP5AmKzXbJhciPV8si,https://api.spotify.com/v1/audio-analysis/4qYHnP5AmKzXbJhciPV8si,233560,4
3,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
4,0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,audio_features,2Mr1bGI2E10K7Mt1UJZ6Mw,spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw,152351,4
5,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,audio_features,3XxBSvDZKH5YvZZjTpn6eR,spotify:track:3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/tracks/3XxBSvDZKH5YvZZjTpn6eR,https://api.spotify.com/v1/audio-analysis/3XxBSvDZKH5YvZZjTpn6eR,230360,4
6,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,audio_features,3ocm1Cf1Dk1ODrdBdybh82,spotify:track:3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/tracks/3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/audio-analysis/3ocm1Cf1Dk1ODrdBdybh82,169998,4
7,0.676,0.334,5,-10.572,1,0.0508,0.862,0.0,0.32,0.867,158.0,audio_features,4KMXlzvtC8xjLseDqDjpeU,spotify:track:4KMXlzvtC8xjLseDqDjpeU,https://api.spotify.com/v1/tracks/4KMXlzvtC8xjLseDqDjpeU,https://api.spotify.com/v1/audio-analysis/4KMXlzvtC8xjLseDqDjpeU,162040,4
8,0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,audio_features,2wnjZXcAT3rCjjqxLeHjv7,spotify:track:2wnjZXcAT3rCjjqxLeHjv7,https://api.spotify.com/v1/tracks/2wnjZXcAT3rCjjqxLeHjv7,https://api.spotify.com/v1/audio-analysis/2wnjZXcAT3rCjjqxLeHjv7,204333,4
9,0.56,0.241,4,-15.385,0,0.0314,0.593,0.195,0.122,0.341,79.537,audio_features,5x7Oxaa9EEIx9nw17CC5yW,spotify:track:5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/tracks/5x7Oxaa9EEIx9nw17CC5yW,https://api.spotify.com/v1/audio-analysis/5x7Oxaa9EEIx9nw17CC5yW,293733,4
10,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,audio_features,3KSchPNSklO5McIqRH3qYX,spotify:track:3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/tracks/3KSchPNSklO5McIqRH3qYX,https://api.spotify.com/v1/audio-analysis/3KSchPNSklO5McIqRH3qYX,238533,3
11,0.601,0.19,5,-18.675,1,0.061,0.507,5.49e-05,0.18,0.656,202.294,audio_features,6iQ0OIxisPxhzEICEXtaWS,spotify:track:6iQ0OIxisPxhzEICEXtaWS,https://api.spotify.com/v1/tracks/6iQ0OIxisPxhzEICEXtaWS,https://api.spotify.com/v1/audio-analysis/6iQ0OIxisPxhzEICEXtaWS,167360,3
12,0.572,0.348,0,-13.454,1,0.0294,0.44,0.000721,0.235,0.34,73.304,audio_features,5MTsZG10E0hTvAkdioyPnw,spotify:track:5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/tracks/5MTsZG10E0hTvAkdioyPnw,https://api.spotify.com/v1/audio-analysis/5MTsZG10E0hTvAkdioyPnw,275267,4
13,0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,audio_features,4Gia17DzXBhYFbYiJj6SyW,spotify:track:4Gia17DzXBhYFbYiJj6SyW,https://api.spotify.com/v1/tracks/4Gia17DzXBhYFbYiJj6SyW,https://api.spotify.com/v1/audio-analysis/4Gia17DzXBhYFbYiJj6SyW,147800,4
