,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,0FDzzruyVECATHXKHFs9eJ,spotify:track:0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,267867,4
1,0.35,0.572,5,-8.399,1,0.0253,0.0222,0.0214,0.146,0.109,93.013,audio_features,1byIZa6CFerX5WXShwqAvf,spotify:track:1byIZa6CFerX5WXShwqAvf,https://api.spotify.com/v1/tracks/1byIZa6CFerX5WXShwqAvf,https://api.spotify.com/v1/audio-analysis/1byIZa6CFerX5WXShwqAvf,235343,4
2,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,audio_features,2U8g9wVcUu9wsg6i7sFSv8,spotify:track:2U8g9wVcUu9wsg6i7sFSv8,https://api.spotify.com/v1/tracks/2U8g9wVcUu9wsg6i7sFSv8,https://api.spotify.com/v1/audio-analysis/2U8g9wVcUu9wsg6i7sFSv8,240796,4
3,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,audio_features,69uxyAqqPIsUyTO8txoP2M,spotify:track:69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/tracks/69uxyAqqPIsUyTO8txoP2M,https://api.spotify.com/v1/audio-analysis/69uxyAqqPIsUyTO8txoP2M,263787,4
4,0.651,0.055,5,-30.019,1,0.0596,0.991,0.863,0.107,0.219,134.994,audio_features,0t2CP0Yu0aouFLmhxXRptF,spotify:track:0t2CP0Yu0aouFLmhxXRptF,https://api.spotify.com/v1/tracks/0t2CP0Yu0aouFLmhxXRptF,https://api.spotify.com/v1/audio-analysis/0t2CP0Yu0aouFLmhxXRptF,140037,4
5,0.507,0.304,0,-11.096,1,0.0278,0.845,1.03e-05,0.0741,0.195,112.371,audio_features,5zyfzNnBzN7f7PVkJFnW2g,spotify:track:5zyfzNnBzN7f7PVkJFnW2g,https://api.spotify.com/v1/tracks/5zyfzNnBzN7f7PVkJFnW2g,https://api.spotify.com/v1/audio-analysis/5zyfzNnBzN7f7PVkJFnW2g,239767,3
6,0.202,0.733,7,-7.599,1,0.0446,0.0427,0.696,0.243,0.0728,118.217,audio_features,1s1ESNQbXUdjcZz4Rptfbh,spotify:track:1s1ESNQbXUdjcZz4Rptfbh,https://api.spotify.com/v1/tracks/1s1ESNQbXUdjcZz4Rptfbh,https://api.spotify.com/v1/audio-analysis/1s1ESNQbXUdjcZz4Rptfbh,411013,4
7,0.418,0.0237,11,-31.909,1,0.0378,0.642,0.879,0.111,0.0903,84.987,audio_features,2ahDQdmSi3iA852A6Wm5Dc,spotify:track:2ahDQdmSi3iA852A6Wm5Dc,https://api.spotify.com/v1/tracks/2ahDQdmSi3iA852A6Wm5Dc,https://api.spotify.com/v1/audio-analysis/2ahDQdmSi3iA852A6Wm5Dc,112582,4
8,0.42,0.69,9,-6.221,0,0.0347,0.00385,0.015,0.287,0.237,85.014,audio_features,4HXOBjwv2RnLpGG4xWOO6N,spotify:track:4HXOBjwv2RnLpGG4xWOO6N,https://api.spotify.com/v1/tracks/4HXOBjwv2RnLpGG4xWOO6N,https://api.spotify.com/v1/audio-analysis/4HXOBjwv2RnLpGG4xWOO6N,239216,4
9,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,4zOfy9kqJlG0ZXvcaSh4gv,spotify:track:4zOfy9kqJlG0ZXvcaSh4gv,https://api.spotify.com/v1/tracks/4zOfy9kqJlG0ZXvcaSh4gv,https://api.spotify.com/v1/audio-analysis/4zOfy9kqJlG0ZXvcaSh4gv,242373,4
10,0.676,0.0657,0,-13.037,0,0.0463,0.766,0.903,0.124,0.168,130.013,audio_features,6aYRAslAgrIHPdLrBBCZ3G,spotify:track:6aYRAslAgrIHPdLrBBCZ3G,https://api.spotify.com/v1/tracks/6aYRAslAgrIHPdLrBBCZ3G,https://api.spotify.com/v1/audio-analysis/6aYRAslAgrIHPdLrBBCZ3G,175192,4
11,0.482,0.573,11,-7.966,1,0.028,0.00376,0.077,0.123,0.184,119.991,audio_features,0fQuzbQNLcD1ofo7B2NcFI,spotify:track:0fQuzbQNLcD1ofo7B2NcFI,https://api.spotify.com/v1/tracks/0fQuzbQNLcD1ofo7B2NcFI,https://api.spotify.com/v1/audio-analysis/0fQuzbQNLcD1ofo7B2NcFI,246000,4
12,0.359,0.779,7,-7.52,1,0.0412,0.0057,0.837,0.379,0.582,86.951,audio_features,1QHphxPdPZPtYeXKY3abJp,spotify:track:1QHphxPdPZPtYeXKY3abJp,https://api.spotify.com/v1/tracks/1QHphxPdPZPtYeXKY3abJp,https://api.spotify.com/v1/audio-analysis/1QHphxPdPZPtYeXKY3abJp,236213,4
13,0.58,0.284,5,-17.927,0,0.029,0.87,0.859,0.0812,0.147,125.034,audio_features,413H9xim8lpAPrKzJilUwU,spotify:track:413H9xim8lpAPrKzJilUwU,https://api.spotify.com/v1/tracks/413H9xim8lpAPrKzJilUwU,https://api.spotify.com/v1/audio-analysis/413H9xim8lpAPrKzJilUwU,109457,4
