,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.763,0.777,5,-6.932,0,0.0364,0.281,0.79,0.134,0.929,124.431,audio_features,3WMbD1OyfKuwWDWMNbPQ4g,spotify:track:3WMbD1OyfKuwWDWMNbPQ4g,https://api.spotify.com/v1/tracks/3WMbD1OyfKuwWDWMNbPQ4g,https://api.spotify.com/v1/audio-analysis/3WMbD1OyfKuwWDWMNbPQ4g,208600,4
1,0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,audio_features,6Lphpr9Z6H282Sguw0dUWa,spotify:track:6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/tracks/6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/audio-analysis/6Lphpr9Z6H282Sguw0dUWa,215693,4
2,0.872,0.946,4,-3.105,1,0.0656,0.0502,0.0161,0.298,0.943,119.01,audio_features,1HRtVWNhS9tEvDQyOKD9Fs,spotify:track:1HRtVWNhS9tEvDQyOKD9Fs,https://api.spotify.com/v1/tracks/1HRtVWNhS9tEvDQyOKD9Fs,https://api.spotify.com/v1/audio-analysis/1HRtVWNhS9tEvDQyOKD9Fs,236440,4
3,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,audio_features,2grjqo0Frpf2okIBiifQKs,spotify:track:2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/tracks/2grjqo0Frpf2okIBiifQKs,https://api.spotify.com/v1/audio-analysis/2grjqo0Frpf2okIBiifQKs,215093,4
4,0.723,0.969,6,-4.516,1,0.142,0.0643,0.0,0.115,0.728,126.653,audio_features,54OR1VDpfkBuOY5zZjhZAY,spotify:track:54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/tracks/54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/audio-analysis/54OR1VDpfkBuOY5zZjhZAY,286800,4
5,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,audio_features,3XIEWK1V9n25PS9Vb6axj5,spotify:track:3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/tracks/3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/audio-analysis/3XIEWK1V9n25PS9Vb6axj5,188133,4
6,0.812,0.879,1,-10.998,0,0.0397,0.017,0.224,0.365,0.962,129.991,audio_features,5ZrDlcxIDZyjOzHdYW1ydr,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,https://api.spotify.com/v1/tracks/5ZrDlcxIDZyjOzHdYW1ydr,https://api.spotify.com/v1/audio-analysis/5ZrDlcxIDZyjOzHdYW1ydr,197960,4
7,0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
8,0.835,0.679,5,-10.539,0,0.0322,0.137,0.476,0.0611,0.936,119.862,audio_features,1uI848raFaNWwe9HjHpjQ5,spotify:track:1uI848raFaNWwe9HjHpjQ5,https://api.spotify.com/v1/tracks/1uI848raFaNWwe9HjHpjQ5,https://api.spotify.com/v1/audio-analysis/1uI848raFaNWwe9HjHpjQ5,234813,4
9,0.787,0.917,0,-7.695,1,0.0406,0.0255,0.00628,0.05,0.965,120.465,audio_features,1h8cxttp9L7oLTctzleZf5,spotify:track:1h8cxttp9L7oLTctzleZf5,https://api.spotify.com/v1/tracks/1h8cxttp9L7oLTctzleZf5,https://api.spotify.com/v1/audio-analysis/1h8cxttp9L7oLTctzleZf5,229027,4
