,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.518,0.908,0,-6.478,0,0.0412,0.155,0.618,0.219,0.174,128.015,audio_features,1PZeAjfBkRX2J7bN5o1KQ1,spotify:track:1PZeAjfBkRX2J7bN5o1KQ1,https://api.spotify.com/v1/tracks/1PZeAjfBkRX2J7bN5o1KQ1,https://api.spotify.com/v1/audio-analysis/1PZeAjfBkRX2J7bN5o1KQ1,204120,4
1,0.543,0.705,11,-5.779,1,0.0296,0.00251,0.0341,0.21,0.163,119.942,audio_features,12oxsGACfwMozi4nK9noGQ,spotify:track:12oxsGACfwMozi4nK9noGQ,https://api.spotify.com/v1/tracks/12oxsGACfwMozi4nK9noGQ,https://api.spotify.com/v1/audio-analysis/12oxsGACfwMozi4nK9noGQ,242293,4
2,0.606,0.855,1,-8.923,1,0.0383,0.447,0.889,0.082,0.422,142.026,audio_features,098PU9y0wA153H6UI36uMy,spotify:track:098PU9y0wA153H6UI36uMy,https://api.spotify.com/v1/tracks/098PU9y0wA153H6UI36uMy,https://api.spotify.com/v1/audio-analysis/098PU9y0wA153H6UI36uMy,209577,3
3,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,audio_features,0yljUudXzjVcGEoYmLB17X,spotify:track:0yljUudXzjVcGEoYmLB17X,https://api.spotify.com/v1/tracks/0yljUudXzjVcGEoYmLB17X,https://api.spotify.com/v1/audio-analysis/0yljUudXzjVcGEoYmLB17X,255320,4
4,0.78,0.583,11,-9.111,1,0.072,0.108,0.731,0.124,0.326,123.975,audio_features,6Lmx1AyfNlmOVCW2Sxisnk,spotify:track:6Lmx1AyfNlmOVCW2Sxisnk,https://api.spotify.com/v1/tracks/6Lmx1AyfNlmOVCW2Sxisnk,https://api.spotify.com/v1/audio-analysis/6Lmx1AyfNlmOVCW2Sxisnk,158710,4
5,0.555,0.806,0,-5.589,1,0.0268,0.0132,0.372,0.16,0.103,98.575,audio_features,5cjRF0yXxYvqzmJfUbq9AW,spotify:track:5cjRF0yXxYvqzmJfUbq9AW,https://api.spotify.com/v1/tracks/5cjRF0yXxYvqzmJfUbq9AW,https://api.spotify.com/v1/audio-analysis/5cjRF0yXxYvqzmJfUbq9AW,258009,4
6,0.867,0.681,1,-5.702,0,0.051,0.0858,0.304,0.0822,0.0789,129.001,audio_features,22hOKPKTAegLoLJKM33K4a,spotify:track:22hOKPKTAegLoLJKM33K4a,https://api.spotify.com/v1/tracks/22hOKPKTAegLoLJKM33K4a,https://api.spotify.com/v1/audio-analysis/22hOKPKTAegLoLJKM33K4a,256744,4
7,0.604,0.849,8,-6.069,1,0.0418,0.00264,0.884,0.112,0.284,125.022,audio_features,1GBBbKOarAJ38HwIfLcOji,spotify:track:1GBBbKOarAJ38HwIfLcOji,https://api.spotify.com/v1/tracks/1GBBbKOarAJ38HwIfLcOji,https://api.spotify.com/v1/audio-analysis/1GBBbKOarAJ38HwIfLcOji,186240,4
8,0.497,0.651,7,-4.93,1,0.0322,0.000603,0.000531,0.0723,0.109,119.886,audio_features,3xd4GVGAuzJGdVZLEKvWea,spotify:track:3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/tracks/3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/audio-analysis/3xd4GVGAuzJGdVZLEKvWea,148000,4
9,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,audio_features,0AUyNF6iFxMNQsNx2nhtrw,spotify:track:0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/tracks/0AUyNF6iFxMNQsNx2nhtrw,https://api.spotify.com/v1/audio-analysis/0AUyNF6iFxMNQsNx2nhtrw,216721,4
