,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.738,0.855,6,-4.676,1,0.217,0.0711,0.00871,0.0675,0.678,82.947,audio_features,2ZnoE0ZLeef18edKKgM3v5,spotify:track:2ZnoE0ZLeef18edKKgM3v5,https://api.spotify.com/v1/tracks/2ZnoE0ZLeef18edKKgM3v5,https://api.spotify.com/v1/audio-analysis/2ZnoE0ZLeef18edKKgM3v5,292427,4
1,0.78,0.378,7,-11.48,1,0.465,0.198,0.0,0.0782,0.577,94.897,audio_features,5H4PU7wBIXL259apGjSpOr,spotify:track:5H4PU7wBIXL259apGjSpOr,https://api.spotify.com/v1/tracks/5H4PU7wBIXL259apGjSpOr,https://api.spotify.com/v1/audio-analysis/5H4PU7wBIXL259apGjSpOr,317800,4
2,0.888,0.702,0,-4.059,0,0.209,0.00358,0.0,0.0358,0.754,97.954,audio_features,3qA9K2uI9v3lxq9ZFFtOmN,spotify:track:3qA9K2uI9v3lxq9ZFFtOmN,https://api.spotify.com/v1/tracks/3qA9K2uI9v3lxq9ZFFtOmN,https://api.spotify.com/v1/audio-analysis/3qA9K2uI9v3lxq9ZFFtOmN,242573,4
3,0.595,0.932,0,-6.015,0,0.714,0.0318,6.16e-06,0.0916,0.221,178.817,audio_features,4ACru9MPI6lgmRg7lbMPoK,spotify:track:4ACru9MPI6lgmRg7lbMPoK,https://api.spotify.com/v1/tracks/4ACru9MPI6lgmRg7lbMPoK,https://api.spotify.com/v1/audio-analysis/4ACru9MPI6lgmRg7lbMPoK,861440,4
4,0.603,0.839,10,-8.94,0,0.289,0.0135,0.0,0.338,0.763,95.829,audio_features,1SKhE8yTMuGrTLte0os673,spotify:track:1SKhE8yTMuGrTLte0os673,https://api.spotify.com/v1/tracks/1SKhE8yTMuGrTLte0os673,https://api.spotify.com/v1/audio-analysis/1SKhE8yTMuGrTLte0os673,241733,4
5,0.687,0.698,11,-7.91,1,0.289,0.0247,0.00829,0.107,0.158,139.934,audio_features,5Ikevz4MPaklyZ3JSOA0XV,spotify:track:5Ikevz4MPaklyZ3JSOA0XV,https://api.spotify.com/v1/tracks/5Ikevz4MPaklyZ3JSOA0XV,https://api.spotify.com/v1/audio-analysis/5Ikevz4MPaklyZ3JSOA0XV,175907,4
6,0.915,0.589,5,-6.128,0,0.263,0.0751,0.0,0.168,0.539,143.996,audio_features,3TvRxw9Swvz6J6sQP7Lbe4,spotify:track:3TvRxw9Swvz6J6sQP7Lbe4,https://api.spotify.com/v1/tracks/3TvRxw9Swvz6J6sQP7Lbe4,https://api.spotify.com/v1/audio-analysis/3TvRxw9Swvz6J6sQP7Lbe4,126744,4
7,0.627,0.523,4,-10.314,0,0.179,0.548,0.0002,0.135,0.285,140.009,audio_features,5n7XAUhSoopl3Py4FWyogH,spotify:track:5n7XAUhSoopl3Py4FWyogH,https://api.spotify.com/v1/tracks/5n7XAUhSoopl3Py4FWyogH,https://api.spotify.com/v1/audio-analysis/5n7XAUhSoopl3Py4FWyogH,129148,4
8,0.744,0.613,4,-6.381,0,0.197,0.022,0.0,0.125,0.257,92.998,audio_features,52XyND8DWWWoySUMen6NBF,spotify:track:52XyND8DWWWoySUMen6NBF,https://api.spotify.com/v1/tracks/52XyND8DWWWoySUMen6NBF,https://api.spotify.com/v1/audio-analysis/52XyND8DWWWoySUMen6NBF,260688,4
9,0.846,0.631,8,-6.853,0,0.163,0.0536,1.9e-05,0.16,0.501,114.028,audio_features,07riqvl5AeIHpeUPV6fLro,spotify:track:07riqvl5AeIHpeUPV6fLro,https://api.spotify.com/v1/tracks/07riqvl5AeIHpeUPV6fLro,https://api.spotify.com/v1/audio-analysis/07riqvl5AeIHpeUPV6fLro,145974,4
