,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,audio_features,6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,222000,4
1,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4
2,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK,https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK,172798,4
3,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
4,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,audio_features,7iUtQNMRB8ZkKC4AmEuCJC,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/tracks/7iUtQNMRB8ZkKC4AmEuCJC,https://api.spotify.com/v1/audio-analysis/7iUtQNMRB8ZkKC4AmEuCJC,174230,4
5,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,audio_features,5bi0gh89wRuH2OgjdAKFsb,spotify:track:5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/audio-analysis/5bi0gh89wRuH2OgjdAKFsb,193039,4
6,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,audio_features,6XbtvPmIpyCbjuT0e8cQtp,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/tracks/6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/audio-analysis/6XbtvPmIpyCbjuT0e8cQtp,186000,4
7,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842,audio_features,0R6NfOiLzLj4O5VbYSJAjf,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf,https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf,172264,3
8,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,audio_features,6uIIdjYTxxpWOyWuVXrKQO,spotify:track:6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO,https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO,191467,3
9,0.794,0.729,4,-5.424,0,0.111,0.181,0.0,0.105,0.54,92.967,audio_features,7s4emXHJwAuo5VvGBXmnBL,spotify:track:7s4emXHJwAuo5VvGBXmnBL,https://api.spotify.com/v1/tracks/7s4emXHJwAuo5VvGBXmnBL,https://api.spotify.com/v1/audio-analysis/7s4emXHJwAuo5VvGBXmnBL,201936,4
10,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,spotify:track:54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4
11,0.728,0.589,7,-7.115,1,0.0376,0.424,7.78e-06,0.166,0.767,77.475,audio_features,6RcAHyC5sAUIbPTkhOQwd8,spotify:track:6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8,https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8,179013,4
12,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,audio_features,7ABLbnD53cQK00mhcaOUVG,spotify:track:7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG,197920,4
13,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,audio_features,0O3U5iwTbiXCREMkvotJuN,spotify:track:0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN,165848,4
14,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,audio_features,2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4
15,0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,audio_features,7mXuWTczZNxG5EDcjFEuJR,spotify:track:7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR,https://api.spotify.com/v1/audio-analysis/7mXuWTczZNxG5EDcjFEuJR,212878,3
16,0.725,0.801,4,-6.544,1,0.0372,0.0333,6.13e-06,0.156,0.642,135.162,audio_features,0lbDzTINTToToBpkrnQT2t,spotify:track:0lbDzTINTToToBpkrnQT2t,https://api.spotify.com/v1/tracks/0lbDzTINTToToBpkrnQT2t,https://api.spotify.com/v1/audio-analysis/0lbDzTINTToToBpkrnQT2t,279276,3
17,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,audio_features,5XVdHRf4CAJ2Jm0uMIy5qY,spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY,https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY,156346,4
18,0.85,0.562,5,-7.863,1,0.0724,0.169,3.23e-06,0.104,0.293,122.029,audio_features,4UkUxO2WlKLc0Q1iEutGGh,spotify:track:4UkUxO2WlKLc0Q1iEutGGh,https://api.spotify.com/v1/tracks/4UkUxO2WlKLc0Q1iEutGGh,https://api.spotify.com/v1/audio-analysis/4UkUxO2WlKLc0Q1iEutGGh,192787,4
19,0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,audio_features,4MjDJD8cW7iVeWInc2Bdyj,spotify:track:4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/tracks/4MjDJD8cW7iVeWInc2Bdyj,https://api.spotify.com/v1/audio-analysis/4MjDJD8cW7iVeWInc2Bdyj,267194,4
20,0.475,0.666,11,-4.962,0,0.0312,0.644,1.2e-05,0.0988,0.765,159.744,audio_features,6VsqdsaY4oV06NODea0L0J,spotify:track:6VsqdsaY4oV06NODea0L0J,https://api.spotify.com/v1/tracks/6VsqdsaY4oV06NODea0L0J,https://api.spotify.com/v1/audio-analysis/6VsqdsaY4oV06NODea0L0J,185208,4
21,0.695,0.592,5,-5.34,0,0.032,0.00449,0.000663,0.185,0.482,108.001,audio_features,6XaJfhwof7qIgbbXO5tIQI,spotify:track:6XaJfhwof7qIgbbXO5tIQI,https://api.spotify.com/v1/tracks/6XaJfhwof7qIgbbXO5tIQI,https://api.spotify.com/v1/audio-analysis/6XaJfhwof7qIgbbXO5tIQI,260371,4
22,0.714,0.537,3,-6.852,1,0.0429,0.233,0.0,0.0703,0.375,123.949,audio_features,0163eXbLwh5dFhKa73n9wG,spotify:track:0163eXbLwh5dFhKa73n9wG,https://api.spotify.com/v1/tracks/0163eXbLwh5dFhKa73n9wG,https://api.spotify.com/v1/audio-analysis/0163eXbLwh5dFhKa73n9wG,204800,3
23,0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,audio_features,4wS0TnQzVkY9ML1BPKpOk1,spotify:track:4wS0TnQzVkY9ML1BPKpOk1,https://api.spotify.com/v1/tracks/4wS0TnQzVkY9ML1BPKpOk1,https://api.spotify.com/v1/audio-analysis/4wS0TnQzVkY9ML1BPKpOk1,141079,4
24,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,05WVKTdZhlIMX4qqMLuo0f,spotify:track:05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f,https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f,197333,4
25,0.807,0.665,9,-6.961,0,0.0497,0.0185,0.0,0.118,0.864,127.909,audio_features,4t46soaqA758rbukTO5pp1,spotify:track:4t46soaqA758rbukTO5pp1,https://api.spotify.com/v1/tracks/4t46soaqA758rbukTO5pp1,https://api.spotify.com/v1/audio-analysis/4t46soaqA758rbukTO5pp1,188667,3
26,0.793,0.761,5,-5.482,0,0.11,0.067,0.0045,0.26,0.635,125.045,audio_features,6CvTEtGagmzQvkUzzyKR9k,spotify:track:6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k,https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k,143327,4
27,0.937,0.779,4,-3.539,0,0.329,0.22,6.85e-05,0.0408,0.95,128.028,audio_features,22jhscHs2DoVqKG5vKJytQ,spotify:track:22jhscHs2DoVqKG5vKJytQ,https://api.spotify.com/v1/tracks/22jhscHs2DoVqKG5vKJytQ,https://api.spotify.com/v1/audio-analysis/22jhscHs2DoVqKG5vKJytQ,155625,4
28,0.842,0.745,2,-4.231,0,0.0399,0.281,2.61e-05,0.118,0.53,122.06,audio_features,4nrPB8O7Y7wsOCJdgXkthe,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/tracks/4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,214945,4
29,0.793,0.476,5,-10.515,0,0.0406,0.132,0.0,0.115,0.578,129.992,audio_features,2TJKY0WSFufZOzbRNgl6zE,spotify:track:2TJKY0WSFufZOzbRNgl6zE,https://api.spotify.com/v1/tracks/2TJKY0WSFufZOzbRNgl6zE,https://api.spotify.com/v1/audio-analysis/2TJKY0WSFufZOzbRNgl6zE,194769,4
30,0.715,0.642,10,-7.492,0,0.0515,0.0687,0.0,0.0997,0.169,105.964,audio_features,4PA1wK0leCjmRZlP5dQ8Lv,spotify:track:4PA1wK0leCjmRZlP5dQ8Lv,https://api.spotify.com/v1/tracks/4PA1wK0leCjmRZlP5dQ8Lv,https://api.spotify.com/v1/audio-analysis/4PA1wK0leCjmRZlP5dQ8Lv,191321,4
31,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3
32,0.776,0.701,9,-5.223,1,0.0254,0.513,0.0,0.0902,0.603,112.032,audio_features,3wlIAXSDtlD9iU8ysld06Z,spotify:track:3wlIAXSDtlD9iU8ysld06Z,https://api.spotify.com/v1/tracks/3wlIAXSDtlD9iU8ysld06Z,https://api.spotify.com/v1/audio-analysis/3wlIAXSDtlD9iU8ysld06Z,265045,3
33,0.706,0.629,1,-11.408,1,0.0444,0.159,0.34,0.0951,0.471,123.044,audio_features,14S2VMZRhekYGluotZ4pqg,spotify:track:14S2VMZRhekYGluotZ4pqg,https://api.spotify.com/v1/tracks/14S2VMZRhekYGluotZ4pqg,https://api.spotify.com/v1/audio-analysis/14S2VMZRhekYGluotZ4pqg,186341,4
34,0.809,0.849,4,-6.769,0,0.0738,0.251,7.36e-05,0.325,0.753,126.0,audio_features,4zfQER4owi8q6NL8Gg63Ya,spotify:track:4zfQER4owi8q6NL8Gg63Ya,https://api.spotify.com/v1/tracks/4zfQER4owi8q6NL8Gg63Ya,https://api.spotify.com/v1/audio-analysis/4zfQER4owi8q6NL8Gg63Ya,204816,3
