,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.743,0.695,1,-3.562,1,0.0562,0.0934,0.0,0.339,0.716,131.998,audio_features,75awsh1kFsZePy3JmnXZuI,spotify:track:75awsh1kFsZePy3JmnXZuI,https://api.spotify.com/v1/tracks/75awsh1kFsZePy3JmnXZuI,https://api.spotify.com/v1/audio-analysis/75awsh1kFsZePy3JmnXZuI,94848,4
1,0.412,0.927,10,-5.667,0,0.112,0.0024,0.00604,0.185,0.273,194.886,audio_features,19Dd6vJr4eDucQ8UWqxBWP,spotify:track:19Dd6vJr4eDucQ8UWqxBWP,https://api.spotify.com/v1/tracks/19Dd6vJr4eDucQ8UWqxBWP,https://api.spotify.com/v1/audio-analysis/19Dd6vJr4eDucQ8UWqxBWP,212625,3
2,0.236,0.902,1,-4.381,1,0.0943,0.00788,0.0,0.291,0.73,80.156,audio_features,0lrrOTSB1vEOEphSG8CSsD,spotify:track:0lrrOTSB1vEOEphSG8CSsD,https://api.spotify.com/v1/tracks/0lrrOTSB1vEOEphSG8CSsD,https://api.spotify.com/v1/audio-analysis/0lrrOTSB1vEOEphSG8CSsD,193840,4
3,0.497,0.726,7,-6.92,1,0.0806,0.000536,5.4e-05,0.162,0.7,168.993,audio_features,4Nult2cXGix29M3kfV9BHX,spotify:track:4Nult2cXGix29M3kfV9BHX,https://api.spotify.com/v1/tracks/4Nult2cXGix29M3kfV9BHX,https://api.spotify.com/v1/audio-analysis/4Nult2cXGix29M3kfV9BHX,170667,4
4,0.418,0.951,4,-3.793,0,0.063,0.000474,8.95e-06,0.24,0.312,144.053,audio_features,1W7w66s4LGJ9ZkF46a5Qwl,spotify:track:1W7w66s4LGJ9ZkF46a5Qwl,https://api.spotify.com/v1/tracks/1W7w66s4LGJ9ZkF46a5Qwl,https://api.spotify.com/v1/audio-analysis/1W7w66s4LGJ9ZkF46a5Qwl,135208,4
5,0.592,0.973,5,-1.01,1,0.193,0.0976,0.0,0.313,0.758,150.007,audio_features,1bR24TWIy7TIOPQC4w1ns8,spotify:track:1bR24TWIy7TIOPQC4w1ns8,https://api.spotify.com/v1/tracks/1bR24TWIy7TIOPQC4w1ns8,https://api.spotify.com/v1/audio-analysis/1bR24TWIy7TIOPQC4w1ns8,198000,4
6,0.758,0.646,11,-7.71,0,0.0418,0.00503,0.000112,0.0292,0.935,120.002,audio_features,4gMcaEW3aY6BP90jXLgQKW,spotify:track:4gMcaEW3aY6BP90jXLgQKW,https://api.spotify.com/v1/tracks/4gMcaEW3aY6BP90jXLgQKW,https://api.spotify.com/v1/audio-analysis/4gMcaEW3aY6BP90jXLgQKW,242347,4
7,0.466,0.882,4,-6.243,0,0.0931,0.0298,0.0,0.576,0.572,140.187,audio_features,5EJOPqV2rwocl69H71IBqq,spotify:track:5EJOPqV2rwocl69H71IBqq,https://api.spotify.com/v1/tracks/5EJOPqV2rwocl69H71IBqq,https://api.spotify.com/v1/audio-analysis/5EJOPqV2rwocl69H71IBqq,167500,4
8,0.537,0.931,6,-5.214,0,0.134,0.0573,9.14e-05,0.0956,0.551,140.028,audio_features,0hSWBbEyDLQilgDZC9DWH5,spotify:track:0hSWBbEyDLQilgDZC9DWH5,https://api.spotify.com/v1/tracks/0hSWBbEyDLQilgDZC9DWH5,https://api.spotify.com/v1/audio-analysis/0hSWBbEyDLQilgDZC9DWH5,192921,4
9,0.727,0.779,11,-4.824,0,0.0494,0.00446,0.0,0.0962,0.422,108.056,audio_features,7IVLMNg2pZfPLdHkGUy3PM,spotify:track:7IVLMNg2pZfPLdHkGUy3PM,https://api.spotify.com/v1/tracks/7IVLMNg2pZfPLdHkGUy3PM,https://api.spotify.com/v1/audio-analysis/7IVLMNg2pZfPLdHkGUy3PM,165234,4
10,0.423,0.984,11,-2.832,0,0.155,3.35e-05,0.0181,0.0671,0.161,93.972,audio_features,4TTB4tbuXVKu8YGxZjkEMD,spotify:track:4TTB4tbuXVKu8YGxZjkEMD,https://api.spotify.com/v1/tracks/4TTB4tbuXVKu8YGxZjkEMD,https://api.spotify.com/v1/audio-analysis/4TTB4tbuXVKu8YGxZjkEMD,117447,4
11,0.54,0.952,6,-6.701,1,0.0635,0.000252,0.000416,0.19,0.672,136.022,audio_features,6f78jceurumJKvPWAW2yN0,spotify:track:6f78jceurumJKvPWAW2yN0,https://api.spotify.com/v1/tracks/6f78jceurumJKvPWAW2yN0,https://api.spotify.com/v1/audio-analysis/6f78jceurumJKvPWAW2yN0,194587,4
12,0.506,0.904,0,-2.933,1,0.0603,0.0455,0.000216,0.79,0.57,134.954,audio_features,3Y1qY4wgpFJF6osS0DUSJc,spotify:track:3Y1qY4wgpFJF6osS0DUSJc,https://api.spotify.com/v1/tracks/3Y1qY4wgpFJF6osS0DUSJc,https://api.spotify.com/v1/audio-analysis/3Y1qY4wgpFJF6osS0DUSJc,271778,4
13,0.337,0.983,1,-4.294,1,0.148,0.0207,0.0,0.224,0.345,169.873,audio_features,00H6ekxYhPEH6gpB7wQaaX,spotify:track:00H6ekxYhPEH6gpB7wQaaX,https://api.spotify.com/v1/tracks/00H6ekxYhPEH6gpB7wQaaX,https://api.spotify.com/v1/audio-analysis/00H6ekxYhPEH6gpB7wQaaX,137289,4
14,0.547,0.974,9,-3.615,1,0.0791,0.011,0.00116,0.333,0.647,149.992,audio_features,39Z1223ulKNoW9V2ZuOck6,spotify:track:39Z1223ulKNoW9V2ZuOck6,https://api.spotify.com/v1/tracks/39Z1223ulKNoW9V2ZuOck6,https://api.spotify.com/v1/audio-analysis/39Z1223ulKNoW9V2ZuOck6,168000,4
15,0.514,0.98,0,-4.758,1,0.112,0.000164,0.00145,0.102,0.294,144.075,audio_features,53ysrx8kDn9tb056efq4ko,spotify:track:53ysrx8kDn9tb056efq4ko,https://api.spotify.com/v1/tracks/53ysrx8kDn9tb056efq4ko,https://api.spotify.com/v1/audio-analysis/53ysrx8kDn9tb056efq4ko,196458,4
16,0.41,0.967,1,-3.878,1,0.0711,7.54e-05,1.87e-05,0.609,0.748,160.003,audio_features,0O7fXel2uzgJraKd1NBSVb,spotify:track:0O7fXel2uzgJraKd1NBSVb,https://api.spotify.com/v1/tracks/0O7fXel2uzgJraKd1NBSVb,https://api.spotify.com/v1/audio-analysis/0O7fXel2uzgJraKd1NBSVb,210640,4
17,0.36,0.957,11,-4.657,0,0.24,0.00387,3.08e-06,0.0983,0.116,157.058,audio_features,3ltS4rlFrCYkdQqGzVjXBi,spotify:track:3ltS4rlFrCYkdQqGzVjXBi,https://api.spotify.com/v1/tracks/3ltS4rlFrCYkdQqGzVjXBi,https://api.spotify.com/v1/audio-analysis/3ltS4rlFrCYkdQqGzVjXBi,185201,4
