,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,audio_features,5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7,https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7,209413,4
1,0.53,0.376,9,-11.913,0,0.04,0.0304,0.247,0.0926,0.188,164.775,audio_features,2EqlS6tkEnglzr7tkKAAYD,spotify:track:2EqlS6tkEnglzr7tkKAAYD,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,https://api.spotify.com/v1/audio-analysis/2EqlS6tkEnglzr7tkKAAYD,259947,4
2,0.623,0.537,10,-10.014,0,0.0726,0.332,1.4e-05,0.0963,0.905,166.885,audio_features,452KBpASS5lZLeJWX9Ixub,spotify:track:452KBpASS5lZLeJWX9Ixub,https://api.spotify.com/v1/tracks/452KBpASS5lZLeJWX9Ixub,https://api.spotify.com/v1/audio-analysis/452KBpASS5lZLeJWX9Ixub,146933,4
3,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
4,0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,audio_features,7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/audio-analysis/7FwBtcecmlpc1sLySPXeGE,241307,4
5,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,audio_features,5uvosCdMlFdTXhoazkTI5R,spotify:track:5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/tracks/5uvosCdMlFdTXhoazkTI5R,https://api.spotify.com/v1/audio-analysis/5uvosCdMlFdTXhoazkTI5R,429760,4
6,0.428,0.544,5,-9.139,1,0.0347,0.554,2.12e-05,0.125,0.694,122.622,audio_features,0cx32rX0uZvcJUP92Wkj2y,spotify:track:0cx32rX0uZvcJUP92Wkj2y,https://api.spotify.com/v1/tracks/0cx32rX0uZvcJUP92Wkj2y,https://api.spotify.com/v1/audio-analysis/0cx32rX0uZvcJUP92Wkj2y,145107,4
7,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,audio_features,0HEmnAUT8PHznIAAmVXqFJ,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/tracks/0HEmnAUT8PHznIAAmVXqFJ,https://api.spotify.com/v1/audio-analysis/0HEmnAUT8PHznIAAmVXqFJ,193200,4
8,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,audio_features,3SdTKo2uVsxFblQjpScoHy,spotify:track:3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/audio-analysis/3SdTKo2uVsxFblQjpScoHy,180056,4
9,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773,4
10,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,audio_features,3qI94hINNNeb4S7xQi18lS,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/audio-analysis/3qI94hINNNeb4S7xQi18lS,214200,4
11,0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,audio_features,1uvyZBs4IZYRebHIB1747m,spotify:track:1uvyZBs4IZYRebHIB1747m,https://api.spotify.com/v1/tracks/1uvyZBs4IZYRebHIB1747m,https://api.spotify.com/v1/audio-analysis/1uvyZBs4IZYRebHIB1747m,520787,4
12,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,audio_features,6tZdL3Zp8JgrfDbsSeSV1S,spotify:track:6tZdL3Zp8JgrfDbsSeSV1S,https://api.spotify.com/v1/tracks/6tZdL3Zp8JgrfDbsSeSV1S,https://api.spotify.com/v1/audio-analysis/6tZdL3Zp8JgrfDbsSeSV1S,133933,4
