,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.691,0.689,1,-4.167,1,0.114,0.0471,0.0,0.169,0.621,93.785,audio_features,5cXQQa5G0hyc6m5Mk1rM2i,spotify:track:5cXQQa5G0hyc6m5Mk1rM2i,https://api.spotify.com/v1/tracks/5cXQQa5G0hyc6m5Mk1rM2i,https://api.spotify.com/v1/audio-analysis/5cXQQa5G0hyc6m5Mk1rM2i,198324,4
1,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187,audio_features,5aIVCx5tnk0ntmdiinnYvw,spotify:track:5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/tracks/5aIVCx5tnk0ntmdiinnYvw,https://api.spotify.com/v1/audio-analysis/5aIVCx5tnk0ntmdiinnYvw,200256,4
2,0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4
3,0.719,0.756,5,-5.392,0,0.0761,0.0541,0.0,0.109,0.647,105.024,audio_features,25Kyv5SeEenT0EETpP2hYn,spotify:track:25Kyv5SeEenT0EETpP2hYn,https://api.spotify.com/v1/tracks/25Kyv5SeEenT0EETpP2hYn,https://api.spotify.com/v1/audio-analysis/25Kyv5SeEenT0EETpP2hYn,219500,4
4,0.725,0.709,3,-5.017,0,0.129,0.321,0.000189,0.114,0.648,99.993,audio_features,5bi0gh89wRuH2OgjdAKFsb,spotify:track:5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb,https://api.spotify.com/v1/audio-analysis/5bi0gh89wRuH2OgjdAKFsb,193039,4
5,0.838,0.537,11,-10.28,1,0.119,0.156,0.446,0.107,0.56,103.95,audio_features,47hsUYxvbTlBAN3sP9dEOd,spotify:track:47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/tracks/47hsUYxvbTlBAN3sP9dEOd,https://api.spotify.com/v1/audio-analysis/47hsUYxvbTlBAN3sP9dEOd,178042,4
6,0.775,0.799,3,-6.291,0,0.06,0.127,0.115,0.0714,0.804,120.997,audio_features,4sOLtnLeIFwO4YUUSV5DM5,spotify:track:4sOLtnLeIFwO4YUUSV5DM5,https://api.spotify.com/v1/tracks/4sOLtnLeIFwO4YUUSV5DM5,https://api.spotify.com/v1/audio-analysis/4sOLtnLeIFwO4YUUSV5DM5,194442,4
7,0.649,0.655,10,-5.534,0,0.0652,0.307,0.0,0.22,0.793,92.9,audio_features,2WigMwGJysIh9fRnSJvpjn,spotify:track:2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/tracks/2WigMwGJysIh9fRnSJvpjn,https://api.spotify.com/v1/audio-analysis/2WigMwGJysIh9fRnSJvpjn,147581,4
8,0.899,0.749,8,-6.135,1,0.14,0.0323,0.00253,0.0771,0.754,113.038,audio_features,4yMV0R3yJO4RZKcj7bLYbj,spotify:track:4yMV0R3yJO4RZKcj7bLYbj,https://api.spotify.com/v1/tracks/4yMV0R3yJO4RZKcj7bLYbj,https://api.spotify.com/v1/audio-analysis/4yMV0R3yJO4RZKcj7bLYbj,153479,4
9,0.811,0.781,11,-6.333,1,0.0428,0.376,0.001,0.121,0.824,107.007,audio_features,6hgoYQDUcPyCz7LcTUHKxa,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,https://api.spotify.com/v1/tracks/6hgoYQDUcPyCz7LcTUHKxa,https://api.spotify.com/v1/audio-analysis/6hgoYQDUcPyCz7LcTUHKxa,219813,4
10,0.885,0.625,5,-5.8,0,0.0908,0.267,0.000184,0.117,0.463,111.99,audio_features,2vjiaAgTaB32W1PNYYaFdZ,spotify:track:2vjiaAgTaB32W1PNYYaFdZ,https://api.spotify.com/v1/tracks/2vjiaAgTaB32W1PNYYaFdZ,https://api.spotify.com/v1/audio-analysis/2vjiaAgTaB32W1PNYYaFdZ,208471,4
11,0.828,0.726,10,-6.389,0,0.0419,0.106,0.00101,0.103,0.67,113.017,audio_features,3baPniPXS0iEII8rDUJdYP,spotify:track:3baPniPXS0iEII8rDUJdYP,https://api.spotify.com/v1/tracks/3baPniPXS0iEII8rDUJdYP,https://api.spotify.com/v1/audio-analysis/3baPniPXS0iEII8rDUJdYP,212976,4
12,0.774,0.744,6,-4.929,0,0.0429,0.256,0.00183,0.102,0.813,104.017,audio_features,3fbPAnQhNaUlIMaYtyNvk9,spotify:track:3fbPAnQhNaUlIMaYtyNvk9,https://api.spotify.com/v1/tracks/3fbPAnQhNaUlIMaYtyNvk9,https://api.spotify.com/v1/audio-analysis/3fbPAnQhNaUlIMaYtyNvk9,200769,4
13,0.867,0.584,8,-5.06,1,0.082,0.582,4.91e-05,0.118,0.737,100.034,audio_features,6z5y2kdxF4XrEVRFVqdGVL,spotify:track:6z5y2kdxF4XrEVRFVqdGVL,https://api.spotify.com/v1/tracks/6z5y2kdxF4XrEVRFVqdGVL,https://api.spotify.com/v1/audio-analysis/6z5y2kdxF4XrEVRFVqdGVL,216000,4
14,0.588,0.687,10,-4.748,1,0.103,0.108,0.0,0.27,0.307,128.503,audio_features,50v9IKJoA8b1Qqx7wwdZzf,spotify:track:50v9IKJoA8b1Qqx7wwdZzf,https://api.spotify.com/v1/tracks/50v9IKJoA8b1Qqx7wwdZzf,https://api.spotify.com/v1/audio-analysis/50v9IKJoA8b1Qqx7wwdZzf,170266,5
15,0.788,0.649,2,-9.674,1,0.0532,0.253,0.0136,0.12,0.229,113.009,audio_features,2kaH2Z8ezDUKf6fNw250rZ,spotify:track:2kaH2Z8ezDUKf6fNw250rZ,https://api.spotify.com/v1/tracks/2kaH2Z8ezDUKf6fNw250rZ,https://api.spotify.com/v1/audio-analysis/2kaH2Z8ezDUKf6fNw250rZ,169912,4
16,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,audio_features,1rrqJ9QkOBYJlsZgqqwxgB,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,https://api.spotify.com/v1/tracks/1rrqJ9QkOBYJlsZgqqwxgB,https://api.spotify.com/v1/audio-analysis/1rrqJ9QkOBYJlsZgqqwxgB,185093,4
