,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,4
1,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,3bNv3VuUOKgrf5hu3YcuRo,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,https://api.spotify.com/v1/tracks/3bNv3VuUOKgrf5hu3YcuRo,https://api.spotify.com/v1/audio-analysis/3bNv3VuUOKgrf5hu3YcuRo,285240,4
2,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,3di5hcvxxciiqwMH1jarhY,spotify:track:3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/tracks/3di5hcvxxciiqwMH1jarhY,https://api.spotify.com/v1/audio-analysis/3di5hcvxxciiqwMH1jarhY,242974,4
3,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,286480,4
4,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,4OSBTYWVwsQhGLF9NHvIbR,spotify:track:4OSBTYWVwsQhGLF9NHvIbR,https://api.spotify.com/v1/tracks/4OSBTYWVwsQhGLF9NHvIbR,https://api.spotify.com/v1/audio-analysis/4OSBTYWVwsQhGLF9NHvIbR,228093,4
5,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,audio_features,6O5TrlFWTYvznd9fMC0VvU,spotify:track:6O5TrlFWTYvznd9fMC0VvU,https://api.spotify.com/v1/tracks/6O5TrlFWTYvznd9fMC0VvU,https://api.spotify.com/v1/audio-analysis/6O5TrlFWTYvznd9fMC0VvU,290900,4
6,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,audio_features,563SfWAHJs4FBZMkRN0IFN,spotify:track:563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/tracks/563SfWAHJs4FBZMkRN0IFN,https://api.spotify.com/v1/audio-analysis/563SfWAHJs4FBZMkRN0IFN,223079,4
7,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,audio_features,1Yk0cQdMLx5RzzFTYwmuld,spotify:track:1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/tracks/1Yk0cQdMLx5RzzFTYwmuld,https://api.spotify.com/v1/audio-analysis/1Yk0cQdMLx5RzzFTYwmuld,295502,4
8,0.59,0.833,5,-6.503,0,0.0615,0.0142,5.4e-06,0.105,0.538,94.963,audio_features,2DRMuw0U0QbkVQxWxdJV3M,spotify:track:2DRMuw0U0QbkVQxWxdJV3M,https://api.spotify.com/v1/tracks/2DRMuw0U0QbkVQxWxdJV3M,https://api.spotify.com/v1/audio-analysis/2DRMuw0U0QbkVQxWxdJV3M,240439,4
9,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,audio_features,273QnyCvJB65rScHJ1nPZb,spotify:track:273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/tracks/273QnyCvJB65rScHJ1nPZb,https://api.spotify.com/v1/audio-analysis/273QnyCvJB65rScHJ1nPZb,212040,3
10,0.353,0.446,0,-6.044,0,0.0285,0.95,1.35e-05,0.132,0.211,155.476,audio_features,2eF2x1BkgilhaZ2AipRY8j,spotify:track:2eF2x1BkgilhaZ2AipRY8j,https://api.spotify.com/v1/tracks/2eF2x1BkgilhaZ2AipRY8j,https://api.spotify.com/v1/audio-analysis/2eF2x1BkgilhaZ2AipRY8j,250000,4
11,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,audio_features,6DEMMeWXfmFAXgDUMMzeg6,spotify:track:6DEMMeWXfmFAXgDUMMzeg6,https://api.spotify.com/v1/tracks/6DEMMeWXfmFAXgDUMMzeg6,https://api.spotify.com/v1/audio-analysis/6DEMMeWXfmFAXgDUMMzeg6,271800,4
12,0.528,0.468,5,-5.306,1,0.0287,0.295,0.0,0.165,0.185,154.974,audio_features,5W63Zcirj6bvnTxhVIKTSK,spotify:track:5W63Zcirj6bvnTxhVIKTSK,https://api.spotify.com/v1/tracks/5W63Zcirj6bvnTxhVIKTSK,https://api.spotify.com/v1/audio-analysis/5W63Zcirj6bvnTxhVIKTSK,348227,3
13,0.612,0.749,0,-5.014,1,0.0446,0.615,0.0,0.167,0.574,120.052,audio_features,5mFMb5OHI3cN0UjITVztCj,spotify:track:5mFMb5OHI3cN0UjITVztCj,https://api.spotify.com/v1/tracks/5mFMb5OHI3cN0UjITVztCj,https://api.spotify.com/v1/audio-analysis/5mFMb5OHI3cN0UjITVztCj,223267,4
14,0.644,0.4,3,-5.713,1,0.0304,0.214,0.0,0.0866,0.227,115.025,audio_features,1CRtJS94Hq3PbBZT9LuF90,spotify:track:1CRtJS94Hq3PbBZT9LuF90,https://api.spotify.com/v1/tracks/1CRtJS94Hq3PbBZT9LuF90,https://api.spotify.com/v1/audio-analysis/1CRtJS94Hq3PbBZT9LuF90,243200,4
15,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,audio_features,0DuWDLjriRPjDRoPgaCslY,spotify:track:0DuWDLjriRPjDRoPgaCslY,https://api.spotify.com/v1/tracks/0DuWDLjriRPjDRoPgaCslY,https://api.spotify.com/v1/audio-analysis/0DuWDLjriRPjDRoPgaCslY,285935,4
16,0.72,0.274,1,-7.623,0,0.0276,0.742,0.0,0.11,0.179,105.929,audio_features,2qBmtZnPSQouvADmqaHKxk,spotify:track:2qBmtZnPSQouvADmqaHKxk,https://api.spotify.com/v1/tracks/2qBmtZnPSQouvADmqaHKxk,https://api.spotify.com/v1/audio-analysis/2qBmtZnPSQouvADmqaHKxk,227066,4
17,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,audio_features,0Z5ok0QLLttAKsujOZYOXf,spotify:track:0Z5ok0QLLttAKsujOZYOXf,https://api.spotify.com/v1/tracks/0Z5ok0QLLttAKsujOZYOXf,https://api.spotify.com/v1/audio-analysis/0Z5ok0QLLttAKsujOZYOXf,210507,4
18,0.436,0.336,10,-8.517,0,0.037,0.962,3.4e-05,0.102,0.21,122.456,audio_features,4zFHwVj4A8s0G5f7aOlpKo,spotify:track:4zFHwVj4A8s0G5f7aOlpKo,https://api.spotify.com/v1/tracks/4zFHwVj4A8s0G5f7aOlpKo,https://api.spotify.com/v1/audio-analysis/4zFHwVj4A8s0G5f7aOlpKo,271227,4
19,0.807,0.105,9,-13.188,1,0.0412,0.964,0.0,0.103,0.372,109.014,audio_features,3FYqKyAKIB4mCygIFc1IYn,spotify:track:3FYqKyAKIB4mCygIFc1IYn,https://api.spotify.com/v1/tracks/3FYqKyAKIB4mCygIFc1IYn,https://api.spotify.com/v1/audio-analysis/3FYqKyAKIB4mCygIFc1IYn,220507,4
20,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,audio_features,1zZh6zTXcDgvN0C6S1G4gU,spotify:track:1zZh6zTXcDgvN0C6S1G4gU,https://api.spotify.com/v1/tracks/1zZh6zTXcDgvN0C6S1G4gU,https://api.spotify.com/v1/audio-analysis/1zZh6zTXcDgvN0C6S1G4gU,245427,3
21,0.415,0.266,0,-8.44,1,0.0308,0.957,1.18e-06,0.183,0.282,138.096,audio_features,43Bcg5ckW8WchRzyPZA0u1,spotify:track:43Bcg5ckW8WchRzyPZA0u1,https://api.spotify.com/v1/tracks/43Bcg5ckW8WchRzyPZA0u1,https://api.spotify.com/v1/audio-analysis/43Bcg5ckW8WchRzyPZA0u1,228293,4
22,0.382,0.578,5,-4.246,1,0.047,0.00982,1.44e-05,0.433,0.156,113.072,audio_features,6NdG17SJBXKJeYS67f7E74,spotify:track:6NdG17SJBXKJeYS67f7E74,https://api.spotify.com/v1/tracks/6NdG17SJBXKJeYS67f7E74,https://api.spotify.com/v1/audio-analysis/6NdG17SJBXKJeYS67f7E74,348625,4
