,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.623,0.781,8,-9.651,1,0.0373,0.121,2.77e-05,0.101,0.346,167.874,audio_features,6TYFcqqQVQPb3YsgfRhvqs,spotify:track:6TYFcqqQVQPb3YsgfRhvqs,https://api.spotify.com/v1/tracks/6TYFcqqQVQPb3YsgfRhvqs,https://api.spotify.com/v1/audio-analysis/6TYFcqqQVQPb3YsgfRhvqs,269232,4
1,0.605,0.868,8,-6.107,1,0.0441,0.0184,1.96e-05,0.307,0.54,105.884,audio_features,7xDyxkNwy0RdQMpzOwZvv2,spotify:track:7xDyxkNwy0RdQMpzOwZvv2,https://api.spotify.com/v1/tracks/7xDyxkNwy0RdQMpzOwZvv2,https://api.spotify.com/v1/audio-analysis/7xDyxkNwy0RdQMpzOwZvv2,237349,4
2,0.748,0.677,0,-7.745,0,0.0598,0.0266,4.44e-05,0.138,0.482,126.094,audio_features,7My69FnYt5TlsC3iWvnynm,spotify:track:7My69FnYt5TlsC3iWvnynm,https://api.spotify.com/v1/tracks/7My69FnYt5TlsC3iWvnynm,https://api.spotify.com/v1/audio-analysis/7My69FnYt5TlsC3iWvnynm,293747,4
3,0.706,0.721,2,-8.747,0,0.0367,0.617,1.01e-05,0.29,0.769,149.927,audio_features,1OwXUfZBnxUQqmcobNGVpc,spotify:track:1OwXUfZBnxUQqmcobNGVpc,https://api.spotify.com/v1/tracks/1OwXUfZBnxUQqmcobNGVpc,https://api.spotify.com/v1/audio-analysis/1OwXUfZBnxUQqmcobNGVpc,279759,4
4,0.717,0.655,4,-9.216,0,0.0454,0.0278,0.0,0.16,0.634,92.292,audio_features,4yNDsD0T32lXIROKzBVUH2,spotify:track:4yNDsD0T32lXIROKzBVUH2,https://api.spotify.com/v1/tracks/4yNDsD0T32lXIROKzBVUH2,https://api.spotify.com/v1/audio-analysis/4yNDsD0T32lXIROKzBVUH2,211371,4
5,0.752,0.805,8,-7.737,1,0.0787,0.246,3.89e-06,0.0622,0.745,99.99,audio_features,6upIR0Pr0OFiGxucJ9Dm7G,spotify:track:6upIR0Pr0OFiGxucJ9Dm7G,https://api.spotify.com/v1/tracks/6upIR0Pr0OFiGxucJ9Dm7G,https://api.spotify.com/v1/audio-analysis/6upIR0Pr0OFiGxucJ9Dm7G,304419,4
6,0.578,0.636,3,-7.887,0,0.143,0.611,7e-05,0.0862,0.847,83.029,audio_features,6mfIxe4u5I0y7IdFHMdlxJ,spotify:track:6mfIxe4u5I0y7IdFHMdlxJ,https://api.spotify.com/v1/tracks/6mfIxe4u5I0y7IdFHMdlxJ,https://api.spotify.com/v1/audio-analysis/6mfIxe4u5I0y7IdFHMdlxJ,224876,4
7,0.715,0.685,4,-7.948,0,0.0448,0.0357,0.0,0.138,0.68,92.271,audio_features,64YdFIZAL6wkIc054TiXp5,spotify:track:64YdFIZAL6wkIc054TiXp5,https://api.spotify.com/v1/tracks/64YdFIZAL6wkIc054TiXp5,https://api.spotify.com/v1/audio-analysis/64YdFIZAL6wkIc054TiXp5,212107,4
8,0.696,0.76,2,-10.356,0,0.0402,0.175,0.00167,0.0923,0.78,148.4,audio_features,2OTxhOuz8c1s7um0tgumox,spotify:track:2OTxhOuz8c1s7um0tgumox,https://api.spotify.com/v1/tracks/2OTxhOuz8c1s7um0tgumox,https://api.spotify.com/v1/audio-analysis/2OTxhOuz8c1s7um0tgumox,293013,4
9,0.575,0.935,11,-4.671,0,0.0543,0.0503,2.56e-06,0.376,0.621,133.105,audio_features,5QqbKH1EMJAxqazygRNI60,spotify:track:5QqbKH1EMJAxqazygRNI60,https://api.spotify.com/v1/tracks/5QqbKH1EMJAxqazygRNI60,https://api.spotify.com/v1/audio-analysis/5QqbKH1EMJAxqazygRNI60,222328,4
10,0.535,0.49,4,-9.528,0,0.0449,0.595,1.08e-05,0.111,0.236,153.605,audio_features,4bya2rNB4cyEkLNYqGJRwv,spotify:track:4bya2rNB4cyEkLNYqGJRwv,https://api.spotify.com/v1/tracks/4bya2rNB4cyEkLNYqGJRwv,https://api.spotify.com/v1/audio-analysis/4bya2rNB4cyEkLNYqGJRwv,198818,4
11,0.622,0.815,6,-6.863,0,0.0296,0.0864,0.0467,0.265,0.941,137.96,audio_features,1NBvGhVB2NFlYm7lGOYdEf,spotify:track:1NBvGhVB2NFlYm7lGOYdEf,https://api.spotify.com/v1/tracks/1NBvGhVB2NFlYm7lGOYdEf,https://api.spotify.com/v1/audio-analysis/1NBvGhVB2NFlYm7lGOYdEf,197068,4
12,0.703,0.782,1,-5.49,0,0.0431,0.0156,1.42e-06,0.336,0.77,99.091,audio_features,1A3cI6KrayvmQZlNl0PlbQ,spotify:track:1A3cI6KrayvmQZlNl0PlbQ,https://api.spotify.com/v1/tracks/1A3cI6KrayvmQZlNl0PlbQ,https://api.spotify.com/v1/audio-analysis/1A3cI6KrayvmQZlNl0PlbQ,214648,4
13,0.615,0.876,9,-5.564,0,0.0411,0.198,6.25e-06,0.332,0.827,141.11,audio_features,5pf11koagD5ATcz2hj2xVU,spotify:track:5pf11koagD5ATcz2hj2xVU,https://api.spotify.com/v1/tracks/5pf11koagD5ATcz2hj2xVU,https://api.spotify.com/v1/audio-analysis/5pf11koagD5ATcz2hj2xVU,270864,4
14,0.733,0.774,4,-9.192,0,0.044,0.286,0.00367,0.15,0.808,128.75,audio_features,0HOaIHmLnlict5YAox4Wy1,spotify:track:0HOaIHmLnlict5YAox4Wy1,https://api.spotify.com/v1/tracks/0HOaIHmLnlict5YAox4Wy1,https://api.spotify.com/v1/audio-analysis/0HOaIHmLnlict5YAox4Wy1,225515,4
15,0.802,0.576,5,-7.788,0,0.0462,0.335,0.0,0.115,0.711,118.246,audio_features,2gb49TkAX2nDgFDIZ3y3BW,spotify:track:2gb49TkAX2nDgFDIZ3y3BW,https://api.spotify.com/v1/tracks/2gb49TkAX2nDgFDIZ3y3BW,https://api.spotify.com/v1/audio-analysis/2gb49TkAX2nDgFDIZ3y3BW,176640,4
