,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997,audio_features,6jjYDGxVJsWS0a5wlVF5vS,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,164952,4
1,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,audio_features,5FVbvttjEvQ8r2BgUcJgNg,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,https://api.spotify.com/v1/tracks/5FVbvttjEvQ8r2BgUcJgNg,https://api.spotify.com/v1/audio-analysis/5FVbvttjEvQ8r2BgUcJgNg,207481,4
2,0.429,0.387,1,-7.486,1,0.0753,0.000178,0.802,0.142,0.41,109.893,audio_features,4vNAtmfodHh3Q861erXhok,spotify:track:4vNAtmfodHh3Q861erXhok,https://api.spotify.com/v1/tracks/4vNAtmfodHh3Q861erXhok,https://api.spotify.com/v1/audio-analysis/4vNAtmfodHh3Q861erXhok,162147,4
3,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,5QDLhrAOJJdNAmCTJ8xMyW,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW,https://api.spotify.com/v1/audio-analysis/5QDLhrAOJJdNAmCTJ8xMyW,199054,4
4,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,audio_features,3UHPGOkUcE4hE7sqBF4Snt,spotify:track:3UHPGOkUcE4hE7sqBF4Snt,https://api.spotify.com/v1/tracks/3UHPGOkUcE4hE7sqBF4Snt,https://api.spotify.com/v1/audio-analysis/3UHPGOkUcE4hE7sqBF4Snt,214621,4
5,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,audio_features,7Ki0hse0IfXEcXUlpyECbJ,spotify:track:7Ki0hse0IfXEcXUlpyECbJ,https://api.spotify.com/v1/tracks/7Ki0hse0IfXEcXUlpyECbJ,https://api.spotify.com/v1/audio-analysis/7Ki0hse0IfXEcXUlpyECbJ,254950,4
6,0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,audio_features,0hxeouHqP3qzpTHerA7ha2,spotify:track:0hxeouHqP3qzpTHerA7ha2,https://api.spotify.com/v1/tracks/0hxeouHqP3qzpTHerA7ha2,https://api.spotify.com/v1/audio-analysis/0hxeouHqP3qzpTHerA7ha2,239722,4
7,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,audio_features,6Fnvi5QnVkTskSzeRvvQds,spotify:track:6Fnvi5QnVkTskSzeRvvQds,https://api.spotify.com/v1/tracks/6Fnvi5QnVkTskSzeRvvQds,https://api.spotify.com/v1/audio-analysis/6Fnvi5QnVkTskSzeRvvQds,202313,4
8,0.637,0.799,2,-4.518,1,0.0338,0.394,0.0,0.0921,0.57,104.996,audio_features,5YMXGBD6vcYP7IolemyLtK,spotify:track:5YMXGBD6vcYP7IolemyLtK,https://api.spotify.com/v1/tracks/5YMXGBD6vcYP7IolemyLtK,https://api.spotify.com/v1/audio-analysis/5YMXGBD6vcYP7IolemyLtK,228615,4
9,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,audio_features,1NHl9g36Ebu3g16y0vtUNV,spotify:track:1NHl9g36Ebu3g16y0vtUNV,https://api.spotify.com/v1/tracks/1NHl9g36Ebu3g16y0vtUNV,https://api.spotify.com/v1/audio-analysis/1NHl9g36Ebu3g16y0vtUNV,222243,4
10,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,audio_features,0TdWVbcerMAcvljXrl9gpG,spotify:track:0TdWVbcerMAcvljXrl9gpG,https://api.spotify.com/v1/tracks/0TdWVbcerMAcvljXrl9gpG,https://api.spotify.com/v1/audio-analysis/0TdWVbcerMAcvljXrl9gpG,204800,4
11,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,audio_features,4a9tbd947vo9K8Vti9JwcI,spotify:track:4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/tracks/4a9tbd947vo9K8Vti9JwcI,https://api.spotify.com/v1/audio-analysis/4a9tbd947vo9K8Vti9JwcI,229773,4
12,0.508,0.559,2,-6.366,0,0.0276,0.288,0.0,0.131,0.329,135.866,audio_features,6L88EH68XwlaXwvChlTS41,spotify:track:6L88EH68XwlaXwvChlTS41,https://api.spotify.com/v1/tracks/6L88EH68XwlaXwvChlTS41,https://api.spotify.com/v1/audio-analysis/6L88EH68XwlaXwvChlTS41,240362,4
13,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,audio_features,6KhAXXgDtEEahVzATvFNcn,spotify:track:6KhAXXgDtEEahVzATvFNcn,https://api.spotify.com/v1/tracks/6KhAXXgDtEEahVzATvFNcn,https://api.spotify.com/v1/audio-analysis/6KhAXXgDtEEahVzATvFNcn,208590,4
14,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,audio_features,0fZRNhPJ4AGmwY7rkpdbqK,spotify:track:0fZRNhPJ4AGmwY7rkpdbqK,https://api.spotify.com/v1/tracks/0fZRNhPJ4AGmwY7rkpdbqK,https://api.spotify.com/v1/audio-analysis/0fZRNhPJ4AGmwY7rkpdbqK,246381,4
15,0.422,0.578,8,-7.524,1,0.0548,0.443,0.0,0.231,0.227,128.921,audio_features,1dS4l6xmdgEhCZTAhdOm4N,spotify:track:1dS4l6xmdgEhCZTAhdOm4N,https://api.spotify.com/v1/tracks/1dS4l6xmdgEhCZTAhdOm4N,https://api.spotify.com/v1/audio-analysis/1dS4l6xmdgEhCZTAhdOm4N,276708,4
16,0.579,0.858,8,-5.212,1,0.114,0.125,0.0,0.0502,0.475,174.043,audio_features,0jSccBRnhNU4KtACMQPvco,spotify:track:0jSccBRnhNU4KtACMQPvco,https://api.spotify.com/v1/tracks/0jSccBRnhNU4KtACMQPvco,https://api.spotify.com/v1/audio-analysis/0jSccBRnhNU4KtACMQPvco,224225,3
17,0.583,0.712,2,-4.942,0,0.0326,0.2,0.0,0.268,0.778,94.051,audio_features,1ZPeaPDjQOOC8hw1mNjyjF,spotify:track:1ZPeaPDjQOOC8hw1mNjyjF,https://api.spotify.com/v1/tracks/1ZPeaPDjQOOC8hw1mNjyjF,https://api.spotify.com/v1/audio-analysis/1ZPeaPDjQOOC8hw1mNjyjF,245621,4
18,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,audio_features,4bZZVcgWWMWPBwzTTp642w,spotify:track:4bZZVcgWWMWPBwzTTp642w,https://api.spotify.com/v1/tracks/4bZZVcgWWMWPBwzTTp642w,https://api.spotify.com/v1/audio-analysis/4bZZVcgWWMWPBwzTTp642w,180221,4
19,0.449,0.491,9,-6.433,0,0.029,0.279,0.0,0.0654,0.258,139.923,audio_features,3TZ7NHkMT82AhwuYsd00Hz,spotify:track:3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/tracks/3TZ7NHkMT82AhwuYsd00Hz,https://api.spotify.com/v1/audio-analysis/3TZ7NHkMT82AhwuYsd00Hz,245147,4
20,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994,audio_features,2j1fFjWHCI9KJSwcuYAOyF,spotify:track:2j1fFjWHCI9KJSwcuYAOyF,https://api.spotify.com/v1/tracks/2j1fFjWHCI9KJSwcuYAOyF,https://api.spotify.com/v1/audio-analysis/2j1fFjWHCI9KJSwcuYAOyF,274097,4
