,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.516,0.587,2,-5.756,1,0.0258,0.231,0.0,0.108,0.237,78.024,audio_features,0otmxJEwq9JI1CidrcYEq4,spotify:track:0otmxJEwq9JI1CidrcYEq4,https://api.spotify.com/v1/tracks/0otmxJEwq9JI1CidrcYEq4,https://api.spotify.com/v1/audio-analysis/0otmxJEwq9JI1CidrcYEq4,225101,4
1,0.644,0.791,9,-8.949,0,0.0311,0.000215,1.41e-05,0.102,0.471,123.929,audio_features,2VCB1IOc2oLUkat0YCkTZ6,spotify:track:2VCB1IOc2oLUkat0YCkTZ6,https://api.spotify.com/v1/tracks/2VCB1IOc2oLUkat0YCkTZ6,https://api.spotify.com/v1/audio-analysis/2VCB1IOc2oLUkat0YCkTZ6,217411,4
2,0.576,0.677,8,-7.575,1,0.033,0.0146,1.2e-05,0.424,0.373,139.414,audio_features,36sfWI1rk2Nf4Ek9XDUEnC,spotify:track:36sfWI1rk2Nf4Ek9XDUEnC,https://api.spotify.com/v1/tracks/36sfWI1rk2Nf4Ek9XDUEnC,https://api.spotify.com/v1/audio-analysis/36sfWI1rk2Nf4Ek9XDUEnC,219373,4
3,0.404,0.343,7,-9.581,1,0.0343,0.815,0.0,0.138,0.383,145.132,audio_features,2drbAkZsG7PSe1eVT5kRvy,spotify:track:2drbAkZsG7PSe1eVT5kRvy,https://api.spotify.com/v1/tracks/2drbAkZsG7PSe1eVT5kRvy,https://api.spotify.com/v1/audio-analysis/2drbAkZsG7PSe1eVT5kRvy,203437,4
4,0.444,0.598,7,-5.781,1,0.0286,0.303,2.83e-05,0.202,0.274,82.155,audio_features,4HyCv4lGb8NBnMAC7NB1vm,spotify:track:4HyCv4lGb8NBnMAC7NB1vm,https://api.spotify.com/v1/tracks/4HyCv4lGb8NBnMAC7NB1vm,https://api.spotify.com/v1/audio-analysis/4HyCv4lGb8NBnMAC7NB1vm,229680,4
5,0.348,0.489,7,-7.299,1,0.0277,0.44,0.0,0.118,0.185,79.766,audio_features,2Is3PlW5Jq1Gz0VP0iZPTU,spotify:track:2Is3PlW5Jq1Gz0VP0iZPTU,https://api.spotify.com/v1/tracks/2Is3PlW5Jq1Gz0VP0iZPTU,https://api.spotify.com/v1/audio-analysis/2Is3PlW5Jq1Gz0VP0iZPTU,181507,4
6,0.358,0.51,7,-8.138,1,0.0299,0.188,0.0,0.177,0.26,102.934,audio_features,4RhkLF7D9fXIxnHNz1x77l,spotify:track:4RhkLF7D9fXIxnHNz1x77l,https://api.spotify.com/v1/tracks/4RhkLF7D9fXIxnHNz1x77l,https://api.spotify.com/v1/audio-analysis/4RhkLF7D9fXIxnHNz1x77l,206573,3
7,0.5,0.828,2,-6.321,1,0.0522,0.14,0.0,0.112,0.369,115.865,audio_features,5X2mOJ0i98xUOJh90QGZcZ,spotify:track:5X2mOJ0i98xUOJh90QGZcZ,https://api.spotify.com/v1/tracks/5X2mOJ0i98xUOJh90QGZcZ,https://api.spotify.com/v1/audio-analysis/5X2mOJ0i98xUOJh90QGZcZ,309067,4
8,0.217,0.24,10,-10.153,1,0.034,0.942,2.13e-05,0.461,0.199,89.364,audio_features,0iNnvlm2yEcqKbXCbyu4lG,spotify:track:0iNnvlm2yEcqKbXCbyu4lG,https://api.spotify.com/v1/tracks/0iNnvlm2yEcqKbXCbyu4lG,https://api.spotify.com/v1/audio-analysis/0iNnvlm2yEcqKbXCbyu4lG,170414,4
9,0.612,0.521,10,-7.137,1,0.0331,0.519,0.0,0.166,0.368,92.988,audio_features,6BZuf8iLTI18rN8L8WarzL,spotify:track:6BZuf8iLTI18rN8L8WarzL,https://api.spotify.com/v1/tracks/6BZuf8iLTI18rN8L8WarzL,https://api.spotify.com/v1/audio-analysis/6BZuf8iLTI18rN8L8WarzL,250000,4
10,0.258,0.455,3,-8.6,1,0.0363,0.737,0.000519,0.0926,0.126,111.342,audio_features,3U63p2I2ipLo9Jed8YDBan,spotify:track:3U63p2I2ipLo9Jed8YDBan,https://api.spotify.com/v1/tracks/3U63p2I2ipLo9Jed8YDBan,https://api.spotify.com/v1/audio-analysis/3U63p2I2ipLo9Jed8YDBan,266587,4
11,0.491,0.836,7,-5.584,1,0.046,0.0129,0.0142,0.0694,0.936,157.706,audio_features,2pAIbPz2tIuoLGtpYnY7Xs,spotify:track:2pAIbPz2tIuoLGtpYnY7Xs,https://api.spotify.com/v1/tracks/2pAIbPz2tIuoLGtpYnY7Xs,https://api.spotify.com/v1/audio-analysis/2pAIbPz2tIuoLGtpYnY7Xs,205080,4
12,0.285,0.224,2,-14.59,1,0.0398,0.947,2.14e-05,0.104,0.063,79.834,audio_features,6DbIDoiPDip0VjiHWLumvJ,spotify:track:6DbIDoiPDip0VjiHWLumvJ,https://api.spotify.com/v1/tracks/6DbIDoiPDip0VjiHWLumvJ,https://api.spotify.com/v1/audio-analysis/6DbIDoiPDip0VjiHWLumvJ,292440,4
13,0.459,0.62,3,-5.968,1,0.0304,0.249,0.0,0.125,0.282,77.939,audio_features,3M3dx45gyEiyOdMNIcBwva,spotify:track:3M3dx45gyEiyOdMNIcBwva,https://api.spotify.com/v1/tracks/3M3dx45gyEiyOdMNIcBwva,https://api.spotify.com/v1/audio-analysis/3M3dx45gyEiyOdMNIcBwva,246827,4
14,0.666,0.703,5,-9.257,0,0.0426,0.000932,0.00274,0.0716,0.268,126.737,audio_features,6HZc2jGVvHdxyPCe8ew2Cs,spotify:track:6HZc2jGVvHdxyPCe8ew2Cs,https://api.spotify.com/v1/tracks/6HZc2jGVvHdxyPCe8ew2Cs,https://api.spotify.com/v1/audio-analysis/6HZc2jGVvHdxyPCe8ew2Cs,270013,4
15,0.305,0.474,1,-13.372,1,0.247,0.0417,0.0,0.28,0.0892,177.645,audio_features,2hYwCMaNeIYWlgRNDGu3vs,spotify:track:2hYwCMaNeIYWlgRNDGu3vs,https://api.spotify.com/v1/tracks/2hYwCMaNeIYWlgRNDGu3vs,https://api.spotify.com/v1/audio-analysis/2hYwCMaNeIYWlgRNDGu3vs,292893,4
16,0.209,0.158,0,-14.038,1,0.0326,0.988,0.000244,0.0993,0.0528,88.22,audio_features,2FFdjAw94wyai1L6Pz6lgZ,spotify:track:2FFdjAw94wyai1L6Pz6lgZ,https://api.spotify.com/v1/tracks/2FFdjAw94wyai1L6Pz6lgZ,https://api.spotify.com/v1/audio-analysis/2FFdjAw94wyai1L6Pz6lgZ,262707,4
17,0.758,0.68,5,-7.632,0,0.027,0.0132,4.13e-05,0.257,0.912,110.219,audio_features,5id41IBDx0DqIRjQqIQHWS,spotify:track:5id41IBDx0DqIRjQqIQHWS,https://api.spotify.com/v1/tracks/5id41IBDx0DqIRjQqIQHWS,https://api.spotify.com/v1/audio-analysis/5id41IBDx0DqIRjQqIQHWS,209827,4
18,0.766,0.543,0,-9.179,1,0.04,0.764,0.000212,0.0998,0.716,110.192,audio_features,494BrVbYnjlMGaiRf1QYIC,spotify:track:494BrVbYnjlMGaiRf1QYIC,https://api.spotify.com/v1/tracks/494BrVbYnjlMGaiRf1QYIC,https://api.spotify.com/v1/audio-analysis/494BrVbYnjlMGaiRf1QYIC,294813,4
19,0.307,0.396,1,-9.047,1,0.0327,0.802,1.34e-06,0.108,0.146,80.09,audio_features,5Pe5ik5uWj08VtNNv6hLUj,spotify:track:5Pe5ik5uWj08VtNNv6hLUj,https://api.spotify.com/v1/tracks/5Pe5ik5uWj08VtNNv6hLUj,https://api.spotify.com/v1/audio-analysis/5Pe5ik5uWj08VtNNv6hLUj,363947,1
20,0.217,0.417,10,-8.531,0,0.0363,0.867,0.000285,0.0719,0.22,157.534,audio_features,4TthyNX05B0xi6yft1nP86,spotify:track:4TthyNX05B0xi6yft1nP86,https://api.spotify.com/v1/tracks/4TthyNX05B0xi6yft1nP86,https://api.spotify.com/v1/audio-analysis/4TthyNX05B0xi6yft1nP86,346720,4
21,0.698,0.746,5,-6.759,0,0.0443,0.166,4.24e-06,0.269,0.477,118.822,audio_features,2jzS0f1C4af20OavmCodWQ,spotify:track:2jzS0f1C4af20OavmCodWQ,https://api.spotify.com/v1/tracks/2jzS0f1C4af20OavmCodWQ,https://api.spotify.com/v1/audio-analysis/2jzS0f1C4af20OavmCodWQ,214947,4
22,0.654,0.845,9,-7.9,0,0.0673,0.000649,0.0186,0.16,0.831,155.553,audio_features,3zw28wsZQC6AFYk5EVy6Yp,spotify:track:3zw28wsZQC6AFYk5EVy6Yp,https://api.spotify.com/v1/tracks/3zw28wsZQC6AFYk5EVy6Yp,https://api.spotify.com/v1/audio-analysis/3zw28wsZQC6AFYk5EVy6Yp,200027,4
23,0.174,0.186,0,-13.857,1,0.0413,0.966,0.0687,0.108,0.0384,107.564,audio_features,1N5yPXt3ydqFd8dAI6q2wE,spotify:track:1N5yPXt3ydqFd8dAI6q2wE,https://api.spotify.com/v1/tracks/1N5yPXt3ydqFd8dAI6q2wE,https://api.spotify.com/v1/audio-analysis/1N5yPXt3ydqFd8dAI6q2wE,237360,4
