,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,audio_features,0wbDgMuAoy7O7pL3a69uZx,spotify:track:0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/tracks/0wbDgMuAoy7O7pL3a69uZx,https://api.spotify.com/v1/audio-analysis/0wbDgMuAoy7O7pL3a69uZx,234027,4
1,0.814,0.587,6,-10.161,0,0.238,0.00179,0.019,0.645,0.753,111.761,audio_features,50DAHcCqneoupFyh96P2GP,spotify:track:50DAHcCqneoupFyh96P2GP,https://api.spotify.com/v1/tracks/50DAHcCqneoupFyh96P2GP,https://api.spotify.com/v1/audio-analysis/50DAHcCqneoupFyh96P2GP,261867,4
2,0.82,0.809,4,-6.759,0,0.251,0.443,0.00175,0.0613,0.737,83.011,audio_features,7gKgd0P3dAAePiSQQBqrlf,spotify:track:7gKgd0P3dAAePiSQQBqrlf,https://api.spotify.com/v1/tracks/7gKgd0P3dAAePiSQQBqrlf,https://api.spotify.com/v1/audio-analysis/7gKgd0P3dAAePiSQQBqrlf,231240,4
3,0.727,0.597,5,-3.039,0,0.288,0.066,0.0,0.0565,0.745,102.343,audio_features,5iaiorGtgmG6C5XbvIZWjQ,spotify:track:5iaiorGtgmG6C5XbvIZWjQ,https://api.spotify.com/v1/tracks/5iaiorGtgmG6C5XbvIZWjQ,https://api.spotify.com/v1/audio-analysis/5iaiorGtgmG6C5XbvIZWjQ,268000,4
4,0.905,0.544,8,-4.354,0,0.117,0.258,0.0,0.0618,0.882,90.026,audio_features,4YA5g2UpNLmdql8fdrhlwY,spotify:track:4YA5g2UpNLmdql8fdrhlwY,https://api.spotify.com/v1/tracks/4YA5g2UpNLmdql8fdrhlwY,https://api.spotify.com/v1/audio-analysis/4YA5g2UpNLmdql8fdrhlwY,230107,4
5,0.782,0.861,3,-3.813,0,0.181,0.0158,0.000532,0.0675,0.518,96.458,audio_features,5hALSggfcyvBNLUHY8pvZd,spotify:track:5hALSggfcyvBNLUHY8pvZd,https://api.spotify.com/v1/tracks/5hALSggfcyvBNLUHY8pvZd,https://api.spotify.com/v1/audio-analysis/5hALSggfcyvBNLUHY8pvZd,282067,4
6,0.62,0.856,6,-4.937,1,0.315,0.0374,0.0,0.116,0.665,104.743,audio_features,6AOGwXnlNqotnXdza8Rb7m,spotify:track:6AOGwXnlNqotnXdza8Rb7m,https://api.spotify.com/v1/tracks/6AOGwXnlNqotnXdza8Rb7m,https://api.spotify.com/v1/audio-analysis/6AOGwXnlNqotnXdza8Rb7m,251453,4
7,0.573,0.906,9,-2.408,1,0.325,0.229,0.0,0.183,0.775,110.64,audio_features,28mv40MzspRZn0PBcO2itT,spotify:track:28mv40MzspRZn0PBcO2itT,https://api.spotify.com/v1/tracks/28mv40MzspRZn0PBcO2itT,https://api.spotify.com/v1/audio-analysis/28mv40MzspRZn0PBcO2itT,270733,5
8,0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,audio_features,2bLqfJjuC5syrsgDsZfGmn,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/audio-analysis/2bLqfJjuC5syrsgDsZfGmn,179120,4
9,0.757,0.892,6,-5.321,1,0.124,0.178,4.19e-05,0.0719,0.936,127.014,audio_features,0upFohXrGxIIAjyaJmCkMU,spotify:track:0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/tracks/0upFohXrGxIIAjyaJmCkMU,https://api.spotify.com/v1/audio-analysis/0upFohXrGxIIAjyaJmCkMU,255947,4
