,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,audio_features,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,216880,4
1,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,187520,4
2,0.596,0.798,0,-4.63,1,0.0285,0.00412,0.0,0.338,0.459,105.01,audio_features,3RQHAFkEHiFHQ7qmMpKRdv,spotify:track:3RQHAFkEHiFHQ7qmMpKRdv,https://api.spotify.com/v1/tracks/3RQHAFkEHiFHQ7qmMpKRdv,https://api.spotify.com/v1/audio-analysis/3RQHAFkEHiFHQ7qmMpKRdv,199342,4
3,0.627,0.935,5,-4.882,1,0.0324,0.0092,0.0,0.147,0.287,120.092,audio_features,18lR4BzEs7e3qzc0KVkTpU,spotify:track:18lR4BzEs7e3qzc0KVkTpU,https://api.spotify.com/v1/tracks/18lR4BzEs7e3qzc0KVkTpU,https://api.spotify.com/v1/audio-analysis/18lR4BzEs7e3qzc0KVkTpU,205227,4
4,0.554,0.98,4,-3.514,1,0.108,0.127,0.0,0.0833,0.611,135.12,audio_features,4Yf5bqU3NK4kNOypcrLYwU,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/tracks/4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/audio-analysis/4Yf5bqU3NK4kNOypcrLYwU,162107,4
5,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,audio_features,3K4HG9evC7dg3N0R9cYqk4,spotify:track:3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/tracks/3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/audio-analysis/3K4HG9evC7dg3N0R9cYqk4,157333,4
6,0.541,0.969,11,-3.439,1,0.0458,0.113,0.0,0.638,0.599,140.119,audio_features,0UFDKFqW2oGspYeYqo9wjA,spotify:track:0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/tracks/0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/audio-analysis/0UFDKFqW2oGspYeYqo9wjA,164427,4
7,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,audio_features,1Vej0qeQ3ioKwpI6FUbRv1,spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,https://api.spotify.com/v1/tracks/1Vej0qeQ3ioKwpI6FUbRv1,https://api.spotify.com/v1/audio-analysis/1Vej0qeQ3ioKwpI6FUbRv1,184867,4
8,0.451,0.951,1,-3.754,1,0.0645,0.000386,2.56e-06,0.261,0.441,162.041,audio_features,3fjmSxt0PskST13CSdBUFx,spotify:track:3fjmSxt0PskST13CSdBUFx,https://api.spotify.com/v1/tracks/3fjmSxt0PskST13CSdBUFx,https://api.spotify.com/v1/audio-analysis/3fjmSxt0PskST13CSdBUFx,213933,4
9,0.655,0.886,7,-4.116,1,0.0435,0.00113,0.000409,0.0448,0.938,100.088,audio_features,1fLlRApgzxWweF1JTf8yM5,spotify:track:1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/tracks/1fLlRApgzxWweF1JTf8yM5,https://api.spotify.com/v1/audio-analysis/1fLlRApgzxWweF1JTf8yM5,189293,4
