,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
1,0.455,0.936,1,-3.09,1,0.159,0.000157,0.0,0.555,0.335,105.038,audio_features,1EQgXWPkU96b4tw3pJtTp1,spotify:track:1EQgXWPkU96b4tw3pJtTp1,https://api.spotify.com/v1/tracks/1EQgXWPkU96b4tw3pJtTp1,https://api.spotify.com/v1/audio-analysis/1EQgXWPkU96b4tw3pJtTp1,189549,3
2,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,audio_features,4Uiw0Sl9yskBaC6P4DcdVD,spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,https://api.spotify.com/v1/tracks/4Uiw0Sl9yskBaC6P4DcdVD,https://api.spotify.com/v1/audio-analysis/4Uiw0Sl9yskBaC6P4DcdVD,299867,4
3,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,audio_features,6p8eFfPw3nQkf37aT3AkmK,spotify:track:6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK,https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK,438120,4
4,0.639,0.893,2,-6.651,1,0.0802,0.00147,6.75e-06,0.34,0.659,98.006,audio_features,4QbvKaOOsRXSUT0ySto5Ks,spotify:track:4QbvKaOOsRXSUT0ySto5Ks,https://api.spotify.com/v1/tracks/4QbvKaOOsRXSUT0ySto5Ks,https://api.spotify.com/v1/audio-analysis/4QbvKaOOsRXSUT0ySto5Ks,193853,4
5,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,audio_features,2bPGTMB5sFfFYQ2YvSmup0,spotify:track:2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/tracks/2bPGTMB5sFfFYQ2YvSmup0,https://api.spotify.com/v1/audio-analysis/2bPGTMB5sFfFYQ2YvSmup0,322340,4
6,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
7,0.494,0.792,6,-6.055,1,0.14,4.06e-05,0.00332,0.563,0.366,80.002,audio_features,4GswFW5miCkwi9iqrDqEw4,spotify:track:4GswFW5miCkwi9iqrDqEw4,https://api.spotify.com/v1/tracks/4GswFW5miCkwi9iqrDqEw4,https://api.spotify.com/v1/audio-analysis/4GswFW5miCkwi9iqrDqEw4,204226,4
8,0.559,0.889,5,-6.284,0,0.0669,0.000269,0.00118,0.083,0.666,140.047,audio_features,14WYmNQWvR2TTWoRp8t9Ml,spotify:track:14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/tracks/14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/audio-analysis/14WYmNQWvR2TTWoRp8t9Ml,216429,4
9,0.353,0.677,7,-8.159,1,0.041,0.000908,2.91e-06,0.276,0.222,73.762,audio_features,4tjTsxTBcacHcx0AvWERLE,spotify:track:4tjTsxTBcacHcx0AvWERLE,https://api.spotify.com/v1/tracks/4tjTsxTBcacHcx0AvWERLE,https://api.spotify.com/v1/audio-analysis/4tjTsxTBcacHcx0AvWERLE,353987,4
