,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,audio_features,04TshWXkhV1qkqHzf31Hn6,spotify:track:04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/tracks/04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/audio-analysis/04TshWXkhV1qkqHzf31Hn6,255827,4
1,0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,audio_features,49h5Aav6yn1o1ACGyovDdZ,spotify:track:49h5Aav6yn1o1ACGyovDdZ,https://api.spotify.com/v1/tracks/49h5Aav6yn1o1ACGyovDdZ,https://api.spotify.com/v1/audio-analysis/49h5Aav6yn1o1ACGyovDdZ,326843,4
2,0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,audio_features,172fMG26G2OoEzzg0wn26r,spotify:track:172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/tracks/172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/audio-analysis/172fMG26G2OoEzzg0wn26r,276373,4
3,0.627,0.824,1,-3.419,1,0.118,0.0699,6.57e-05,0.31,0.774,169.935,audio_features,06XQvnJb53SUYmlWIhUXUi,spotify:track:06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/tracks/06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000,4
4,0.471,0.868,1,-2.291,1,0.0295,0.0384,0.0,0.297,0.811,173.969,audio_features,45YBVp6zMwQZRbUDcPzmMB,spotify:track:45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/tracks/45YBVp6zMwQZRbUDcPzmMB,https://api.spotify.com/v1/audio-analysis/45YBVp6zMwQZRbUDcPzmMB,288013,4
5,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,5NqGfELjcdvRIUuhgZJ34W,spotify:track:5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/tracks/5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/audio-analysis/5NqGfELjcdvRIUuhgZJ34W,306627,4
6,0.679,0.931,1,-3.74,0,0.0474,0.00466,0.0,0.0652,0.962,121.001,audio_features,7AqUE5AY514dbzeOAfJRa0,spotify:track:7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/tracks/7AqUE5AY514dbzeOAfJRa0,https://api.spotify.com/v1/audio-analysis/7AqUE5AY514dbzeOAfJRa0,243813,4
7,0.477,0.685,2,-4.554,1,0.0325,0.105,0.0,0.277,0.308,152.04,audio_features,0cSkn2l67csUljEy0EEBPn,spotify:track:0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/tracks/0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/audio-analysis/0cSkn2l67csUljEy0EEBPn,275000,4
8,0.432,0.848,11,-10.784,1,0.036,0.000125,0.705,0.263,0.892,94.982,audio_features,2b5UNGjR8mPSGetGHVvnX3,spotify:track:2b5UNGjR8mPSGetGHVvnX3,https://api.spotify.com/v1/tracks/2b5UNGjR8mPSGetGHVvnX3,https://api.spotify.com/v1/audio-analysis/2b5UNGjR8mPSGetGHVvnX3,287197,4
9,0.77,0.803,0,-4.189,0,0.0301,0.0539,0.0,0.0812,0.903,140.02,audio_features,56C1UvPHIRtuLKV3qLtEJ6,spotify:track:56C1UvPHIRtuLKV3qLtEJ6,https://api.spotify.com/v1/tracks/56C1UvPHIRtuLKV3qLtEJ6,https://api.spotify.com/v1/audio-analysis/56C1UvPHIRtuLKV3qLtEJ6,220920,4
