,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
1,0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,audio_features,6kopmMZiyLmw7h66uXcXR7,spotify:track:6kopmMZiyLmw7h66uXcXR7,https://api.spotify.com/v1/tracks/6kopmMZiyLmw7h66uXcXR7,https://api.spotify.com/v1/audio-analysis/6kopmMZiyLmw7h66uXcXR7,219413,4
2,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,audio_features,6b6IMqP565TbtFFZg9iFf3,spotify:track:6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/tracks/6b6IMqP565TbtFFZg9iFf3,https://api.spotify.com/v1/audio-analysis/6b6IMqP565TbtFFZg9iFf3,160280,4
3,0.611,0.487,7,-8.781,1,0.0938,0.417,1e-05,0.287,0.699,143.321,audio_features,5haXbSJqjjM0TCJ5XkfEaC,spotify:track:5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/tracks/5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/audio-analysis/5haXbSJqjjM0TCJ5XkfEaC,165800,4
4,0.654,0.652,7,-9.304,0,0.0426,0.13,1.49e-05,0.202,0.846,115.389,audio_features,3MFa9idQuY4iJLWsZl3tIQ,spotify:track:3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/tracks/3MFa9idQuY4iJLWsZl3tIQ,https://api.spotify.com/v1/audio-analysis/3MFa9idQuY4iJLWsZl3tIQ,248360,4
5,0.388,0.694,1,-6.537,0,0.0459,0.0951,1.79e-05,0.199,0.6,180.043,audio_features,6J3HNhDBIwEX11bX8hzx5u,spotify:track:6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/tracks/6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/audio-analysis/6J3HNhDBIwEX11bX8hzx5u,246587,4
6,0.595,0.921,0,-7.329,1,0.0987,0.179,0.0,0.812,0.937,102.35,audio_features,65kKvpTuhJAVxyFPlKuOAd,spotify:track:65kKvpTuhJAVxyFPlKuOAd,https://api.spotify.com/v1/tracks/65kKvpTuhJAVxyFPlKuOAd,https://api.spotify.com/v1/audio-analysis/65kKvpTuhJAVxyFPlKuOAd,208840,4
7,0.758,0.586,11,-13.461,0,0.056,0.033,0.0028,0.0743,0.947,154.629,audio_features,4gRA0i5sxx3jAhHaVjPnUN,spotify:track:4gRA0i5sxx3jAhHaVjPnUN,https://api.spotify.com/v1/tracks/4gRA0i5sxx3jAhHaVjPnUN,https://api.spotify.com/v1/audio-analysis/4gRA0i5sxx3jAhHaVjPnUN,228327,4
8,0.596,0.793,5,-6.611,1,0.0421,0.586,1.86e-06,0.108,0.8,150.256,audio_features,0Omt3rVppHIlYFXNL1VWgL,spotify:track:0Omt3rVppHIlYFXNL1VWgL,https://api.spotify.com/v1/tracks/0Omt3rVppHIlYFXNL1VWgL,https://api.spotify.com/v1/audio-analysis/0Omt3rVppHIlYFXNL1VWgL,172947,4
9,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,3NfxSdJnVdon1axzloJgba,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4
10,0.772,0.371,5,-5.743,0,0.0348,0.745,0.0,0.167,0.684,96.574,audio_features,6nLvaCZFR1wEzW3sIKpsnr,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,https://api.spotify.com/v1/tracks/6nLvaCZFR1wEzW3sIKpsnr,https://api.spotify.com/v1/audio-analysis/6nLvaCZFR1wEzW3sIKpsnr,233733,4
11,0.731,0.861,8,-5.483,0,0.0532,0.0193,0.0,0.123,0.759,127.922,audio_features,3dj4wgM3cPeuLwMNHDuBon,spotify:track:3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/tracks/3dj4wgM3cPeuLwMNHDuBon,https://api.spotify.com/v1/audio-analysis/3dj4wgM3cPeuLwMNHDuBon,212649,4
12,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4
13,0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,audio_features,1Hv1VTm8zeOeybub15mA2R,spotify:track:1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/tracks/1Hv1VTm8zeOeybub15mA2R,https://api.spotify.com/v1/audio-analysis/1Hv1VTm8zeOeybub15mA2R,258693,4
14,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4
15,0.686,0.672,11,-5.523,1,0.0323,0.7,0.0,0.135,0.857,128.55,audio_features,2G0GextMwZJLkNxcSZ7ZJ3,spotify:track:2G0GextMwZJLkNxcSZ7ZJ3,https://api.spotify.com/v1/tracks/2G0GextMwZJLkNxcSZ7ZJ3,https://api.spotify.com/v1/audio-analysis/2G0GextMwZJLkNxcSZ7ZJ3,128787,4
16,0.846,0.595,0,-8.372,1,0.0439,0.0904,1.96e-06,0.063,0.78,101.632,audio_features,5YLnfy7R2kueN0BRPkjiEG,spotify:track:5YLnfy7R2kueN0BRPkjiEG,https://api.spotify.com/v1/tracks/5YLnfy7R2kueN0BRPkjiEG,https://api.spotify.com/v1/audio-analysis/5YLnfy7R2kueN0BRPkjiEG,196827,4
17,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,audio_features,3koCCeSaVUyrRo3N2gHrd8,spotify:track:3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/tracks/3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/audio-analysis/3koCCeSaVUyrRo3N2gHrd8,339320,4
18,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,audio_features,62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/tracks/62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/audio-analysis/62r1CS9zL1FL5Ilb7hLX7n,225373,4
19,0.954,0.777,2,-7.935,0,0.0422,0.0541,0.786,0.111,0.952,122.32,audio_features,6sI5m6cabkKWBuDh0kXMKk,spotify:track:6sI5m6cabkKWBuDh0kXMKk,https://api.spotify.com/v1/tracks/6sI5m6cabkKWBuDh0kXMKk,https://api.spotify.com/v1/audio-analysis/6sI5m6cabkKWBuDh0kXMKk,202480,4
20,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,audio_features,1tqT6DhmsrtQgyCKUwotiw,spotify:track:1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/tracks/1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/audio-analysis/1tqT6DhmsrtQgyCKUwotiw,194293,4
21,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,audio_features,1Omt5bfz1tZUCqd26HxbS0,spotify:track:1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/tracks/1Omt5bfz1tZUCqd26HxbS0,https://api.spotify.com/v1/audio-analysis/1Omt5bfz1tZUCqd26HxbS0,240600,4
22,0.763,0.655,0,-6.86,1,0.0417,0.552,0.0,0.125,0.925,118.397,audio_features,4CoGNqLap7UGU5Q3VdKug0,spotify:track:4CoGNqLap7UGU5Q3VdKug0,https://api.spotify.com/v1/tracks/4CoGNqLap7UGU5Q3VdKug0,https://api.spotify.com/v1/audio-analysis/4CoGNqLap7UGU5Q3VdKug0,156173,4
23,0.885,0.272,10,-11.362,0,0.0628,0.0117,0.158,0.114,0.806,112.026,audio_features,71p2ub5QJhJTzfvXbXaUXd,spotify:track:71p2ub5QJhJTzfvXbXaUXd,https://api.spotify.com/v1/tracks/71p2ub5QJhJTzfvXbXaUXd,https://api.spotify.com/v1/audio-analysis/71p2ub5QJhJTzfvXbXaUXd,198846,4
24,0.836,0.626,9,-10.143,0,0.0335,0.0943,0.742,0.153,0.898,114.657,audio_features,58r4JuwHhXLAkttkaUZfLw,spotify:track:58r4JuwHhXLAkttkaUZfLw,https://api.spotify.com/v1/tracks/58r4JuwHhXLAkttkaUZfLw,https://api.spotify.com/v1/audio-analysis/58r4JuwHhXLAkttkaUZfLw,307947,4
25,0.714,0.726,11,-9.218,1,0.0408,0.0316,0.0,0.066,0.92,124.71,audio_features,1QvWxgZvTU0w8rlPRE5Zrv,spotify:track:1QvWxgZvTU0w8rlPRE5Zrv,https://api.spotify.com/v1/tracks/1QvWxgZvTU0w8rlPRE5Zrv,https://api.spotify.com/v1/audio-analysis/1QvWxgZvTU0w8rlPRE5Zrv,284840,4
26,0.451,0.326,7,-9.239,0,0.0372,0.863,0.0,0.192,0.55,81.726,audio_features,6Rqn2GFlmvmV4w9Ala0I1e,spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/tracks/6Rqn2GFlmvmV4w9Ala0I1e,https://api.spotify.com/v1/audio-analysis/6Rqn2GFlmvmV4w9Ala0I1e,174000,4
27,0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,audio_features,7KX65PC1UZuImsUInThbav,spotify:track:7KX65PC1UZuImsUInThbav,https://api.spotify.com/v1/tracks/7KX65PC1UZuImsUInThbav,https://api.spotify.com/v1/audio-analysis/7KX65PC1UZuImsUInThbav,210300,4
28,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293,4
