,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.331,0.839,9,-4.309,1,0.0426,1.84e-05,1.04e-05,0.382,0.284,98.79,audio_features,5vtO8ef3fcryQmzOi7gLrk,spotify:track:5vtO8ef3fcryQmzOi7gLrk,https://api.spotify.com/v1/tracks/5vtO8ef3fcryQmzOi7gLrk,https://api.spotify.com/v1/audio-analysis/5vtO8ef3fcryQmzOi7gLrk,214320,4
1,0.31,0.695,9,-5.259,1,0.0446,6.41e-05,0.000103,0.372,0.443,96.777,audio_features,5x6LHdYyDQ9cywSfZdPSjQ,spotify:track:5x6LHdYyDQ9cywSfZdPSjQ,https://api.spotify.com/v1/tracks/5x6LHdYyDQ9cywSfZdPSjQ,https://api.spotify.com/v1/audio-analysis/5x6LHdYyDQ9cywSfZdPSjQ,206667,4
2,0.159,0.965,4,-1.713,1,0.069,4.42e-05,1.33e-05,0.364,0.355,199.719,audio_features,2R4IXQQ3DoWosEB2BrtdxF,spotify:track:2R4IXQQ3DoWosEB2BrtdxF,https://api.spotify.com/v1/tracks/2R4IXQQ3DoWosEB2BrtdxF,https://api.spotify.com/v1/audio-analysis/2R4IXQQ3DoWosEB2BrtdxF,200013,4
3,0.354,0.972,4,-2.135,1,0.102,3.39e-05,0.000128,0.598,0.263,105.079,audio_features,2vVdCWpMMJGoLXoDTiVSOd,spotify:track:2vVdCWpMMJGoLXoDTiVSOd,https://api.spotify.com/v1/tracks/2vVdCWpMMJGoLXoDTiVSOd,https://api.spotify.com/v1/audio-analysis/2vVdCWpMMJGoLXoDTiVSOd,155467,4
4,0.519,0.858,4,-2.346,1,0.0576,0.000868,1.01e-05,0.0809,0.509,94.887,audio_features,5DNroRlIod5WaItL8Swh4b,spotify:track:5DNroRlIod5WaItL8Swh4b,https://api.spotify.com/v1/tracks/5DNroRlIod5WaItL8Swh4b,https://api.spotify.com/v1/audio-analysis/5DNroRlIod5WaItL8Swh4b,168707,4
5,0.28,0.937,1,-1.846,0,0.303,0.000314,0.00549,0.115,0.425,205.11,audio_features,7nfGTz5jUJugI3z4yWPpNZ,spotify:track:7nfGTz5jUJugI3z4yWPpNZ,https://api.spotify.com/v1/tracks/7nfGTz5jUJugI3z4yWPpNZ,https://api.spotify.com/v1/audio-analysis/7nfGTz5jUJugI3z4yWPpNZ,145493,4
6,0.502,0.875,5,-1.776,1,0.0833,0.00331,0.00502,0.302,0.356,102.469,audio_features,2RMg1DxZrvuQZnLu7P1PQ7,spotify:track:2RMg1DxZrvuQZnLu7P1PQ7,https://api.spotify.com/v1/tracks/2RMg1DxZrvuQZnLu7P1PQ7,https://api.spotify.com/v1/audio-analysis/2RMg1DxZrvuQZnLu7P1PQ7,193133,4
7,0.486,0.954,4,-2.765,1,0.194,0.000373,6.33e-06,0.417,0.559,146.798,audio_features,223nvf6U6stGS3nkA72KQ3,spotify:track:223nvf6U6stGS3nkA72KQ3,https://api.spotify.com/v1/tracks/223nvf6U6stGS3nkA72KQ3,https://api.spotify.com/v1/audio-analysis/223nvf6U6stGS3nkA72KQ3,170533,4
8,0.212,0.886,7,-1.458,1,0.0714,0.00058,0.0,0.341,0.555,202.513,audio_features,0KaaNCbAH0xIrjFagdXrtH,spotify:track:0KaaNCbAH0xIrjFagdXrtH,https://api.spotify.com/v1/tracks/0KaaNCbAH0xIrjFagdXrtH,https://api.spotify.com/v1/audio-analysis/0KaaNCbAH0xIrjFagdXrtH,189467,4
9,0.478,0.953,7,-1.204,1,0.0805,0.00227,0.0,0.426,0.332,109.918,audio_features,1rkZRklec2BNrzgE3KETS9,spotify:track:1rkZRklec2BNrzgE3KETS9,https://api.spotify.com/v1/tracks/1rkZRklec2BNrzgE3KETS9,https://api.spotify.com/v1/audio-analysis/1rkZRklec2BNrzgE3KETS9,135093,4
10,0.495,0.974,6,-2.814,0,0.125,0.00115,0.0,0.487,0.27,110.056,audio_features,7rVnk89Db3FL8A8JspSx0q,spotify:track:7rVnk89Db3FL8A8JspSx0q,https://api.spotify.com/v1/tracks/7rVnk89Db3FL8A8JspSx0q,https://api.spotify.com/v1/audio-analysis/7rVnk89Db3FL8A8JspSx0q,129227,4
11,0.451,0.928,9,-2.894,1,0.0757,0.000875,0.0,0.0911,0.749,144.225,audio_features,2sZkMsfevQczFFXNBzr6al,spotify:track:2sZkMsfevQczFFXNBzr6al,https://api.spotify.com/v1/tracks/2sZkMsfevQczFFXNBzr6al,https://api.spotify.com/v1/audio-analysis/2sZkMsfevQczFFXNBzr6al,191867,4
12,0.358,0.957,9,-2.403,1,0.0526,0.00326,0.0,0.169,0.713,100.008,audio_features,7h8BDDrO6Q8DkwQaA3M1xh,spotify:track:7h8BDDrO6Q8DkwQaA3M1xh,https://api.spotify.com/v1/tracks/7h8BDDrO6Q8DkwQaA3M1xh,https://api.spotify.com/v1/audio-analysis/7h8BDDrO6Q8DkwQaA3M1xh,79467,4
