,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103,audio_features,1z6WtY7X4HQJvzxC4UgkSf,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,267413,4
1,0.583,0.621,5,-6.902,0,0.0479,0.00972,0.00106,0.181,0.399,140.036,audio_features,6jG2YzhxptolDzLHTGLt7S,spotify:track:6jG2YzhxptolDzLHTGLt7S,https://api.spotify.com/v1/tracks/6jG2YzhxptolDzLHTGLt7S,https://api.spotify.com/v1/audio-analysis/6jG2YzhxptolDzLHTGLt7S,323480,4
2,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,audio_features,02M6vucOvmRfMxTXDUwRXu,spotify:track:02M6vucOvmRfMxTXDUwRXu,https://api.spotify.com/v1/tracks/02M6vucOvmRfMxTXDUwRXu,https://api.spotify.com/v1/audio-analysis/02M6vucOvmRfMxTXDUwRXu,213507,4
3,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,audio_features,6g0Orsxv6glTJCt4cHsRsQ,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/tracks/6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/audio-analysis/6g0Orsxv6glTJCt4cHsRsQ,206080,4
4,0.418,0.441,11,-11.522,0,0.283,0.029,0.0707,0.306,0.172,175.928,audio_features,5hgnY0mVcVetszbb85qeDg,spotify:track:5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/tracks/5hgnY0mVcVetszbb85qeDg,https://api.spotify.com/v1/audio-analysis/5hgnY0mVcVetszbb85qeDg,319467,4
5,0.732,0.899,0,-4.237,1,0.143,0.00496,4.64e-05,0.372,0.759,127.091,audio_features,1uXbwHHfgsXcUKfSZw5ZJ0,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/tracks/1uXbwHHfgsXcUKfSZw5ZJ0,https://api.spotify.com/v1/audio-analysis/1uXbwHHfgsXcUKfSZw5ZJ0,236093,4
6,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
7,0.524,0.397,0,-11.936,1,0.405,0.745,0.0,0.521,0.552,80.744,audio_features,0rzNMzZsubFcXSEh7dnem7,spotify:track:0rzNMzZsubFcXSEh7dnem7,https://api.spotify.com/v1/tracks/0rzNMzZsubFcXSEh7dnem7,https://api.spotify.com/v1/audio-analysis/0rzNMzZsubFcXSEh7dnem7,221093,4
8,0.512,0.624,11,-6.761,1,0.0509,0.00305,0.000172,0.346,0.2,129.932,audio_features,7lUA4P03AhwAw40JHkdyGr,spotify:track:7lUA4P03AhwAw40JHkdyGr,https://api.spotify.com/v1/tracks/7lUA4P03AhwAw40JHkdyGr,https://api.spotify.com/v1/audio-analysis/7lUA4P03AhwAw40JHkdyGr,257653,4
9,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,audio_features,0lnIJmgcUpEpe4AZACjayW,spotify:track:0lnIJmgcUpEpe4AZACjayW,https://api.spotify.com/v1/tracks/0lnIJmgcUpEpe4AZACjayW,https://api.spotify.com/v1/audio-analysis/0lnIJmgcUpEpe4AZACjayW,232560,4
10,0.64,0.659,8,-7.273,1,0.215,0.241,8.33e-06,0.484,0.457,136.804,audio_features,0zVMzJ37VQNFUNvdxxat2E,spotify:track:0zVMzJ37VQNFUNvdxxat2E,https://api.spotify.com/v1/tracks/0zVMzJ37VQNFUNvdxxat2E,https://api.spotify.com/v1/audio-analysis/0zVMzJ37VQNFUNvdxxat2E,234413,4
11,0.665,0.787,5,-5.73,1,0.151,0.31,0.0,0.219,0.699,167.351,audio_features,3axkNosdVQLZiq1HakuGhc,spotify:track:3axkNosdVQLZiq1HakuGhc,https://api.spotify.com/v1/tracks/3axkNosdVQLZiq1HakuGhc,https://api.spotify.com/v1/audio-analysis/3axkNosdVQLZiq1HakuGhc,212147,4
12,0.546,0.649,6,-4.056,1,0.0324,0.143,1.55e-05,0.0894,0.298,99.05,audio_features,3lBRNqXjPp2j3JMTCXDTNO,spotify:track:3lBRNqXjPp2j3JMTCXDTNO,https://api.spotify.com/v1/tracks/3lBRNqXjPp2j3JMTCXDTNO,https://api.spotify.com/v1/audio-analysis/3lBRNqXjPp2j3JMTCXDTNO,253747,4
13,0.716,0.811,6,-7.503,0,0.212,0.0328,0.000517,0.0649,0.786,118.005,audio_features,3FPUFltTjg6ClUL2wr9ux6,spotify:track:3FPUFltTjg6ClUL2wr9ux6,https://api.spotify.com/v1/tracks/3FPUFltTjg6ClUL2wr9ux6,https://api.spotify.com/v1/audio-analysis/3FPUFltTjg6ClUL2wr9ux6,223987,4
14,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,audio_features,6RX5iL93VZ5fKmyvNXvF1r,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,https://api.spotify.com/v1/tracks/6RX5iL93VZ5fKmyvNXvF1r,https://api.spotify.com/v1/audio-analysis/6RX5iL93VZ5fKmyvNXvF1r,227853,4
15,0.47,0.793,0,-8.929,1,0.26,0.164,1.31e-06,0.313,0.216,170.1,audio_features,40xhyfAPDoMtv494MfPevP,spotify:track:40xhyfAPDoMtv494MfPevP,https://api.spotify.com/v1/tracks/40xhyfAPDoMtv494MfPevP,https://api.spotify.com/v1/audio-analysis/40xhyfAPDoMtv494MfPevP,215947,4
16,0.437,0.803,2,-6.412,1,0.305,0.0376,0.0,0.683,0.406,84.378,audio_features,7aBxcRw77817BrkdPChAGY,spotify:track:7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/tracks/7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/audio-analysis/7aBxcRw77817BrkdPChAGY,289760,4
