,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
1,0.678,0.493,8,-13.782,1,0.0302,0.0882,0.153,0.264,0.914,122.627,audio_features,0nFZ2HQRnIxiwraCm2X6Uq,spotify:track:0nFZ2HQRnIxiwraCm2X6Uq,https://api.spotify.com/v1/tracks/0nFZ2HQRnIxiwraCm2X6Uq,https://api.spotify.com/v1/audio-analysis/0nFZ2HQRnIxiwraCm2X6Uq,166960,4
2,0.598,0.669,0,-11.402,1,0.0465,0.0634,0.126,0.11,0.777,110.16,audio_features,6YGREHE5JCSWpkW82QWrv0,spotify:track:6YGREHE5JCSWpkW82QWrv0,https://api.spotify.com/v1/tracks/6YGREHE5JCSWpkW82QWrv0,https://api.spotify.com/v1/audio-analysis/6YGREHE5JCSWpkW82QWrv0,302733,4
3,0.4,0.496,5,-9.249,0,0.0348,0.334,0.182,0.218,0.397,168.303,audio_features,6q30YvO4lbfz3SegBtT2Vt,spotify:track:6q30YvO4lbfz3SegBtT2Vt,https://api.spotify.com/v1/tracks/6q30YvO4lbfz3SegBtT2Vt,https://api.spotify.com/v1/audio-analysis/6q30YvO4lbfz3SegBtT2Vt,379293,3
4,0.441,0.361,9,-13.803,1,0.0717,0.567,0.0751,0.143,0.513,68.024,audio_features,3IR1XvWMuVAAVNrBnfydEH,spotify:track:3IR1XvWMuVAAVNrBnfydEH,https://api.spotify.com/v1/tracks/3IR1XvWMuVAAVNrBnfydEH,https://api.spotify.com/v1/audio-analysis/3IR1XvWMuVAAVNrBnfydEH,325693,4
5,0.644,0.727,0,-9.459,0,0.0453,0.29,0.00025,0.14,0.94,127.93,audio_features,4nFUyC6eDW1wJsYSYLMqZd,spotify:track:4nFUyC6eDW1wJsYSYLMqZd,https://api.spotify.com/v1/tracks/4nFUyC6eDW1wJsYSYLMqZd,https://api.spotify.com/v1/audio-analysis/4nFUyC6eDW1wJsYSYLMqZd,260733,4
6,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,audio_features,3cg0dJfrQB66Qf2YthPb6G,spotify:track:3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/tracks/3cg0dJfrQB66Qf2YthPb6G,https://api.spotify.com/v1/audio-analysis/3cg0dJfrQB66Qf2YthPb6G,301133,4
7,0.357,0.408,7,-13.557,1,0.0407,0.000582,0.833,0.328,0.562,175.188,audio_features,2T3mWbAqtVIW8p6E23HD5s,spotify:track:2T3mWbAqtVIW8p6E23HD5s,https://api.spotify.com/v1/tracks/2T3mWbAqtVIW8p6E23HD5s,https://api.spotify.com/v1/audio-analysis/2T3mWbAqtVIW8p6E23HD5s,305053,3
8,0.576,0.363,0,-14.487,0,0.0512,0.758,0.000147,0.0837,0.452,135.513,audio_features,1ebftgRZcnctL8GpBu0nu8,spotify:track:1ebftgRZcnctL8GpBu0nu8,https://api.spotify.com/v1/tracks/1ebftgRZcnctL8GpBu0nu8,https://api.spotify.com/v1/audio-analysis/1ebftgRZcnctL8GpBu0nu8,200200,4
9,0.746,0.56,5,-14.789,1,0.0565,0.494,0.0,0.316,0.854,124.68,audio_features,2dp14VWbIxOVNmaWKkVB1r,spotify:track:2dp14VWbIxOVNmaWKkVB1r,https://api.spotify.com/v1/tracks/2dp14VWbIxOVNmaWKkVB1r,https://api.spotify.com/v1/audio-analysis/2dp14VWbIxOVNmaWKkVB1r,184960,4
10,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,audio_features,3ocm1Cf1Dk1ODrdBdybh82,spotify:track:3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/tracks/3ocm1Cf1Dk1ODrdBdybh82,https://api.spotify.com/v1/audio-analysis/3ocm1Cf1Dk1ODrdBdybh82,169998,4
11,0.518,0.223,5,-13.805,1,0.0338,0.459,0.000161,0.0479,0.34,143.628,audio_features,1lK8K3i4ooFEcCoCNHAmvl,spotify:track:1lK8K3i4ooFEcCoCNHAmvl,https://api.spotify.com/v1/tracks/1lK8K3i4ooFEcCoCNHAmvl,https://api.spotify.com/v1/audio-analysis/1lK8K3i4ooFEcCoCNHAmvl,264800,3
12,0.393,0.506,9,-13.093,1,0.0639,0.163,0.000122,0.448,0.504,137.863,audio_features,2Im6bpRBekb6Pdm4xoM5WX,spotify:track:2Im6bpRBekb6Pdm4xoM5WX,https://api.spotify.com/v1/tracks/2Im6bpRBekb6Pdm4xoM5WX,https://api.spotify.com/v1/audio-analysis/2Im6bpRBekb6Pdm4xoM5WX,428267,3
13,0.353,0.922,2,-5.64,1,0.0757,0.0488,0.0647,0.314,0.528,145.588,audio_features,2FtX5tOFUVOyjcGQiuGR8f,spotify:track:2FtX5tOFUVOyjcGQiuGR8f,https://api.spotify.com/v1/tracks/2FtX5tOFUVOyjcGQiuGR8f,https://api.spotify.com/v1/audio-analysis/2FtX5tOFUVOyjcGQiuGR8f,271653,3
14,0.416,0.487,2,-8.749,1,0.0345,0.588,0.00162,0.34,0.718,93.262,audio_features,1nyy7yku79STQ8srWmpnbH,spotify:track:1nyy7yku79STQ8srWmpnbH,https://api.spotify.com/v1/tracks/1nyy7yku79STQ8srWmpnbH,https://api.spotify.com/v1/audio-analysis/1nyy7yku79STQ8srWmpnbH,464267,3
15,0.423,0.271,5,-14.806,0,0.0354,0.39,0.597,0.283,0.332,183.532,audio_features,71auWR3IZdhDv3M8RZsqIF,spotify:track:71auWR3IZdhDv3M8RZsqIF,https://api.spotify.com/v1/tracks/71auWR3IZdhDv3M8RZsqIF,https://api.spotify.com/v1/audio-analysis/71auWR3IZdhDv3M8RZsqIF,226600,3
