,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,audio_features,5O4erNlJ74PIF6kGol1ZrC,spotify:track:5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/tracks/5O4erNlJ74PIF6kGol1ZrC,https://api.spotify.com/v1/audio-analysis/5O4erNlJ74PIF6kGol1ZrC,237000,4
1,0.734,0.631,5,-6.887,1,0.098,0.258,2.43e-06,0.0752,0.962,141.478,audio_features,6lmLUNd7mcyYqKcg6EIAOu,spotify:track:6lmLUNd7mcyYqKcg6EIAOu,https://api.spotify.com/v1/tracks/6lmLUNd7mcyYqKcg6EIAOu,https://api.spotify.com/v1/audio-analysis/6lmLUNd7mcyYqKcg6EIAOu,271023,4
2,0.835,0.552,9,-8.616,0,0.0814,0.237,0.000249,0.0534,0.904,155.714,audio_features,209SbubR5uKaVzj5SeN42w,spotify:track:209SbubR5uKaVzj5SeN42w,https://api.spotify.com/v1/tracks/209SbubR5uKaVzj5SeN42w,https://api.spotify.com/v1/audio-analysis/209SbubR5uKaVzj5SeN42w,240333,4
3,0.939,0.65,9,-8.282,0,0.0618,0.00549,0.0,0.0429,0.968,134.727,audio_features,5JqCmd41S3PZ2AS6GuHqcR,spotify:track:5JqCmd41S3PZ2AS6GuHqcR,https://api.spotify.com/v1/tracks/5JqCmd41S3PZ2AS6GuHqcR,https://api.spotify.com/v1/audio-analysis/5JqCmd41S3PZ2AS6GuHqcR,207773,4
4,0.929,0.463,9,-8.651,1,0.308,0.143,5.3e-06,0.0634,0.755,124.084,audio_features,7BfW1eoDh27W69nxsmRicb,spotify:track:7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/tracks/7BfW1eoDh27W69nxsmRicb,https://api.spotify.com/v1/audio-analysis/7BfW1eoDh27W69nxsmRicb,255840,4
5,0.671,0.255,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.873,audio_features,26PwuMotZqcczKLHi4Htz3,spotify:track:26PwuMotZqcczKLHi4Htz3,https://api.spotify.com/v1/tracks/26PwuMotZqcczKLHi4Htz3,https://api.spotify.com/v1/audio-analysis/26PwuMotZqcczKLHi4Htz3,233560,4
6,0.774,0.531,6,-7.176,0,0.0446,0.0595,0.0,0.0409,0.966,142.011,audio_features,1CAEHafiiJKjp6t9hfYX7f,spotify:track:1CAEHafiiJKjp6t9hfYX7f,https://api.spotify.com/v1/tracks/1CAEHafiiJKjp6t9hfYX7f,https://api.spotify.com/v1/audio-analysis/1CAEHafiiJKjp6t9hfYX7f,242333,4
7,0.932,0.611,9,-8.278,1,0.0853,0.0901,0.00156,0.0467,0.77,125.238,audio_features,5ApfJDLibIoWL0mRZ5uOKu,spotify:track:5ApfJDLibIoWL0mRZ5uOKu,https://api.spotify.com/v1/tracks/5ApfJDLibIoWL0mRZ5uOKu,https://api.spotify.com/v1/audio-analysis/5ApfJDLibIoWL0mRZ5uOKu,231267,4
8,0.901,0.478,0,-7.39,1,0.237,0.12,1.05e-05,0.165,0.828,121.244,audio_features,3Ui4BMHapr00Iul1kB7lHC,spotify:track:3Ui4BMHapr00Iul1kB7lHC,https://api.spotify.com/v1/tracks/3Ui4BMHapr00Iul1kB7lHC,https://api.spotify.com/v1/audio-analysis/3Ui4BMHapr00Iul1kB7lHC,231773,4
9,0.776,0.561,6,-8.375,0,0.103,0.111,0.0,0.067,0.743,122.246,audio_features,6JRLFiX9NJSoRRKxowlBYr,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200,4
10,0.779,0.408,7,-9.205,1,0.22,0.00342,0.000146,0.253,0.433,127.942,audio_features,5Uv1YNz6uBepPLDdoFANKQ,spotify:track:5Uv1YNz6uBepPLDdoFANKQ,https://api.spotify.com/v1/tracks/5Uv1YNz6uBepPLDdoFANKQ,https://api.spotify.com/v1/audio-analysis/5Uv1YNz6uBepPLDdoFANKQ,271000,4
11,0.904,0.431,11,-10.14,0,0.116,0.191,0.00179,0.0928,0.751,127.57,audio_features,2qmHhaOmlcKDeGfipGhF1j,spotify:track:2qmHhaOmlcKDeGfipGhF1j,https://api.spotify.com/v1/tracks/2qmHhaOmlcKDeGfipGhF1j,https://api.spotify.com/v1/audio-analysis/2qmHhaOmlcKDeGfipGhF1j,175627,4
12,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.128,audio_features,7yFvSYKk3g5g8e7Ffl16ws,spotify:track:7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/tracks/7yFvSYKk3g5g8e7Ffl16ws,https://api.spotify.com/v1/audio-analysis/7yFvSYKk3g5g8e7Ffl16ws,180267,4
13,0.759,0.475,9,-8.201,0,0.271,0.359,3.85e-06,0.105,0.644,140.153,audio_features,2Ezmm08Oy4772SkEoC18Kt,spotify:track:2Ezmm08Oy4772SkEoC18Kt,https://api.spotify.com/v1/tracks/2Ezmm08Oy4772SkEoC18Kt,https://api.spotify.com/v1/audio-analysis/2Ezmm08Oy4772SkEoC18Kt,193227,4
14,0.935,0.479,11,-10.981,0,0.306,0.107,5.16e-05,0.118,0.773,123.643,audio_features,3GIChxHmuLmBm5PTNZGDtj,spotify:track:3GIChxHmuLmBm5PTNZGDtj,https://api.spotify.com/v1/tracks/3GIChxHmuLmBm5PTNZGDtj,https://api.spotify.com/v1/audio-analysis/3GIChxHmuLmBm5PTNZGDtj,211000,4
15,0.837,0.666,2,-7.187,1,0.132,0.218,5.33e-06,0.134,0.78,96.083,audio_features,5M77yXWuKPqaUzdxn4cVnV,spotify:track:5M77yXWuKPqaUzdxn4cVnV,https://api.spotify.com/v1/tracks/5M77yXWuKPqaUzdxn4cVnV,https://api.spotify.com/v1/audio-analysis/5M77yXWuKPqaUzdxn4cVnV,253960,4
16,0.76,0.462,9,-11.003,1,0.103,0.621,0.32,0.0758,0.905,146.655,audio_features,3sqZDdEO5viqNqMCNem5m5,spotify:track:3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/tracks/3sqZDdEO5viqNqMCNem5m5,https://api.spotify.com/v1/audio-analysis/3sqZDdEO5viqNqMCNem5m5,332400,4
17,0.855,0.473,11,-9.846,0,0.146,0.0719,2.71e-05,0.0795,0.682,139.175,audio_features,1ATZfYmZOcm24vl5oQtPdC,spotify:track:1ATZfYmZOcm24vl5oQtPdC,https://api.spotify.com/v1/tracks/1ATZfYmZOcm24vl5oQtPdC,https://api.spotify.com/v1/audio-analysis/1ATZfYmZOcm24vl5oQtPdC,218400,4
18,0.876,0.282,7,-12.618,1,0.319,0.0503,4.59e-05,0.0741,0.801,130.958,audio_features,5uqQyRJV8qLt8zEqnvsBVK,spotify:track:5uqQyRJV8qLt8zEqnvsBVK,https://api.spotify.com/v1/tracks/5uqQyRJV8qLt8zEqnvsBVK,https://api.spotify.com/v1/audio-analysis/5uqQyRJV8qLt8zEqnvsBVK,207733,4
19,0.827,0.601,11,-8.828,1,0.0636,0.0343,2.67e-05,0.0565,0.83,97.548,audio_features,2rahWhhubhQMhG6coo7Vu9,spotify:track:2rahWhhubhQMhG6coo7Vu9,https://api.spotify.com/v1/tracks/2rahWhhubhQMhG6coo7Vu9,https://api.spotify.com/v1/audio-analysis/2rahWhhubhQMhG6coo7Vu9,195733,4
20,0.773,0.439,9,-9.778,1,0.327,0.424,0.000126,0.0464,0.847,88.364,audio_features,2fvi4GCSJn9XYdYrLGLX5f,spotify:track:2fvi4GCSJn9XYdYrLGLX5f,https://api.spotify.com/v1/tracks/2fvi4GCSJn9XYdYrLGLX5f,https://api.spotify.com/v1/audio-analysis/2fvi4GCSJn9XYdYrLGLX5f,215667,4
21,0.825,0.525,10,-8.575,1,0.0377,0.0179,2.5e-06,0.121,0.588,126.307,audio_features,0qS73wj4SD1PcFDchuXsMD,spotify:track:0qS73wj4SD1PcFDchuXsMD,https://api.spotify.com/v1/tracks/0qS73wj4SD1PcFDchuXsMD,https://api.spotify.com/v1/audio-analysis/0qS73wj4SD1PcFDchuXsMD,178693,4
22,0.766,0.429,0,-11.912,1,0.125,0.121,0.0,0.0619,0.725,91.392,audio_features,6xbtDXk8utIS8rOWD0X9XA,spotify:track:6xbtDXk8utIS8rOWD0X9XA,https://api.spotify.com/v1/tracks/6xbtDXk8utIS8rOWD0X9XA,https://api.spotify.com/v1/audio-analysis/6xbtDXk8utIS8rOWD0X9XA,261840,4
23,0.913,0.461,0,-8.361,1,0.059,0.237,5.86e-06,0.0888,0.979,110.189,audio_features,2Zw5FtdFtvKWg4h44GOv3R,spotify:track:2Zw5FtdFtvKWg4h44GOv3R,https://api.spotify.com/v1/tracks/2Zw5FtdFtvKWg4h44GOv3R,https://api.spotify.com/v1/audio-analysis/2Zw5FtdFtvKWg4h44GOv3R,170293,4
24,0.891,0.397,7,-9.888,1,0.261,0.00307,0.00121,0.0736,0.747,131.604,audio_features,6d4B82vt7pjdzumBmV6HiZ,spotify:track:6d4B82vt7pjdzumBmV6HiZ,https://api.spotify.com/v1/tracks/6d4B82vt7pjdzumBmV6HiZ,https://api.spotify.com/v1/audio-analysis/6d4B82vt7pjdzumBmV6HiZ,188314,4
25,0.785,0.561,10,-7.783,0,0.0523,0.00527,8.78e-05,0.0456,0.614,129.027,audio_features,2pZJhvpin385eqAFRp3ASJ,spotify:track:2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/tracks/2pZJhvpin385eqAFRp3ASJ,https://api.spotify.com/v1/audio-analysis/2pZJhvpin385eqAFRp3ASJ,298507,4
26,0.904,0.33,0,-11.117,1,0.123,0.185,0.0244,0.0471,0.701,130.692,audio_features,2wFw6mZzzABL9gktquq7I5,spotify:track:2wFw6mZzzABL9gktquq7I5,https://api.spotify.com/v1/tracks/2wFw6mZzzABL9gktquq7I5,https://api.spotify.com/v1/audio-analysis/2wFw6mZzzABL9gktquq7I5,327133,4
27,0.843,0.431,7,-12.012,1,0.331,0.204,0.00132,0.0546,0.881,128.697,audio_features,2Xr3NXOz1qg5Jddkm8k4fr,spotify:track:2Xr3NXOz1qg5Jddkm8k4fr,https://api.spotify.com/v1/tracks/2Xr3NXOz1qg5Jddkm8k4fr,https://api.spotify.com/v1/audio-analysis/2Xr3NXOz1qg5Jddkm8k4fr,310427,4
28,0.922,0.61,10,-7.883,1,0.0787,0.0837,0.00424,0.0499,0.939,125.033,audio_features,5cTsXX5qwa6zmG80OCz4hR,spotify:track:5cTsXX5qwa6zmG80OCz4hR,https://api.spotify.com/v1/tracks/5cTsXX5qwa6zmG80OCz4hR,https://api.spotify.com/v1/audio-analysis/5cTsXX5qwa6zmG80OCz4hR,231467,4
29,0.767,0.46,8,-11.489,1,0.332,0.028,2.09e-05,0.0633,0.803,78.802,audio_features,09Nck1nvRcg1Y14SNfWwtJ,spotify:track:09Nck1nvRcg1Y14SNfWwtJ,https://api.spotify.com/v1/tracks/09Nck1nvRcg1Y14SNfWwtJ,https://api.spotify.com/v1/audio-analysis/09Nck1nvRcg1Y14SNfWwtJ,256240,4
30,0.918,0.503,9,-7.944,0,0.0368,0.242,4.54e-05,0.0677,0.949,128.674,audio_features,2Uqayp7267V5SJYOf7fLmV,spotify:track:2Uqayp7267V5SJYOf7fLmV,https://api.spotify.com/v1/tracks/2Uqayp7267V5SJYOf7fLmV,https://api.spotify.com/v1/audio-analysis/2Uqayp7267V5SJYOf7fLmV,216640,4
31,0.919,0.35,11,-12.028,0,0.0591,0.0244,0.00379,0.0821,0.48,131.865,audio_features,5722IiSQ4ZqzpwhwFeCz2u,spotify:track:5722IiSQ4ZqzpwhwFeCz2u,https://api.spotify.com/v1/tracks/5722IiSQ4ZqzpwhwFeCz2u,https://api.spotify.com/v1/audio-analysis/5722IiSQ4ZqzpwhwFeCz2u,213893,4
32,0.671,0.513,5,-9.598,0,0.366,0.0682,0.0,0.0674,0.94,154.187,audio_features,7oNgPClUYdscWWHa5PF1gT,spotify:track:7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/tracks/7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/audio-analysis/7oNgPClUYdscWWHa5PF1gT,172933,4
33,0.92,0.461,11,-9.101,0,0.203,0.325,0.0206,0.0608,0.806,119.478,audio_features,6kAye2WmX9RVnheY3QmF54,spotify:track:6kAye2WmX9RVnheY3QmF54,https://api.spotify.com/v1/tracks/6kAye2WmX9RVnheY3QmF54,https://api.spotify.com/v1/audio-analysis/6kAye2WmX9RVnheY3QmF54,192680,4
34,0.84,0.393,10,-12.423,0,0.303,0.0531,1.8e-05,0.0512,0.751,145.656,audio_features,1TLTUhEUYOyORxufZlCOWj,spotify:track:1TLTUhEUYOyORxufZlCOWj,https://api.spotify.com/v1/tracks/1TLTUhEUYOyORxufZlCOWj,https://api.spotify.com/v1/audio-analysis/1TLTUhEUYOyORxufZlCOWj,216533,4
35,0.704,0.38,10,-12.16,1,0.423,0.067,2.96e-06,0.0765,0.711,76.298,audio_features,6EmP97fPXI3aiHnrsHuj08,spotify:track:6EmP97fPXI3aiHnrsHuj08,https://api.spotify.com/v1/tracks/6EmP97fPXI3aiHnrsHuj08,https://api.spotify.com/v1/audio-analysis/6EmP97fPXI3aiHnrsHuj08,170627,4
36,0.845,0.623,11,-7.415,0,0.0578,0.15,0.0,0.101,0.844,124.992,audio_features,7e7kLujXF3G5IcHoskemSI,spotify:track:7e7kLujXF3G5IcHoskemSI,https://api.spotify.com/v1/tracks/7e7kLujXF3G5IcHoskemSI,https://api.spotify.com/v1/audio-analysis/7e7kLujXF3G5IcHoskemSI,213867,4
37,0.671,0.513,5,-9.598,0,0.366,0.0682,0.0,0.0674,0.94,154.187,audio_features,7oNgPClUYdscWWHa5PF1gT,spotify:track:7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/tracks/7oNgPClUYdscWWHa5PF1gT,https://api.spotify.com/v1/audio-analysis/7oNgPClUYdscWWHa5PF1gT,172933,4
38,0.906,0.587,9,-8.176,0,0.223,0.163,1.52e-06,0.0433,0.751,142.103,audio_features,7rCOQjHqD2ArkKvoemDG54,spotify:track:7rCOQjHqD2ArkKvoemDG54,https://api.spotify.com/v1/tracks/7rCOQjHqD2ArkKvoemDG54,https://api.spotify.com/v1/audio-analysis/7rCOQjHqD2ArkKvoemDG54,234240,4
