,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.868,0.788,1,-4.321,1,0.0547,0.0334,2.6e-05,0.0801,0.961,114.674,audio_features,50f0mt35cIwwu3Krk7nS7b,spotify:track:50f0mt35cIwwu3Krk7nS7b,https://api.spotify.com/v1/tracks/50f0mt35cIwwu3Krk7nS7b,https://api.spotify.com/v1/audio-analysis/50f0mt35cIwwu3Krk7nS7b,262457,4
1,0.684,0.573,5,-12.3,1,0.0261,0.318,0.028,0.306,0.716,107.363,audio_features,273uCXd7NPrInaiNqtkOrA,spotify:track:273uCXd7NPrInaiNqtkOrA,https://api.spotify.com/v1/tracks/273uCXd7NPrInaiNqtkOrA,https://api.spotify.com/v1/audio-analysis/273uCXd7NPrInaiNqtkOrA,378947,4
2,0.679,0.857,9,-6.348,0,0.0322,0.0189,0.563,0.0502,0.765,118.678,audio_features,3pgainA2dH9c7e8JVYGRCN,spotify:track:3pgainA2dH9c7e8JVYGRCN,https://api.spotify.com/v1/tracks/3pgainA2dH9c7e8JVYGRCN,https://api.spotify.com/v1/audio-analysis/3pgainA2dH9c7e8JVYGRCN,272147,4
3,0.824,0.506,5,-7.12,0,0.0291,0.124,0.0,0.113,0.654,130.717,audio_features,2dURQIBrw3XcHyVZlfdpC1,spotify:track:2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/tracks/2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/audio-analysis/2dURQIBrw3XcHyVZlfdpC1,239693,4
4,0.779,0.635,2,-8.028,0,0.0282,0.577,0.000258,0.215,0.53,108.018,audio_features,2FHnN5ELL83TGbtXMDzoiJ,spotify:track:2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/tracks/2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/audio-analysis/2FHnN5ELL83TGbtXMDzoiJ,291720,4
5,0.699,0.806,0,-7.428,1,0.0507,0.096,0.00839,0.349,0.953,118.806,audio_features,1SIXMGcsAeA6sNxaY1EG3O,spotify:track:1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/tracks/1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/audio-analysis/1SIXMGcsAeA6sNxaY1EG3O,278029,4
6,0.608,0.621,10,-11.547,1,0.0276,0.143,0.00096,0.0552,0.53,119.707,audio_features,72BnKkKnrOeCDY9vy2avFk,spotify:track:72BnKkKnrOeCDY9vy2avFk,https://api.spotify.com/v1/tracks/72BnKkKnrOeCDY9vy2avFk,https://api.spotify.com/v1/audio-analysis/72BnKkKnrOeCDY9vy2avFk,255000,4
7,0.784,0.718,4,-8.473,0,0.0307,0.0691,9.91e-06,0.571,0.934,107.195,audio_features,42FUNUTTu4dhDhca834rd6,spotify:track:42FUNUTTu4dhDhca834rd6,https://api.spotify.com/v1/tracks/42FUNUTTu4dhDhca834rd6,https://api.spotify.com/v1/audio-analysis/42FUNUTTu4dhDhca834rd6,238493,4
8,0.712,0.785,5,-6.418,0,0.0386,0.00363,6.95e-06,0.0878,0.975,117.643,audio_features,6wBMTv8yTiNh50fqTkT0JC,spotify:track:6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/tracks/6wBMTv8yTiNh50fqTkT0JC,https://api.spotify.com/v1/audio-analysis/6wBMTv8yTiNh50fqTkT0JC,247002,4
9,0.926,0.78,4,-6.295,0,0.091,0.186,3.05e-06,0.0933,0.72,114.542,audio_features,3CX1FiiXSbvKjsXRYwApAP,spotify:track:3CX1FiiXSbvKjsXRYwApAP,https://api.spotify.com/v1/tracks/3CX1FiiXSbvKjsXRYwApAP,https://api.spotify.com/v1/audio-analysis/3CX1FiiXSbvKjsXRYwApAP,325803,4
10,0.765,0.91,6,-8.115,0,0.0827,0.569,0.00231,0.337,0.804,112.922,audio_features,6W0PqAtbW7fkTRBtmwOwfM,spotify:track:6W0PqAtbW7fkTRBtmwOwfM,https://api.spotify.com/v1/tracks/6W0PqAtbW7fkTRBtmwOwfM,https://api.spotify.com/v1/audio-analysis/6W0PqAtbW7fkTRBtmwOwfM,258400,4
11,0.804,0.881,0,-4.369,1,0.0389,0.0856,0.0384,0.0522,0.96,120.067,audio_features,7zUkx37JJ7iz3ru4Y7Zd26,spotify:track:7zUkx37JJ7iz3ru4Y7Zd26,https://api.spotify.com/v1/tracks/7zUkx37JJ7iz3ru4Y7Zd26,https://api.spotify.com/v1/audio-analysis/7zUkx37JJ7iz3ru4Y7Zd26,340733,4
12,0.944,0.73,9,-9.527,0,0.0457,0.162,0.000699,0.114,0.864,128.967,audio_features,3oQhgsBwOGaxr5dWKAim7Y,spotify:track:3oQhgsBwOGaxr5dWKAim7Y,https://api.spotify.com/v1/tracks/3oQhgsBwOGaxr5dWKAim7Y,https://api.spotify.com/v1/audio-analysis/3oQhgsBwOGaxr5dWKAim7Y,217327,4
13,0.698,0.686,1,-11.278,0,0.0338,0.133,0.0439,0.0753,0.926,110.068,audio_features,1gE7p3b4J8p4ivOCR2CO0Y,spotify:track:1gE7p3b4J8p4ivOCR2CO0Y,https://api.spotify.com/v1/tracks/1gE7p3b4J8p4ivOCR2CO0Y,https://api.spotify.com/v1/audio-analysis/1gE7p3b4J8p4ivOCR2CO0Y,264929,4
14,0.767,0.788,11,-5.046,0,0.0585,0.119,0.000337,0.0809,0.881,123.002,audio_features,4DSjwylMkecSMTG4Xxa0Bj,spotify:track:4DSjwylMkecSMTG4Xxa0Bj,https://api.spotify.com/v1/tracks/4DSjwylMkecSMTG4Xxa0Bj,https://api.spotify.com/v1/audio-analysis/4DSjwylMkecSMTG4Xxa0Bj,185402,4
15,0.791,0.513,0,-15.03,1,0.0264,0.109,0.00922,0.076,0.97,108.361,audio_features,2GMxS3x59raBvdX9SFNmtC,spotify:track:2GMxS3x59raBvdX9SFNmtC,https://api.spotify.com/v1/tracks/2GMxS3x59raBvdX9SFNmtC,https://api.spotify.com/v1/audio-analysis/2GMxS3x59raBvdX9SFNmtC,233640,4
16,0.731,0.73,8,-9.189,1,0.0427,0.0234,0.0291,0.0338,0.889,125.032,audio_features,6oFA9zdx6geUC6uCqQKhJc,spotify:track:6oFA9zdx6geUC6uCqQKhJc,https://api.spotify.com/v1/tracks/6oFA9zdx6geUC6uCqQKhJc,https://api.spotify.com/v1/audio-analysis/6oFA9zdx6geUC6uCqQKhJc,223958,4
17,0.869,0.682,1,-6.716,1,0.0327,0.179,0.0073,0.135,0.972,121.335,audio_features,2fv6Qeb7Z3uaqBeYINvJ0f,spotify:track:2fv6Qeb7Z3uaqBeYINvJ0f,https://api.spotify.com/v1/tracks/2fv6Qeb7Z3uaqBeYINvJ0f,https://api.spotify.com/v1/audio-analysis/2fv6Qeb7Z3uaqBeYINvJ0f,229440,4
18,0.975,0.57,6,-10.604,0,0.048,0.00717,0.277,0.072,0.968,126.909,audio_features,12SY1IDzol5dg1yBTUoKYx,spotify:track:12SY1IDzol5dg1yBTUoKYx,https://api.spotify.com/v1/tracks/12SY1IDzol5dg1yBTUoKYx,https://api.spotify.com/v1/audio-analysis/12SY1IDzol5dg1yBTUoKYx,338844,4
19,0.715,0.792,10,-8.855,1,0.056,0.0028,0.143,0.0531,0.655,124.011,audio_features,69XBLvNPFQZPEFtQvmhDes,spotify:track:69XBLvNPFQZPEFtQvmhDes,https://api.spotify.com/v1/tracks/69XBLvNPFQZPEFtQvmhDes,https://api.spotify.com/v1/audio-analysis/69XBLvNPFQZPEFtQvmhDes,352258,4
20,0.822,0.709,10,-6.808,0,0.0412,0.0231,0.00703,0.0736,0.829,120.01,audio_features,2XtLmRzZSkNOXGRPgae8MA,spotify:track:2XtLmRzZSkNOXGRPgae8MA,https://api.spotify.com/v1/tracks/2XtLmRzZSkNOXGRPgae8MA,https://api.spotify.com/v1/audio-analysis/2XtLmRzZSkNOXGRPgae8MA,205593,4
21,0.725,0.905,0,-7.875,0,0.0381,0.441,0.926,0.102,0.79,111.137,audio_features,4shVjgoOMa73JgBtZIDDz4,spotify:track:4shVjgoOMa73JgBtZIDDz4,https://api.spotify.com/v1/tracks/4shVjgoOMa73JgBtZIDDz4,https://api.spotify.com/v1/audio-analysis/4shVjgoOMa73JgBtZIDDz4,263509,4
22,0.651,0.971,5,-5.51,0,0.0381,1.02e-05,0.866,0.0613,0.738,124.971,audio_features,7EJhHYYNg8dLzOba91HrgM,spotify:track:7EJhHYYNg8dLzOba91HrgM,https://api.spotify.com/v1/tracks/7EJhHYYNg8dLzOba91HrgM,https://api.spotify.com/v1/audio-analysis/7EJhHYYNg8dLzOba91HrgM,354707,4
23,0.801,0.715,0,-9.214,0,0.0403,0.326,0.647,0.103,0.937,110.013,audio_features,6JZOZWEpu1hcTCz28rnQwJ,spotify:track:6JZOZWEpu1hcTCz28rnQwJ,https://api.spotify.com/v1/tracks/6JZOZWEpu1hcTCz28rnQwJ,https://api.spotify.com/v1/audio-analysis/6JZOZWEpu1hcTCz28rnQwJ,244076,4
24,0.602,0.823,6,-8.345,0,0.0424,0.0129,0.000149,0.13,0.682,96.378,audio_features,01lvgdQKXkM8AHUXRhawMk,spotify:track:01lvgdQKXkM8AHUXRhawMk,https://api.spotify.com/v1/tracks/01lvgdQKXkM8AHUXRhawMk,https://api.spotify.com/v1/audio-analysis/01lvgdQKXkM8AHUXRhawMk,279213,4
25,0.737,0.586,0,-10.219,0,0.042,0.0605,0.515,0.0632,0.894,119.364,audio_features,3L1bBpBTa1SmGivOhR6DID,spotify:track:3L1bBpBTa1SmGivOhR6DID,https://api.spotify.com/v1/tracks/3L1bBpBTa1SmGivOhR6DID,https://api.spotify.com/v1/audio-analysis/3L1bBpBTa1SmGivOhR6DID,369084,4
26,0.696,0.961,0,-2.476,1,0.0474,0.00544,0.00165,0.37,0.818,125.979,audio_features,4kS6IGvg5hpIljAjeBXyES,spotify:track:4kS6IGvg5hpIljAjeBXyES,https://api.spotify.com/v1/tracks/4kS6IGvg5hpIljAjeBXyES,https://api.spotify.com/v1/audio-analysis/4kS6IGvg5hpIljAjeBXyES,182676,4
27,0.697,0.899,4,-4.38,0,0.105,0.302,5.37e-06,0.168,0.743,118.116,audio_features,6w9g12jpHCPCuvYVX7vLLG,spotify:track:6w9g12jpHCPCuvYVX7vLLG,https://api.spotify.com/v1/tracks/6w9g12jpHCPCuvYVX7vLLG,https://api.spotify.com/v1/audio-analysis/6w9g12jpHCPCuvYVX7vLLG,373240,3
28,0.687,0.661,9,-13.11,0,0.0275,0.0147,0.0449,0.216,0.804,114.817,audio_features,6Yo813UNQqb04YoU1wYz5e,spotify:track:6Yo813UNQqb04YoU1wYz5e,https://api.spotify.com/v1/tracks/6Yo813UNQqb04YoU1wYz5e,https://api.spotify.com/v1/audio-analysis/6Yo813UNQqb04YoU1wYz5e,432080,4
29,0.793,0.877,9,-7.942,0,0.064,0.00031,0.842,0.12,0.953,122.979,audio_features,00vlD9qcr7byOApyOiYsmq,spotify:track:00vlD9qcr7byOApyOiYsmq,https://api.spotify.com/v1/tracks/00vlD9qcr7byOApyOiYsmq,https://api.spotify.com/v1/audio-analysis/00vlD9qcr7byOApyOiYsmq,199545,4
