,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.793,0.907,11,-4.448,0,0.12,0.0474,0.00604,0.63,0.116,126.016,audio_features,7nrPXddIkx8hxM9Ot46JRX,spotify:track:7nrPXddIkx8hxM9Ot46JRX,https://api.spotify.com/v1/tracks/7nrPXddIkx8hxM9Ot46JRX,https://api.spotify.com/v1/audio-analysis/7nrPXddIkx8hxM9Ot46JRX,161000,4
1,0.751,0.879,3,-5.306,0,0.113,0.185,0.127,0.0406,0.803,131.007,audio_features,7EXennxBRtugSuQX13uLSu,spotify:track:7EXennxBRtugSuQX13uLSu,https://api.spotify.com/v1/tracks/7EXennxBRtugSuQX13uLSu,https://api.spotify.com/v1/audio-analysis/7EXennxBRtugSuQX13uLSu,181374,4
2,0.581,0.855,10,-6.181,1,0.0322,0.0715,0.81,0.364,0.19,127.995,audio_features,5eAhXdQwzlFwHkZhiJ1KHg,spotify:track:5eAhXdQwzlFwHkZhiJ1KHg,https://api.spotify.com/v1/tracks/5eAhXdQwzlFwHkZhiJ1KHg,https://api.spotify.com/v1/audio-analysis/5eAhXdQwzlFwHkZhiJ1KHg,165000,4
3,0.664,0.922,10,-5.254,0,0.0381,0.0112,0.115,0.336,0.397,150.022,audio_features,4tB7IiWex4iuPhdmOSDpo3,spotify:track:4tB7IiWex4iuPhdmOSDpo3,https://api.spotify.com/v1/tracks/4tB7IiWex4iuPhdmOSDpo3,https://api.spotify.com/v1/audio-analysis/4tB7IiWex4iuPhdmOSDpo3,230400,4
4,0.797,0.683,10,-8.056,0,0.136,0.0946,0.0,0.12,0.518,89.964,audio_features,5UCxWGNXG4kjBmpftwyctt,spotify:track:5UCxWGNXG4kjBmpftwyctt,https://api.spotify.com/v1/tracks/5UCxWGNXG4kjBmpftwyctt,https://api.spotify.com/v1/audio-analysis/5UCxWGNXG4kjBmpftwyctt,174045,4
5,0.827,0.62,1,-6.102,1,0.176,0.0187,0.459,0.133,0.189,103.921,audio_features,4F6b8D0ZNdni5shVRTlwWy,spotify:track:4F6b8D0ZNdni5shVRTlwWy,https://api.spotify.com/v1/tracks/4F6b8D0ZNdni5shVRTlwWy,https://api.spotify.com/v1/audio-analysis/4F6b8D0ZNdni5shVRTlwWy,116162,4
6,0.61,0.979,2,-5.853,1,0.103,0.00353,0.821,0.13,0.107,138.018,audio_features,4tuWS8iuaCr0o7rH81bVIo,spotify:track:4tuWS8iuaCr0o7rH81bVIo,https://api.spotify.com/v1/tracks/4tuWS8iuaCr0o7rH81bVIo,https://api.spotify.com/v1/audio-analysis/4tuWS8iuaCr0o7rH81bVIo,220870,4
7,0.706,0.975,10,-5.58,0,0.0651,0.0505,0.247,0.109,0.319,154.993,audio_features,7F7N0yugLFgKXoEACgtzD8,spotify:track:7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/tracks/7F7N0yugLFgKXoEACgtzD8,https://api.spotify.com/v1/audio-analysis/7F7N0yugLFgKXoEACgtzD8,147895,4
8,0.799,0.86,1,-6.369,0,0.0532,0.00556,1.75e-05,0.324,0.285,130.072,audio_features,5qvBojdG05Ec8cUqPKG4Ue,spotify:track:5qvBojdG05Ec8cUqPKG4Ue,https://api.spotify.com/v1/tracks/5qvBojdG05Ec8cUqPKG4Ue,https://api.spotify.com/v1/audio-analysis/5qvBojdG05Ec8cUqPKG4Ue,105487,4
9,0.816,0.707,2,-7.607,1,0.145,0.274,0.00123,0.23,0.756,82.062,audio_features,2lGZi6aHCxMBgDubEPst1C,spotify:track:2lGZi6aHCxMBgDubEPst1C,https://api.spotify.com/v1/tracks/2lGZi6aHCxMBgDubEPst1C,https://api.spotify.com/v1/audio-analysis/2lGZi6aHCxMBgDubEPst1C,143985,4
