,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.547,0.936,2,-4.997,1,0.0415,0.0343,7.69e-05,0.107,0.735,142.995,audio_features,7E6IYKyvJ7dfYl3iTRmozl,spotify:track:7E6IYKyvJ7dfYl3iTRmozl,https://api.spotify.com/v1/tracks/7E6IYKyvJ7dfYl3iTRmozl,https://api.spotify.com/v1/audio-analysis/7E6IYKyvJ7dfYl3iTRmozl,209760,4
1,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,audio_features,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/audio-analysis/44AyOl4qVkzS48vBsbNXaC,182360,3
2,0.648,0.953,11,-4.551,0,0.0361,0.115,0.000167,0.22,0.97,143.067,audio_features,6s9uIGMkd43R48ssQKAhtH,spotify:track:6s9uIGMkd43R48ssQKAhtH,https://api.spotify.com/v1/tracks/6s9uIGMkd43R48ssQKAhtH,https://api.spotify.com/v1/audio-analysis/6s9uIGMkd43R48ssQKAhtH,176840,4
3,0.228,0.687,0,-6.792,1,0.0395,0.406,0.000699,0.146,0.434,189.75,audio_features,6lt40iqr6BYucHN0WVken7,spotify:track:6lt40iqr6BYucHN0WVken7,https://api.spotify.com/v1/tracks/6lt40iqr6BYucHN0WVken7,https://api.spotify.com/v1/audio-analysis/6lt40iqr6BYucHN0WVken7,189373,3
4,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,audio_features,4gphxUgq0JSFv2BCLhNDiE,spotify:track:4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/tracks/4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/audio-analysis/4gphxUgq0JSFv2BCLhNDiE,146480,4
5,0.214,0.266,0,-13.703,1,0.0359,0.846,0.00171,0.795,0.16,82.096,audio_features,2gaN1NWKJEpQVAKk8FKwOe,spotify:track:2gaN1NWKJEpQVAKk8FKwOe,https://api.spotify.com/v1/tracks/2gaN1NWKJEpQVAKk8FKwOe,https://api.spotify.com/v1/audio-analysis/2gaN1NWKJEpQVAKk8FKwOe,151907,4
6,0.541,0.722,7,-5.067,1,0.0262,0.0517,1.15e-05,0.122,0.632,115.209,audio_features,3Dp4MHlmyh2yNqdWakNZi2,spotify:track:3Dp4MHlmyh2yNqdWakNZi2,https://api.spotify.com/v1/tracks/3Dp4MHlmyh2yNqdWakNZi2,https://api.spotify.com/v1/audio-analysis/3Dp4MHlmyh2yNqdWakNZi2,272360,4
7,0.404,0.266,10,-16.688,1,0.0334,0.716,0.133,0.107,0.491,88.916,audio_features,7KWoeBqSdZHEloYKVxssfG,spotify:track:7KWoeBqSdZHEloYKVxssfG,https://api.spotify.com/v1/tracks/7KWoeBqSdZHEloYKVxssfG,https://api.spotify.com/v1/audio-analysis/7KWoeBqSdZHEloYKVxssfG,167413,4
8,0.358,0.387,7,-14.342,1,0.0324,0.746,0.0121,0.119,0.495,181.183,audio_features,1B5Tp2Ml9nLlmTSJx8xVfI,spotify:track:1B5Tp2Ml9nLlmTSJx8xVfI,https://api.spotify.com/v1/tracks/1B5Tp2Ml9nLlmTSJx8xVfI,https://api.spotify.com/v1/audio-analysis/1B5Tp2Ml9nLlmTSJx8xVfI,218440,4
9,0.59,0.976,11,-4.866,0,0.0488,0.000154,0.293,0.155,0.686,114.996,audio_features,7FNIEfhhBlzsZFxCwI5Nwh,spotify:track:7FNIEfhhBlzsZFxCwI5Nwh,https://api.spotify.com/v1/tracks/7FNIEfhhBlzsZFxCwI5Nwh,https://api.spotify.com/v1/audio-analysis/7FNIEfhhBlzsZFxCwI5Nwh,213240,4
