,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.502,0.795,0,-3.647,1,0.473,0.064,0.0,0.257,0.352,82.56,audio_features,3IaAYtmN8T0YIYVqnxNnVz,spotify:track:3IaAYtmN8T0YIYVqnxNnVz,https://api.spotify.com/v1/tracks/3IaAYtmN8T0YIYVqnxNnVz,https://api.spotify.com/v1/audio-analysis/3IaAYtmN8T0YIYVqnxNnVz,434077,4
1,0.853,0.835,9,-3.814,1,0.244,0.129,0.0,0.0552,0.6,117.004,audio_features,45JxylFwaThjLsRBuzcfoL,spotify:track:45JxylFwaThjLsRBuzcfoL,https://api.spotify.com/v1/tracks/45JxylFwaThjLsRBuzcfoL,https://api.spotify.com/v1/audio-analysis/45JxylFwaThjLsRBuzcfoL,301721,4
2,0.72,0.858,10,-1.366,0,0.25,0.252,0.0,0.628,0.616,84.505,audio_features,6dJRP4pXk4SOzWfhfHL3Or,spotify:track:6dJRP4pXk4SOzWfhfHL3Or,https://api.spotify.com/v1/tracks/6dJRP4pXk4SOzWfhfHL3Or,https://api.spotify.com/v1/audio-analysis/6dJRP4pXk4SOzWfhfHL3Or,261387,4
3,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.436,176.386,audio_features,3stOygN0I7CIvkEB2LJGbv,spotify:track:3stOygN0I7CIvkEB2LJGbv,https://api.spotify.com/v1/tracks/3stOygN0I7CIvkEB2LJGbv,https://api.spotify.com/v1/audio-analysis/3stOygN0I7CIvkEB2LJGbv,272417,4
4,0.664,0.899,9,-3.711,0,0.474,0.276,0.0,0.197,0.534,164.125,audio_features,1mavQ4WCzXSeL2Dm5DS4GQ,spotify:track:1mavQ4WCzXSeL2Dm5DS4GQ,https://api.spotify.com/v1/tracks/1mavQ4WCzXSeL2Dm5DS4GQ,https://api.spotify.com/v1/audio-analysis/1mavQ4WCzXSeL2Dm5DS4GQ,296269,4
5,0.534,0.91,1,-2.316,1,0.346,0.471,0.0,0.782,0.488,174.059,audio_features,0OOv1XGVVzUgTIzomIHfR0,spotify:track:0OOv1XGVVzUgTIzomIHfR0,https://api.spotify.com/v1/tracks/0OOv1XGVVzUgTIzomIHfR0,https://api.spotify.com/v1/audio-analysis/0OOv1XGVVzUgTIzomIHfR0,288984,4
6,0.739,0.872,2,-4.059,1,0.332,0.0216,0.0,0.26,0.674,95.081,audio_features,6Xk7PnitV9jCRorWt2LiVZ,spotify:track:6Xk7PnitV9jCRorWt2LiVZ,https://api.spotify.com/v1/tracks/6Xk7PnitV9jCRorWt2LiVZ,https://api.spotify.com/v1/audio-analysis/6Xk7PnitV9jCRorWt2LiVZ,238746,4
7,0.709,0.843,7,-2.66,1,0.314,0.395,0.0,0.799,0.625,148.134,audio_features,6or1bKJiZ06IlK0vFvY75k,spotify:track:6or1bKJiZ06IlK0vFvY75k,https://api.spotify.com/v1/tracks/6or1bKJiZ06IlK0vFvY75k,https://api.spotify.com/v1/audio-analysis/6or1bKJiZ06IlK0vFvY75k,363521,4
8,0.7,0.935,9,-1.449,1,0.385,0.186,0.0,0.323,0.589,172.101,audio_features,5k7wy2Ek7y6kSQ4fER7w0E,spotify:track:5k7wy2Ek7y6kSQ4fER7w0E,https://api.spotify.com/v1/tracks/5k7wy2Ek7y6kSQ4fER7w0E,https://api.spotify.com/v1/audio-analysis/5k7wy2Ek7y6kSQ4fER7w0E,286526,4
9,0.781,0.6,1,-5.427,1,0.108,0.122,0.0,0.148,0.322,121.997,audio_features,6MtI49ggHHumUTONlvMQlq,spotify:track:6MtI49ggHHumUTONlvMQlq,https://api.spotify.com/v1/tracks/6MtI49ggHHumUTONlvMQlq,https://api.spotify.com/v1/audio-analysis/6MtI49ggHHumUTONlvMQlq,336519,4
10,0.781,0.853,1,-3.68,0,0.0714,0.0526,0.0,0.12,0.626,110.046,audio_features,48RrDBpOSSl1aLVCalGl5C,spotify:track:48RrDBpOSSl1aLVCalGl5C,https://api.spotify.com/v1/tracks/48RrDBpOSSl1aLVCalGl5C,https://api.spotify.com/v1/audio-analysis/48RrDBpOSSl1aLVCalGl5C,250189,4
11,0.853,0.934,11,-3.497,0,0.364,0.202,0.0,0.223,0.708,98.017,audio_features,0nzsCN9rtXdugPoiIT49Kj,spotify:track:0nzsCN9rtXdugPoiIT49Kj,https://api.spotify.com/v1/tracks/0nzsCN9rtXdugPoiIT49Kj,https://api.spotify.com/v1/audio-analysis/0nzsCN9rtXdugPoiIT49Kj,317581,4
12,0.766,0.941,9,-2.546,1,0.18,0.36,0.0,0.586,0.707,105.52,audio_features,0iMN420Q45isZVNlAqzPTW,spotify:track:0iMN420Q45isZVNlAqzPTW,https://api.spotify.com/v1/tracks/0iMN420Q45isZVNlAqzPTW,https://api.spotify.com/v1/audio-analysis/0iMN420Q45isZVNlAqzPTW,296953,4
13,0.688,0.782,11,-3.683,1,0.158,0.151,0.0,0.803,0.453,146.324,audio_features,222dTwr5XeEgAzEtsrQA0R,spotify:track:222dTwr5XeEgAzEtsrQA0R,https://api.spotify.com/v1/tracks/222dTwr5XeEgAzEtsrQA0R,https://api.spotify.com/v1/audio-analysis/222dTwr5XeEgAzEtsrQA0R,343032,4
14,0.648,0.91,4,-4.764,0,0.361,0.0525,0.0,0.0868,0.773,83.092,audio_features,3E1BkJEsRK7VsSNzijilGm,spotify:track:3E1BkJEsRK7VsSNzijilGm,https://api.spotify.com/v1/tracks/3E1BkJEsRK7VsSNzijilGm,https://api.spotify.com/v1/audio-analysis/3E1BkJEsRK7VsSNzijilGm,356847,4
15,0.78,0.89,4,-5.066,1,0.342,0.581,0.0,0.108,0.828,93.902,audio_features,5sGzBBWPe4YC2YoW7lBYph,spotify:track:5sGzBBWPe4YC2YoW7lBYph,https://api.spotify.com/v1/tracks/5sGzBBWPe4YC2YoW7lBYph,https://api.spotify.com/v1/audio-analysis/5sGzBBWPe4YC2YoW7lBYph,263059,4
