,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.279,0.408,2,-10.168,1,0.0325,0.89,1.44e-06,0.897,0.194,107.445,audio_features,3s7zZYuJJkR05GNxIH0iT6,spotify:track:3s7zZYuJJkR05GNxIH0iT6,https://api.spotify.com/v1/tracks/3s7zZYuJJkR05GNxIH0iT6,https://api.spotify.com/v1/audio-analysis/3s7zZYuJJkR05GNxIH0iT6,223720,5
1,0.319,0.752,7,-6.982,0,0.0345,0.00624,0.0,0.968,0.212,80.899,audio_features,4GRyEnshYyoShwFtgNRqKa,spotify:track:4GRyEnshYyoShwFtgNRqKa,https://api.spotify.com/v1/tracks/4GRyEnshYyoShwFtgNRqKa,https://api.spotify.com/v1/audio-analysis/4GRyEnshYyoShwFtgNRqKa,275360,4
2,0.58,0.789,4,-7.941,0,0.0369,0.141,0.000132,0.511,0.56,122.01,audio_features,6DVF7xZCs6153tuM9NeyeG,spotify:track:6DVF7xZCs6153tuM9NeyeG,https://api.spotify.com/v1/tracks/6DVF7xZCs6153tuM9NeyeG,https://api.spotify.com/v1/audio-analysis/6DVF7xZCs6153tuM9NeyeG,322667,4
3,0.683,0.421,0,-10.538,1,0.028,0.432,7.36e-05,0.0713,0.546,112.495,audio_features,6clsmQJYrDXCFRJQElCKmN,spotify:track:6clsmQJYrDXCFRJQElCKmN,https://api.spotify.com/v1/tracks/6clsmQJYrDXCFRJQElCKmN,https://api.spotify.com/v1/audio-analysis/6clsmQJYrDXCFRJQElCKmN,262200,4
4,0.507,0.452,7,-6.8,1,0.0269,0.359,0.0,0.109,0.322,81.632,audio_features,1pBFEy8cz0Fq4Pru0c4awd,spotify:track:1pBFEy8cz0Fq4Pru0c4awd,https://api.spotify.com/v1/tracks/1pBFEy8cz0Fq4Pru0c4awd,https://api.spotify.com/v1/audio-analysis/1pBFEy8cz0Fq4Pru0c4awd,229920,3
5,0.315,0.362,1,-11.689,1,0.0337,0.744,1.32e-06,0.0964,0.218,79.623,audio_features,4VkuqM5MzFwQV8P3Z5eNKB,spotify:track:4VkuqM5MzFwQV8P3Z5eNKB,https://api.spotify.com/v1/tracks/4VkuqM5MzFwQV8P3Z5eNKB,https://api.spotify.com/v1/audio-analysis/4VkuqM5MzFwQV8P3Z5eNKB,364800,4
6,0.573,0.475,7,-8.11,1,0.0258,0.072,0.0,0.358,0.324,107.759,audio_features,0QtJZpyfZF67QF32p41NXa,spotify:track:0QtJZpyfZF67QF32p41NXa,https://api.spotify.com/v1/tracks/0QtJZpyfZF67QF32p41NXa,https://api.spotify.com/v1/audio-analysis/0QtJZpyfZF67QF32p41NXa,259227,3
7,0.576,0.677,8,-7.575,1,0.033,0.0146,1.2e-05,0.424,0.373,139.414,audio_features,36sfWI1rk2Nf4Ek9XDUEnC,spotify:track:36sfWI1rk2Nf4Ek9XDUEnC,https://api.spotify.com/v1/tracks/36sfWI1rk2Nf4Ek9XDUEnC,https://api.spotify.com/v1/audio-analysis/36sfWI1rk2Nf4Ek9XDUEnC,219373,4
8,0.61,0.46,0,-8.907,1,0.0282,0.357,0.0,0.158,0.308,110.17,audio_features,4VKAoFw5bk4f3IpXdzy7Vh,spotify:track:4VKAoFw5bk4f3IpXdzy7Vh,https://api.spotify.com/v1/tracks/4VKAoFw5bk4f3IpXdzy7Vh,https://api.spotify.com/v1/audio-analysis/4VKAoFw5bk4f3IpXdzy7Vh,277600,4
9,0.549,0.484,2,-9.507,1,0.0282,0.27,0.0,0.0736,0.373,78.051,audio_features,1GwRVDuSn8kQ4ZYPFGgliZ,spotify:track:1GwRVDuSn8kQ4ZYPFGgliZ,https://api.spotify.com/v1/tracks/1GwRVDuSn8kQ4ZYPFGgliZ,https://api.spotify.com/v1/audio-analysis/1GwRVDuSn8kQ4ZYPFGgliZ,226867,4
