,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.739,0.92,2,-3.01,1,0.25,0.135,0.505,0.196,0.5,145.091,audio_features,0bKgqTsaHD7SiLiFSBaAe2,spotify:track:0bKgqTsaHD7SiLiFSBaAe2,https://api.spotify.com/v1/tracks/0bKgqTsaHD7SiLiFSBaAe2,https://api.spotify.com/v1/audio-analysis/0bKgqTsaHD7SiLiFSBaAe2,125793,4
1,0.774,0.915,7,-1.462,1,0.0682,0.201,0.706,0.334,0.297,127.96,audio_features,2RPe3OsUu4E4fDtmAlqh20,spotify:track:2RPe3OsUu4E4fDtmAlqh20,https://api.spotify.com/v1/tracks/2RPe3OsUu4E4fDtmAlqh20,https://api.spotify.com/v1/audio-analysis/2RPe3OsUu4E4fDtmAlqh20,60000,4
2,0.744,0.894,7,-5.416,1,0.0548,0.0184,0.00189,0.119,0.92,130.02,audio_features,1tMzMs3hjldUSlpfXHIkk0,spotify:track:1tMzMs3hjldUSlpfXHIkk0,https://api.spotify.com/v1/tracks/1tMzMs3hjldUSlpfXHIkk0,https://api.spotify.com/v1/audio-analysis/1tMzMs3hjldUSlpfXHIkk0,269038,4
3,0.762,0.853,10,-6.607,1,0.374,0.814,0.000762,0.102,0.428,130.063,audio_features,3Zf5NClQQKtpKAJL52Z8ny,spotify:track:3Zf5NClQQKtpKAJL52Z8ny,https://api.spotify.com/v1/tracks/3Zf5NClQQKtpKAJL52Z8ny,https://api.spotify.com/v1/audio-analysis/3Zf5NClQQKtpKAJL52Z8ny,248337,4
4,0.827,0.603,7,-10.108,1,0.0711,0.0531,0.00688,0.246,0.802,130.033,audio_features,7LKp3kq3aQigOxkIDG1fuC,spotify:track:7LKp3kq3aQigOxkIDG1fuC,https://api.spotify.com/v1/tracks/7LKp3kq3aQigOxkIDG1fuC,https://api.spotify.com/v1/audio-analysis/7LKp3kq3aQigOxkIDG1fuC,249654,4
5,0.585,0.977,10,0.781,1,0.191,0.443,0.597,0.0971,0.831,129.975,audio_features,0hEjvk5rMwLzt9rUcFmZG7,spotify:track:0hEjvk5rMwLzt9rUcFmZG7,https://api.spotify.com/v1/tracks/0hEjvk5rMwLzt9rUcFmZG7,https://api.spotify.com/v1/audio-analysis/0hEjvk5rMwLzt9rUcFmZG7,119232,4
6,0.686,0.944,11,-0.28,1,0.11,0.0283,0.734,0.553,0.604,149.752,audio_features,3xxb7JTqrnyXbJ59tmw5fK,spotify:track:3xxb7JTqrnyXbJ59tmw5fK,https://api.spotify.com/v1/tracks/3xxb7JTqrnyXbJ59tmw5fK,https://api.spotify.com/v1/audio-analysis/3xxb7JTqrnyXbJ59tmw5fK,92904,4
7,0.646,0.861,10,-5.721,0,0.0314,0.0128,0.104,0.0767,0.373,135.993,audio_features,7E7YqRQZiASXIENrGYlpSU,spotify:track:7E7YqRQZiASXIENrGYlpSU,https://api.spotify.com/v1/tracks/7E7YqRQZiASXIENrGYlpSU,https://api.spotify.com/v1/audio-analysis/7E7YqRQZiASXIENrGYlpSU,106763,4
8,0.958,0.921,0,-3.096,1,0.324,0.271,0.0342,0.0852,0.872,132.983,audio_features,0mmcXLiY4njgLDU1kiGoQX,spotify:track:0mmcXLiY4njgLDU1kiGoQX,https://api.spotify.com/v1/tracks/0mmcXLiY4njgLDU1kiGoQX,https://api.spotify.com/v1/audio-analysis/0mmcXLiY4njgLDU1kiGoQX,118647,4
9,0.795,0.657,1,-4.75,1,0.411,0.788,0.728,0.107,0.661,194.992,audio_features,4sVrOA0sytAzv102tnQmr7,spotify:track:4sVrOA0sytAzv102tnQmr7,https://api.spotify.com/v1/tracks/4sVrOA0sytAzv102tnQmr7,https://api.spotify.com/v1/audio-analysis/4sVrOA0sytAzv102tnQmr7,125508,3
