,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923,audio_features,67smGwuPEtA6GAfeweAVNO,spotify:track:67smGwuPEtA6GAfeweAVNO,https://api.spotify.com/v1/tracks/67smGwuPEtA6GAfeweAVNO,https://api.spotify.com/v1/audio-analysis/67smGwuPEtA6GAfeweAVNO,107077,4
1,0.768,0.897,10,-0.522,1,0.126,0.0352,0.0,0.156,0.155,140.025,audio_features,6xBpb9zNWlRHTslOAe6kXF,spotify:track:6xBpb9zNWlRHTslOAe6kXF,https://api.spotify.com/v1/tracks/6xBpb9zNWlRHTslOAe6kXF,https://api.spotify.com/v1/audio-analysis/6xBpb9zNWlRHTslOAe6kXF,165121,4
2,0.609,0.967,5,-4.192,1,0.0662,0.0181,0.0761,0.374,0.0989,130.06,audio_features,6fxeXlCSt4WLVlbqxgUBMB,spotify:track:6fxeXlCSt4WLVlbqxgUBMB,https://api.spotify.com/v1/tracks/6fxeXlCSt4WLVlbqxgUBMB,https://api.spotify.com/v1/audio-analysis/6fxeXlCSt4WLVlbqxgUBMB,90462,4
3,0.83,0.919,10,-2.12,0,0.145,0.503,0.748,0.0757,0.848,151.221,audio_features,06PqeO7IInus2yvzsZwZhf,spotify:track:06PqeO7IInus2yvzsZwZhf,https://api.spotify.com/v1/tracks/06PqeO7IInus2yvzsZwZhf,https://api.spotify.com/v1/audio-analysis/06PqeO7IInus2yvzsZwZhf,96947,4
4,0.531,0.991,1,1.047,1,0.102,0.118,0.926,0.156,0.961,145.054,audio_features,60AVJqYgyAlCckC6Nh2tgO,spotify:track:60AVJqYgyAlCckC6Nh2tgO,https://api.spotify.com/v1/tracks/60AVJqYgyAlCckC6Nh2tgO,https://api.spotify.com/v1/audio-analysis/60AVJqYgyAlCckC6Nh2tgO,79453,4
5,0.652,0.891,10,1.808,0,0.0368,0.001,0.0148,0.336,0.576,100.265,audio_features,5VZ0soW5syQfefCUj603DW,spotify:track:5VZ0soW5syQfefCUj603DW,https://api.spotify.com/v1/tracks/5VZ0soW5syQfefCUj603DW,https://api.spotify.com/v1/audio-analysis/5VZ0soW5syQfefCUj603DW,93650,4
6,0.755,0.927,11,0.254,0,0.0645,0.00288,0.925,0.0567,0.702,109.952,audio_features,4VL5XwfATZuAVTW471Wpro,spotify:track:4VL5XwfATZuAVTW471Wpro,https://api.spotify.com/v1/tracks/4VL5XwfATZuAVTW471Wpro,https://api.spotify.com/v1/audio-analysis/4VL5XwfATZuAVTW471Wpro,115348,4
7,0.712,0.972,10,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,119.966,audio_features,6qyS9qBy0mEk3qYaH8mPss,spotify:track:6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/tracks/6qyS9qBy0mEk3qYaH8mPss,https://api.spotify.com/v1/audio-analysis/6qyS9qBy0mEk3qYaH8mPss,145000,4
8,0.537,0.64,1,-10.441,1,0.104,0.146,0.878,0.157,0.222,130.051,audio_features,7vOmSP2647oNUGGEhWd1cr,spotify:track:7vOmSP2647oNUGGEhWd1cr,https://api.spotify.com/v1/tracks/7vOmSP2647oNUGGEhWd1cr,https://api.spotify.com/v1/audio-analysis/7vOmSP2647oNUGGEhWd1cr,103495,4
9,0.737,0.915,0,-2.749,1,0.0412,0.00322,2.58e-05,0.084,0.304,154.964,audio_features,3K5KXm1uZjiyQk0J7op1xf,spotify:track:3K5KXm1uZjiyQk0J7op1xf,https://api.spotify.com/v1/tracks/3K5KXm1uZjiyQk0J7op1xf,https://api.spotify.com/v1/audio-analysis/3K5KXm1uZjiyQk0J7op1xf,86710,4
