,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.775,0.694,6,-7.344,1,0.244,0.177,4.06e-05,0.155,0.655,81.986,audio_features,3ilgxZl5g7MOQCUiky3VOG,spotify:track:3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/tracks/3ilgxZl5g7MOQCUiky3VOG,https://api.spotify.com/v1/audio-analysis/3ilgxZl5g7MOQCUiky3VOG,147587,4
1,0.737,0.725,11,-7.581,0,0.372,0.0515,0.0,0.297,0.539,96.372,audio_features,0Rgdhptwk0A3Clbu5RpYI1,spotify:track:0Rgdhptwk0A3Clbu5RpYI1,https://api.spotify.com/v1/tracks/0Rgdhptwk0A3Clbu5RpYI1,https://api.spotify.com/v1/audio-analysis/0Rgdhptwk0A3Clbu5RpYI1,170899,4
2,0.84,0.523,8,-7.446,1,0.192,0.0859,3.57e-05,0.266,0.478,139.998,audio_features,3DjqvPwAFhTZEfDxtWfvY0,spotify:track:3DjqvPwAFhTZEfDxtWfvY0,https://api.spotify.com/v1/tracks/3DjqvPwAFhTZEfDxtWfvY0,https://api.spotify.com/v1/audio-analysis/3DjqvPwAFhTZEfDxtWfvY0,152755,4
3,0.806,0.778,7,-7.36,0,0.0547,0.281,7.76e-06,0.156,0.359,104.014,audio_features,6aCAQmJMBHve3Tfelte1HR,spotify:track:6aCAQmJMBHve3Tfelte1HR,https://api.spotify.com/v1/tracks/6aCAQmJMBHve3Tfelte1HR,https://api.spotify.com/v1/audio-analysis/6aCAQmJMBHve3Tfelte1HR,170500,4
4,0.822,0.901,5,-6.012,0,0.0634,0.324,0.0426,0.0829,0.888,114.963,audio_features,7ciTcePUxWjBbaouXk7Bvf,spotify:track:7ciTcePUxWjBbaouXk7Bvf,https://api.spotify.com/v1/tracks/7ciTcePUxWjBbaouXk7Bvf,https://api.spotify.com/v1/audio-analysis/7ciTcePUxWjBbaouXk7Bvf,133765,4
5,0.764,0.694,10,-6.301,0,0.268,0.1,3.28e-06,0.315,0.675,109.923,audio_features,7eBo7oeGFWJ9GlL1Me6NuV,spotify:track:7eBo7oeGFWJ9GlL1Me6NuV,https://api.spotify.com/v1/tracks/7eBo7oeGFWJ9GlL1Me6NuV,https://api.spotify.com/v1/audio-analysis/7eBo7oeGFWJ9GlL1Me6NuV,109082,4
6,0.725,0.833,9,-4.681,0,0.0531,0.175,3.54e-05,0.0874,0.568,123.322,audio_features,0zBOXwDbCEM0Wbx3rqVdQb,spotify:track:0zBOXwDbCEM0Wbx3rqVdQb,https://api.spotify.com/v1/tracks/0zBOXwDbCEM0Wbx3rqVdQb,https://api.spotify.com/v1/audio-analysis/0zBOXwDbCEM0Wbx3rqVdQb,164937,4
7,0.874,0.825,6,-5.102,0,0.0846,0.0171,1.43e-06,0.0702,0.43,119.956,audio_features,4jhQOtHfWQq6GYkhvsAkOq,spotify:track:4jhQOtHfWQq6GYkhvsAkOq,https://api.spotify.com/v1/tracks/4jhQOtHfWQq6GYkhvsAkOq,https://api.spotify.com/v1/audio-analysis/4jhQOtHfWQq6GYkhvsAkOq,154200,4
8,0.858,0.421,11,-10.8,0,0.0776,0.221,0.0461,0.0817,0.52,105.017,audio_features,5k3I3hb3ouwr1ttrjxE13x,spotify:track:5k3I3hb3ouwr1ttrjxE13x,https://api.spotify.com/v1/tracks/5k3I3hb3ouwr1ttrjxE13x,https://api.spotify.com/v1/audio-analysis/5k3I3hb3ouwr1ttrjxE13x,151087,4
9,0.784,0.522,7,-7.057,1,0.155,0.0913,2.43e-05,0.139,0.436,95.047,audio_features,4lsNo2CCp2dUbsuOmdCj5I,spotify:track:4lsNo2CCp2dUbsuOmdCj5I,https://api.spotify.com/v1/tracks/4lsNo2CCp2dUbsuOmdCj5I,https://api.spotify.com/v1/audio-analysis/4lsNo2CCp2dUbsuOmdCj5I,146573,4
10,0.815,0.88,10,-5.42,0,0.229,0.511,0.0,0.141,0.757,112.998,audio_features,10T67LHE66qcDRKW3sqgXd,spotify:track:10T67LHE66qcDRKW3sqgXd,https://api.spotify.com/v1/tracks/10T67LHE66qcDRKW3sqgXd,https://api.spotify.com/v1/audio-analysis/10T67LHE66qcDRKW3sqgXd,161574,4
