,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.705,0.219,8,-21.638,1,0.0519,0.892,0.904,0.105,0.389,132.017,audio_features,6eZRwo6Slx7VnHi0OO253Q,spotify:track:6eZRwo6Slx7VnHi0OO253Q,https://api.spotify.com/v1/tracks/6eZRwo6Slx7VnHi0OO253Q,https://api.spotify.com/v1/audio-analysis/6eZRwo6Slx7VnHi0OO253Q,233783,4
1,0.594,0.269,0,-11.266,1,0.0399,0.424,0.779,0.107,0.0776,176.008,audio_features,5hbUbPjNhuuZBFKq5sOlDW,spotify:track:5hbUbPjNhuuZBFKq5sOlDW,https://api.spotify.com/v1/tracks/5hbUbPjNhuuZBFKq5sOlDW,https://api.spotify.com/v1/audio-analysis/5hbUbPjNhuuZBFKq5sOlDW,153226,4
2,0.395,0.807,7,-7.934,1,0.0665,0.335,0.726,0.238,0.655,138.002,audio_features,0gDypzWjp6hHkcs0OEzP3A,spotify:track:0gDypzWjp6hHkcs0OEzP3A,https://api.spotify.com/v1/tracks/0gDypzWjp6hHkcs0OEzP3A,https://api.spotify.com/v1/audio-analysis/0gDypzWjp6hHkcs0OEzP3A,198533,4
3,0.362,0.148,9,-15.935,1,0.0399,0.989,0.892,0.178,0.0371,120.944,audio_features,1wr7KOai1oBNM8XuIvmL2A,spotify:track:1wr7KOai1oBNM8XuIvmL2A,https://api.spotify.com/v1/tracks/1wr7KOai1oBNM8XuIvmL2A,https://api.spotify.com/v1/audio-analysis/1wr7KOai1oBNM8XuIvmL2A,221827,4
4,0.308,0.592,4,-10.809,1,0.0561,0.284,2.95e-06,0.161,0.449,89.703,audio_features,17d2qVvlEUCJy9mTw5PRfy,spotify:track:17d2qVvlEUCJy9mTw5PRfy,https://api.spotify.com/v1/tracks/17d2qVvlEUCJy9mTw5PRfy,https://api.spotify.com/v1/audio-analysis/17d2qVvlEUCJy9mTw5PRfy,309950,4
5,0.528,0.0781,9,-24.695,1,0.0446,0.925,0.908,0.11,0.0675,120.866,audio_features,0VB1Djbd1gnDZzhLHopYIf,spotify:track:0VB1Djbd1gnDZzhLHopYIf,https://api.spotify.com/v1/tracks/0VB1Djbd1gnDZzhLHopYIf,https://api.spotify.com/v1/audio-analysis/0VB1Djbd1gnDZzhLHopYIf,192473,4
6,0.0727,0.0121,10,-28.124,0,0.0416,0.992,0.96,0.0811,0.236,72.717,audio_features,1IN5GXBfxjj9AChKNxBIxY,spotify:track:1IN5GXBfxjj9AChKNxBIxY,https://api.spotify.com/v1/tracks/1IN5GXBfxjj9AChKNxBIxY,https://api.spotify.com/v1/audio-analysis/1IN5GXBfxjj9AChKNxBIxY,211069,4
7,0.661,0.042,2,-22.738,1,0.036,0.695,0.909,0.111,0.222,120.023,audio_features,2P6c9yFtJX4cN3vskPuRTS,spotify:track:2P6c9yFtJX4cN3vskPuRTS,https://api.spotify.com/v1/tracks/2P6c9yFtJX4cN3vskPuRTS,https://api.spotify.com/v1/audio-analysis/2P6c9yFtJX4cN3vskPuRTS,122000,4
8,0.765,0.186,9,-12.945,0,0.0503,0.929,0.925,0.105,0.595,79.984,audio_features,6z3tvdcdPzxk2YcNegF7eM,spotify:track:6z3tvdcdPzxk2YcNegF7eM,https://api.spotify.com/v1/tracks/6z3tvdcdPzxk2YcNegF7eM,https://api.spotify.com/v1/audio-analysis/6z3tvdcdPzxk2YcNegF7eM,152791,4
9,0.575,0.168,7,-24.364,1,0.093,0.975,0.907,0.381,0.424,140.054,audio_features,4PdOrGQYmE0hU5k0XjDoou,spotify:track:4PdOrGQYmE0hU5k0XjDoou,https://api.spotify.com/v1/tracks/4PdOrGQYmE0hU5k0XjDoou,https://api.spotify.com/v1/audio-analysis/4PdOrGQYmE0hU5k0XjDoou,151850,4
10,0.698,0.0625,0,-16.594,1,0.0511,0.865,0.933,0.0817,0.448,160.12,audio_features,0AvtIHB9BG8N725eCesw5F,spotify:track:0AvtIHB9BG8N725eCesw5F,https://api.spotify.com/v1/tracks/0AvtIHB9BG8N725eCesw5F,https://api.spotify.com/v1/audio-analysis/0AvtIHB9BG8N725eCesw5F,142685,3
11,0.754,0.345,4,-7.505,1,0.106,0.321,0.728,0.0971,0.4,171.995,audio_features,0Da7L0QFghgz891GlI2GJL,spotify:track:0Da7L0QFghgz891GlI2GJL,https://api.spotify.com/v1/tracks/0Da7L0QFghgz891GlI2GJL,https://api.spotify.com/v1/audio-analysis/0Da7L0QFghgz891GlI2GJL,188059,4
12,0.296,0.275,7,-13.852,1,0.0459,0.52,0.695,0.113,0.0586,80.013,audio_features,0JMeYwyjasPj4oWmM8gib3,spotify:track:0JMeYwyjasPj4oWmM8gib3,https://api.spotify.com/v1/tracks/0JMeYwyjasPj4oWmM8gib3,https://api.spotify.com/v1/audio-analysis/0JMeYwyjasPj4oWmM8gib3,248471,4
13,0.543,0.324,5,-17.121,1,0.0304,0.865,0.736,0.0768,0.0388,140.044,audio_features,4m0KL4ZBlLnhwXWGm3FvyX,spotify:track:4m0KL4ZBlLnhwXWGm3FvyX,https://api.spotify.com/v1/tracks/4m0KL4ZBlLnhwXWGm3FvyX,https://api.spotify.com/v1/audio-analysis/4m0KL4ZBlLnhwXWGm3FvyX,207375,4
14,0.175,0.0973,4,-16.949,1,0.0374,0.979,0.97,0.0697,0.0518,90.497,audio_features,24llUQZS9ieddJlB2k9xtR,spotify:track:24llUQZS9ieddJlB2k9xtR,https://api.spotify.com/v1/tracks/24llUQZS9ieddJlB2k9xtR,https://api.spotify.com/v1/audio-analysis/24llUQZS9ieddJlB2k9xtR,277428,4
15,0.565,0.338,10,-13.414,0,0.0291,0.659,0.933,0.101,0.0759,160.05,audio_features,3xg08C7H2cgIQ96lpA5gBB,spotify:track:3xg08C7H2cgIQ96lpA5gBB,https://api.spotify.com/v1/tracks/3xg08C7H2cgIQ96lpA5gBB,https://api.spotify.com/v1/audio-analysis/3xg08C7H2cgIQ96lpA5gBB,277853,4
16,0.703,0.551,2,-9.649,1,0.0298,0.264,0.401,0.0655,0.414,119.972,audio_features,4goSbam8XSjNeZnUKG6xcP,spotify:track:4goSbam8XSjNeZnUKG6xcP,https://api.spotify.com/v1/tracks/4goSbam8XSjNeZnUKG6xcP,https://api.spotify.com/v1/audio-analysis/4goSbam8XSjNeZnUKG6xcP,216500,4
