,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,audio_features,0kdqcbwei4MDWFEX5f33yG,spotify:track:0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/tracks/0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/audio-analysis/0kdqcbwei4MDWFEX5f33yG,168136,4
1,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025,audio_features,6MCjmGYlw6mQVWRFVgBRvB,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/tracks/6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840,4
2,0.756,0.578,6,-4.575,0,0.0327,0.0306,0.0,0.0534,0.677,115.004,audio_features,0teqQ0PYqVDyyXJuPOyMhu,spotify:track:0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/tracks/0teqQ0PYqVDyyXJuPOyMhu,https://api.spotify.com/v1/audio-analysis/0teqQ0PYqVDyyXJuPOyMhu,272227,4
3,0.54,0.923,9,-2.838,1,0.0623,0.066,0.0,0.124,0.343,137.977,audio_features,2jdbZGFp8KVTuk0YxDNL4l,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/tracks/2jdbZGFp8KVTuk0YxDNL4l,https://api.spotify.com/v1/audio-analysis/2jdbZGFp8KVTuk0YxDNL4l,294813,4
4,0.545,0.913,1,-3.565,1,0.0298,0.0107,0.00029,0.245,0.747,98.047,audio_features,1H3qOzheTPhE7aVvJOWfvA,spotify:track:1H3qOzheTPhE7aVvJOWfvA,https://api.spotify.com/v1/tracks/1H3qOzheTPhE7aVvJOWfvA,https://api.spotify.com/v1/audio-analysis/1H3qOzheTPhE7aVvJOWfvA,211920,4
5,0.641,0.618,0,-4.269,1,0.0259,0.0932,0.0,0.155,0.338,90.032,audio_features,7ztdl6cnbJgHRdMkKldkts,spotify:track:7ztdl6cnbJgHRdMkKldkts,https://api.spotify.com/v1/tracks/7ztdl6cnbJgHRdMkKldkts,https://api.spotify.com/v1/audio-analysis/7ztdl6cnbJgHRdMkKldkts,271160,4
6,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,5NqGfELjcdvRIUuhgZJ34W,spotify:track:5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/tracks/5NqGfELjcdvRIUuhgZJ34W,https://api.spotify.com/v1/audio-analysis/5NqGfELjcdvRIUuhgZJ34W,306627,4
7,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,audio_features,278JqkBGkjDovOYAwE8TW7,spotify:track:278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,324633,4
8,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,audio_features,3RvdkNMcSy71m0aT6UF9Uf,spotify:track:3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/tracks/3RvdkNMcSy71m0aT6UF9Uf,https://api.spotify.com/v1/audio-analysis/3RvdkNMcSy71m0aT6UF9Uf,288013,4
9,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,audio_features,3wJHCry960drNlAUGrJLmz,spotify:track:3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,198971,4
10,0.646,0.805,0,-3.422,1,0.0292,0.227,1.95e-05,0.0901,0.748,97.201,audio_features,1ihCiJaXRl4f6Sy4LJov5z,spotify:track:1ihCiJaXRl4f6Sy4LJov5z,https://api.spotify.com/v1/tracks/1ihCiJaXRl4f6Sy4LJov5z,https://api.spotify.com/v1/audio-analysis/1ihCiJaXRl4f6Sy4LJov5z,259933,4
