,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.743,0.431,9,-12.651,1,0.0345,0.709,0.0,0.0914,0.913,87.352,audio_features,6ZUoOdl1enEmiLtTdWcM4w,spotify:track:6ZUoOdl1enEmiLtTdWcM4w,https://api.spotify.com/v1/tracks/6ZUoOdl1enEmiLtTdWcM4w,https://api.spotify.com/v1/audio-analysis/6ZUoOdl1enEmiLtTdWcM4w,304000,4
1,0.591,0.75,4,-5.072,0,0.106,0.509,0.0,0.0897,0.566,87.602,audio_features,6K4iVISawI285iTxyvBIEB,spotify:track:6K4iVISawI285iTxyvBIEB,https://api.spotify.com/v1/tracks/6K4iVISawI285iTxyvBIEB,https://api.spotify.com/v1/audio-analysis/6K4iVISawI285iTxyvBIEB,193693,4
2,0.735,0.291,8,-12.718,1,0.0441,0.77,7.59e-06,0.127,0.718,97.299,audio_features,2CimHhLjxIQVLfo5T75ABN,spotify:track:2CimHhLjxIQVLfo5T75ABN,https://api.spotify.com/v1/tracks/2CimHhLjxIQVLfo5T75ABN,https://api.spotify.com/v1/audio-analysis/2CimHhLjxIQVLfo5T75ABN,150000,4
3,0.75,0.722,9,-8.854,0,0.04,0.206,0.218,0.153,0.918,93.519,audio_features,5UxSH2QqmPlfeoqspQVZEA,spotify:track:5UxSH2QqmPlfeoqspQVZEA,https://api.spotify.com/v1/tracks/5UxSH2QqmPlfeoqspQVZEA,https://api.spotify.com/v1/audio-analysis/5UxSH2QqmPlfeoqspQVZEA,258440,4
4,0.723,0.489,2,-9.652,1,0.0352,0.16,7.88e-06,0.271,0.746,100.024,audio_features,5Us6WiDjBOTyabRsOeKafH,spotify:track:5Us6WiDjBOTyabRsOeKafH,https://api.spotify.com/v1/tracks/5Us6WiDjBOTyabRsOeKafH,https://api.spotify.com/v1/audio-analysis/5Us6WiDjBOTyabRsOeKafH,222626,4
5,0.543,0.683,10,-9.075,1,0.0431,0.231,0.00088,0.329,0.924,92.72,audio_features,2br7aDq2ZMOQSqe550ZuQc,spotify:track:2br7aDq2ZMOQSqe550ZuQc,https://api.spotify.com/v1/tracks/2br7aDq2ZMOQSqe550ZuQc,https://api.spotify.com/v1/audio-analysis/2br7aDq2ZMOQSqe550ZuQc,353200,4
6,0.853,0.425,2,-13.193,0,0.0376,0.799,3.89e-05,0.0761,0.912,120.486,audio_features,226kPFir9zcjkZ1iAT6zGY,spotify:track:226kPFir9zcjkZ1iAT6zGY,https://api.spotify.com/v1/tracks/226kPFir9zcjkZ1iAT6zGY,https://api.spotify.com/v1/audio-analysis/226kPFir9zcjkZ1iAT6zGY,253400,4
7,0.752,0.917,11,-5.952,0,0.0487,0.429,0.0116,0.0633,0.96,110.013,audio_features,1xX3RmxFrlAVLib0LDSjHI,spotify:track:1xX3RmxFrlAVLib0LDSjHI,https://api.spotify.com/v1/tracks/1xX3RmxFrlAVLib0LDSjHI,https://api.spotify.com/v1/audio-analysis/1xX3RmxFrlAVLib0LDSjHI,349636,4
8,0.81,0.671,2,-8.38,1,0.0311,0.23,0.00218,0.206,0.509,133.186,audio_features,0GTa1YqNSXpye3B6shoo8m,spotify:track:0GTa1YqNSXpye3B6shoo8m,https://api.spotify.com/v1/tracks/0GTa1YqNSXpye3B6shoo8m,https://api.spotify.com/v1/audio-analysis/0GTa1YqNSXpye3B6shoo8m,453280,4
9,0.803,0.316,0,-14.505,0,0.044,0.59,0.00673,0.0749,0.777,113.632,audio_features,6dOaiI7h8VDan7YIA9OaX6,spotify:track:6dOaiI7h8VDan7YIA9OaX6,https://api.spotify.com/v1/tracks/6dOaiI7h8VDan7YIA9OaX6,https://api.spotify.com/v1/audio-analysis/6dOaiI7h8VDan7YIA9OaX6,134267,4
10,0.732,0.844,7,-4.226,1,0.0392,0.622,0.0,0.0521,0.929,95.066,audio_features,3yeza4vWwPAVbQPKxritGu,spotify:track:3yeza4vWwPAVbQPKxritGu,https://api.spotify.com/v1/tracks/3yeza4vWwPAVbQPKxritGu,https://api.spotify.com/v1/audio-analysis/3yeza4vWwPAVbQPKxritGu,232153,4
11,0.702,0.578,2,-8.062,1,0.0422,0.214,0.000208,0.268,0.623,111.477,audio_features,1uLbMNVdQmWwhKEi1LykdW,spotify:track:1uLbMNVdQmWwhKEi1LykdW,https://api.spotify.com/v1/tracks/1uLbMNVdQmWwhKEi1LykdW,https://api.spotify.com/v1/audio-analysis/1uLbMNVdQmWwhKEi1LykdW,217679,4
12,0.705,0.873,9,-6.686,0,0.0459,0.492,0.528,0.0587,0.967,155.225,audio_features,6xQUryUAHbNSRyK9qXoe6m,spotify:track:6xQUryUAHbNSRyK9qXoe6m,https://api.spotify.com/v1/tracks/6xQUryUAHbNSRyK9qXoe6m,https://api.spotify.com/v1/audio-analysis/6xQUryUAHbNSRyK9qXoe6m,309760,4
13,0.78,0.292,9,-13.144,1,0.0338,0.669,0.000199,0.0965,0.68,97.249,audio_features,2GMV6rmBO0rR9jY6ZVEOEm,spotify:track:2GMV6rmBO0rR9jY6ZVEOEm,https://api.spotify.com/v1/tracks/2GMV6rmBO0rR9jY6ZVEOEm,https://api.spotify.com/v1/audio-analysis/2GMV6rmBO0rR9jY6ZVEOEm,301000,4
14,0.826,0.747,5,-6.644,1,0.0459,0.768,0.00126,0.0712,0.901,107.506,audio_features,3XXFRze9yz6gDLHrVwSAnd,spotify:track:3XXFRze9yz6gDLHrVwSAnd,https://api.spotify.com/v1/tracks/3XXFRze9yz6gDLHrVwSAnd,https://api.spotify.com/v1/audio-analysis/3XXFRze9yz6gDLHrVwSAnd,308690,4
15,0.729,0.386,9,-14.487,0,0.0378,0.236,0.328,0.0741,0.921,122.017,audio_features,7ua8TSAa61VVXu7uJIsffl,spotify:track:7ua8TSAa61VVXu7uJIsffl,https://api.spotify.com/v1/tracks/7ua8TSAa61VVXu7uJIsffl,https://api.spotify.com/v1/audio-analysis/7ua8TSAa61VVXu7uJIsffl,289973,4
16,0.32,0.497,9,-6.864,0,0.0311,0.617,0.000958,0.125,0.503,179.431,audio_features,3DJWikRRG88jBbhGjWGE9d,spotify:track:3DJWikRRG88jBbhGjWGE9d,https://api.spotify.com/v1/tracks/3DJWikRRG88jBbhGjWGE9d,https://api.spotify.com/v1/audio-analysis/3DJWikRRG88jBbhGjWGE9d,190000,4
17,0.87,0.574,1,-7.139,1,0.415,0.845,0.00866,0.203,0.94,109.418,audio_features,3ph4nms2O3qe90PTfszAOB,spotify:track:3ph4nms2O3qe90PTfszAOB,https://api.spotify.com/v1/tracks/3ph4nms2O3qe90PTfszAOB,https://api.spotify.com/v1/audio-analysis/3ph4nms2O3qe90PTfszAOB,168240,4
18,0.805,0.428,4,-12.198,1,0.033,0.777,0.0,0.269,0.859,109.715,audio_features,070vRAgWBtWgzDtWex7Unl,spotify:track:070vRAgWBtWgzDtWex7Unl,https://api.spotify.com/v1/tracks/070vRAgWBtWgzDtWex7Unl,https://api.spotify.com/v1/audio-analysis/070vRAgWBtWgzDtWex7Unl,249000,4
19,0.695,0.455,3,-9.135,1,0.0584,0.667,6.92e-05,0.09,0.754,151.541,audio_features,2TK5hjVlLojMLsXHKLnHkd,spotify:track:2TK5hjVlLojMLsXHKLnHkd,https://api.spotify.com/v1/tracks/2TK5hjVlLojMLsXHKLnHkd,https://api.spotify.com/v1/audio-analysis/2TK5hjVlLojMLsXHKLnHkd,252020,4
20,0.83,0.636,4,-9.104,0,0.0479,0.0843,0.00344,0.119,0.672,107.974,audio_features,0iKZ6gV5y88dG8nLR815in,spotify:track:0iKZ6gV5y88dG8nLR815in,https://api.spotify.com/v1/tracks/0iKZ6gV5y88dG8nLR815in,https://api.spotify.com/v1/audio-analysis/0iKZ6gV5y88dG8nLR815in,235200,4
21,0.752,0.633,5,-3.989,1,0.0302,0.176,3.88e-05,0.105,0.796,126.853,audio_features,6ek8f65UGCZaiIBcXkexlE,spotify:track:6ek8f65UGCZaiIBcXkexlE,https://api.spotify.com/v1/tracks/6ek8f65UGCZaiIBcXkexlE,https://api.spotify.com/v1/audio-analysis/6ek8f65UGCZaiIBcXkexlE,268507,4
22,0.731,0.455,5,-9.547,1,0.065,0.713,0.0,0.23,0.886,108.495,audio_features,4HEoXMg4q0Qwn7oueNaAGL,spotify:track:4HEoXMg4q0Qwn7oueNaAGL,https://api.spotify.com/v1/tracks/4HEoXMg4q0Qwn7oueNaAGL,https://api.spotify.com/v1/audio-analysis/4HEoXMg4q0Qwn7oueNaAGL,248933,4
23,0.739,0.779,2,-8.107,0,0.369,0.357,2.01e-06,0.113,0.528,161.584,audio_features,4w633SEak9MCGW72pdLDGm,spotify:track:4w633SEak9MCGW72pdLDGm,https://api.spotify.com/v1/tracks/4w633SEak9MCGW72pdLDGm,https://api.spotify.com/v1/audio-analysis/4w633SEak9MCGW72pdLDGm,259800,4
24,0.73,0.242,0,-14.556,1,0.0349,0.789,0.00332,0.0935,0.626,99.545,audio_features,62sgTXDu3FH7tQCrLoOYqo,spotify:track:62sgTXDu3FH7tQCrLoOYqo,https://api.spotify.com/v1/tracks/62sgTXDu3FH7tQCrLoOYqo,https://api.spotify.com/v1/audio-analysis/62sgTXDu3FH7tQCrLoOYqo,266000,4
25,0.78,0.521,2,-8.114,1,0.045,0.666,0.0,0.316,0.838,133.105,audio_features,1UsJleTXq8n0EwpUjL3BgH,spotify:track:1UsJleTXq8n0EwpUjL3BgH,https://api.spotify.com/v1/tracks/1UsJleTXq8n0EwpUjL3BgH,https://api.spotify.com/v1/audio-analysis/1UsJleTXq8n0EwpUjL3BgH,142750,4
26,0.588,0.62,7,-10.438,1,0.0687,0.745,0.919,0.0714,0.56,114.91,audio_features,5XKkYopmDFm0AObYifkpTD,spotify:track:5XKkYopmDFm0AObYifkpTD,https://api.spotify.com/v1/tracks/5XKkYopmDFm0AObYifkpTD,https://api.spotify.com/v1/audio-analysis/5XKkYopmDFm0AObYifkpTD,423627,4
27,0.557,0.615,9,-8.524,1,0.152,0.561,3.61e-05,0.0463,0.815,93.321,audio_features,15tmfmsBPf6sdDyVUrqGMW,spotify:track:15tmfmsBPf6sdDyVUrqGMW,https://api.spotify.com/v1/tracks/15tmfmsBPf6sdDyVUrqGMW,https://api.spotify.com/v1/audio-analysis/15tmfmsBPf6sdDyVUrqGMW,223547,4
28,0.819,0.888,0,-4.226,0,0.035,0.499,0.0,0.0604,0.741,107.96,audio_features,4xcDYTvthm8erDDtBf25IL,spotify:track:4xcDYTvthm8erDDtBf25IL,https://api.spotify.com/v1/tracks/4xcDYTvthm8erDDtBf25IL,https://api.spotify.com/v1/audio-analysis/4xcDYTvthm8erDDtBf25IL,272882,4
29,0.869,0.529,11,-6.04,0,0.0653,0.524,0.0,0.0651,0.88,90.007,audio_features,10X7wZDTMcjWuI7CVAAvTQ,spotify:track:10X7wZDTMcjWuI7CVAAvTQ,https://api.spotify.com/v1/tracks/10X7wZDTMcjWuI7CVAAvTQ,https://api.spotify.com/v1/audio-analysis/10X7wZDTMcjWuI7CVAAvTQ,276867,4
30,0.693,0.694,6,-6.99,0,0.0376,0.732,0.0,0.157,0.915,105.285,audio_features,1OKyhZBysmOXaJa60MPLkM,spotify:track:1OKyhZBysmOXaJa60MPLkM,https://api.spotify.com/v1/tracks/1OKyhZBysmOXaJa60MPLkM,https://api.spotify.com/v1/audio-analysis/1OKyhZBysmOXaJa60MPLkM,152141,4
31,0.629,0.772,7,-8.74,1,0.0381,0.779,0.81,0.0728,0.94,96.77,audio_features,0nIfkTlMH5qf678L8Wt6fL,spotify:track:0nIfkTlMH5qf678L8Wt6fL,https://api.spotify.com/v1/tracks/0nIfkTlMH5qf678L8Wt6fL,https://api.spotify.com/v1/audio-analysis/0nIfkTlMH5qf678L8Wt6fL,420067,4
32,0.763,0.827,0,-5.306,0,0.0677,0.702,0.0,0.421,0.964,101.887,audio_features,43S6FvGrweKBDJ2IHlwBf6,spotify:track:43S6FvGrweKBDJ2IHlwBf6,https://api.spotify.com/v1/tracks/43S6FvGrweKBDJ2IHlwBf6,https://api.spotify.com/v1/audio-analysis/43S6FvGrweKBDJ2IHlwBf6,268240,4
33,0.694,0.51,1,-12.097,1,0.0361,0.692,6.36e-06,0.0722,0.962,95.142,audio_features,0PeEB0KTtlFkwAgtvZpZ0m,spotify:track:0PeEB0KTtlFkwAgtvZpZ0m,https://api.spotify.com/v1/tracks/0PeEB0KTtlFkwAgtvZpZ0m,https://api.spotify.com/v1/audio-analysis/0PeEB0KTtlFkwAgtvZpZ0m,215000,4
