,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.553,0.444,9,-7.667,1,0.123,0.07,0.00301,0.0762,0.344,127.414,audio_features,2cZ62VBKsdZ7u1kKKJdFOc,spotify:track:2cZ62VBKsdZ7u1kKKJdFOc,https://api.spotify.com/v1/tracks/2cZ62VBKsdZ7u1kKKJdFOc,https://api.spotify.com/v1/audio-analysis/2cZ62VBKsdZ7u1kKKJdFOc,187153,4
1,0.624,0.63,4,-4.48,0,0.127,0.116,0.0,0.286,0.713,134.989,audio_features,2krRK5mPFejIewRSmkTKpb,spotify:track:2krRK5mPFejIewRSmkTKpb,https://api.spotify.com/v1/tracks/2krRK5mPFejIewRSmkTKpb,https://api.spotify.com/v1/audio-analysis/2krRK5mPFejIewRSmkTKpb,192111,3
2,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,5fwSHlTEWpluwOM0Sxnh5k,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/tracks/5fwSHlTEWpluwOM0Sxnh5k,https://api.spotify.com/v1/audio-analysis/5fwSHlTEWpluwOM0Sxnh5k,287120,4
3,0.871,0.845,1,-2.931,1,0.086,0.163,2.94e-06,0.0558,0.681,122.903,audio_features,1B7qwIcI3gbPS5Mm4CBLjD,spotify:track:1B7qwIcI3gbPS5Mm4CBLjD,https://api.spotify.com/v1/tracks/1B7qwIcI3gbPS5Mm4CBLjD,https://api.spotify.com/v1/audio-analysis/1B7qwIcI3gbPS5Mm4CBLjD,155454,4
4,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,audio_features,2kz1YOhJiNubjigR1gB1VX,spotify:track:2kz1YOhJiNubjigR1gB1VX,https://api.spotify.com/v1/tracks/2kz1YOhJiNubjigR1gB1VX,https://api.spotify.com/v1/audio-analysis/2kz1YOhJiNubjigR1gB1VX,197053,4
5,0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,audio_features,6Es8Sk3xe1HiJ2MXCfHHwR,spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,https://api.spotify.com/v1/tracks/6Es8Sk3xe1HiJ2MXCfHHwR,https://api.spotify.com/v1/audio-analysis/6Es8Sk3xe1HiJ2MXCfHHwR,140625,4
6,0.882,0.934,8,-1.479,0,0.0501,0.292,0.0024,0.0549,0.611,130.032,audio_features,35FW5OEe4p38LdjK1KqT2X,spotify:track:35FW5OEe4p38LdjK1KqT2X,https://api.spotify.com/v1/tracks/35FW5OEe4p38LdjK1KqT2X,https://api.spotify.com/v1/audio-analysis/35FW5OEe4p38LdjK1KqT2X,171761,4
7,0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982,audio_features,51FvjPEGKq2zByeeEQ43V9,spotify:track:51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/tracks/51FvjPEGKq2zByeeEQ43V9,https://api.spotify.com/v1/audio-analysis/51FvjPEGKq2zByeeEQ43V9,189669,4
8,0.822,0.711,6,-4.943,1,0.0668,0.179,1.46e-05,0.083,0.934,102.984,audio_features,3cDyocF0Ibdfs1SFQk5cLZ,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ,https://api.spotify.com/v1/tracks/3cDyocF0Ibdfs1SFQk5cLZ,https://api.spotify.com/v1/audio-analysis/3cDyocF0Ibdfs1SFQk5cLZ,199947,4
9,0.795,0.762,5,-5.482,0,0.111,0.0643,0.00461,0.261,0.638,125.044,audio_features,6sMPFkWOGqEGBqnHEZ2jfy,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/tracks/6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/audio-analysis/6sMPFkWOGqEGBqnHEZ2jfy,143327,4
