,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.758,0.621,9,-8.033,1,0.125,0.0628,0.0,0.0809,0.92,79.949,audio_features,4jiYaQVHzMfKhEeLypWpNO,spotify:track:4jiYaQVHzMfKhEeLypWpNO,https://api.spotify.com/v1/tracks/4jiYaQVHzMfKhEeLypWpNO,https://api.spotify.com/v1/audio-analysis/4jiYaQVHzMfKhEeLypWpNO,142500,4
1,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,audio_features,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/tracks/3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/audio-analysis/3Ueq2zboxwAbsvHrOjdEqz,210368,4
2,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4
3,0.654,0.726,0,-5.497,1,0.194,0.0328,0.0027,0.06,0.33,125.855,audio_features,1khmgu0pveJbkbpbkyvcQv,spotify:track:1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/tracks/1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/audio-analysis/1khmgu0pveJbkbpbkyvcQv,300579,4
4,0.589,0.589,3,-6.129,1,0.0394,0.168,5.83e-05,0.0894,0.168,113.846,audio_features,4sWsyqci52cn5hwX44LeT9,spotify:track:4sWsyqci52cn5hwX44LeT9,https://api.spotify.com/v1/tracks/4sWsyqci52cn5hwX44LeT9,https://api.spotify.com/v1/audio-analysis/4sWsyqci52cn5hwX44LeT9,175687,4
5,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4
6,0.765,0.625,9,-3.599,0,0.0548,0.584,0.00111,0.112,0.262,102.101,audio_features,1FlL8ycld6uVDDyhV7P5FA,spotify:track:1FlL8ycld6uVDDyhV7P5FA,https://api.spotify.com/v1/tracks/1FlL8ycld6uVDDyhV7P5FA,https://api.spotify.com/v1/audio-analysis/1FlL8ycld6uVDDyhV7P5FA,164706,4
7,0.784,0.63,6,-4.005,0,0.0322,0.0436,0.00741,0.141,0.281,100.003,audio_features,7jL2tCE0Xn2tunqWayBkte,spotify:track:7jL2tCE0Xn2tunqWayBkte,https://api.spotify.com/v1/tracks/7jL2tCE0Xn2tunqWayBkte,https://api.spotify.com/v1/audio-analysis/7jL2tCE0Xn2tunqWayBkte,161813,4
8,0.905,0.686,0,-3.152,1,0.0664,0.0907,0.0,0.266,0.963,103.013,audio_features,11EnQRgRMJwMAesfkB5pnu,spotify:track:11EnQRgRMJwMAesfkB5pnu,https://api.spotify.com/v1/tracks/11EnQRgRMJwMAesfkB5pnu,https://api.spotify.com/v1/audio-analysis/11EnQRgRMJwMAesfkB5pnu,155825,4
9,0.786,0.819,0,-5.062,1,0.108,0.207,0.0,0.0969,0.775,94.002,audio_features,4qbi9JDziBh3cxi9SFUbeu,spotify:track:4qbi9JDziBh3cxi9SFUbeu,https://api.spotify.com/v1/tracks/4qbi9JDziBh3cxi9SFUbeu,https://api.spotify.com/v1/audio-analysis/4qbi9JDziBh3cxi9SFUbeu,187080,4
10,0.766,0.295,0,-7.893,0,0.0464,0.947,4.44e-05,0.119,0.805,136.016,audio_features,6Y46tOTRhkBamosyuWa6YX,spotify:track:6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/tracks/6Y46tOTRhkBamosyuWa6YX,https://api.spotify.com/v1/audio-analysis/6Y46tOTRhkBamosyuWa6YX,188107,4
11,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4
12,0.808,0.697,10,-5.899,1,0.241,0.041,0.0,0.0546,0.554,95.06,audio_features,5gflgO9EPbIBf16n5TKnQS,spotify:track:5gflgO9EPbIBf16n5TKnQS,https://api.spotify.com/v1/tracks/5gflgO9EPbIBf16n5TKnQS,https://api.spotify.com/v1/audio-analysis/5gflgO9EPbIBf16n5TKnQS,232020,4
13,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4
14,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,audio_features,3FkeNbs9Zeiqkr3WkbOiGp,spotify:track:3FkeNbs9Zeiqkr3WkbOiGp,https://api.spotify.com/v1/tracks/3FkeNbs9Zeiqkr3WkbOiGp,https://api.spotify.com/v1/audio-analysis/3FkeNbs9Zeiqkr3WkbOiGp,193806,4
15,0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,audio_features,6JjPBQfI2Y8nIjnm65X6Pw,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/tracks/6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747,4
16,0.921,0.927,11,-3.025,1,0.104,0.284,0.0033,0.72,0.797,129.971,audio_features,4zTSSrtsaVVjT3RZKQ1Gqn,spotify:track:4zTSSrtsaVVjT3RZKQ1Gqn,https://api.spotify.com/v1/tracks/4zTSSrtsaVVjT3RZKQ1Gqn,https://api.spotify.com/v1/audio-analysis/4zTSSrtsaVVjT3RZKQ1Gqn,219000,4
17,0.837,0.626,11,-5.674,0,0.152,0.0588,0.0,0.252,0.592,99.987,audio_features,5PXsZaT8cOxb4mXrA20PMQ,spotify:track:5PXsZaT8cOxb4mXrA20PMQ,https://api.spotify.com/v1/tracks/5PXsZaT8cOxb4mXrA20PMQ,https://api.spotify.com/v1/audio-analysis/5PXsZaT8cOxb4mXrA20PMQ,158760,4
18,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,audio_features,228BxWXUYQPJrJYHDLOHkj,spotify:track:228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/tracks/228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/audio-analysis/228BxWXUYQPJrJYHDLOHkj,192600,4
19,0.834,0.674,1,-4.23,1,0.134,0.111,0.0166,0.129,0.466,118.021,audio_features,3Rxr2lYDyYYItKfsAWC1Ow,spotify:track:3Rxr2lYDyYYItKfsAWC1Ow,https://api.spotify.com/v1/tracks/3Rxr2lYDyYYItKfsAWC1Ow,https://api.spotify.com/v1/audio-analysis/3Rxr2lYDyYYItKfsAWC1Ow,136271,4
20,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,audio_features,1dm6z1fWB0cErMszU25dy2,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/audio-analysis/1dm6z1fWB0cErMszU25dy2,230400,4
21,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,audio_features,6mICuAdrwEjh6Y6lroV2Kg,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/tracks/6mICuAdrwEjh6Y6lroV2Kg,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg,195840,4
22,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4
23,0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,audio_features,4Clmg1g8n2yBYG13Z1oSdG,spotify:track:4Clmg1g8n2yBYG13Z1oSdG,https://api.spotify.com/v1/tracks/4Clmg1g8n2yBYG13Z1oSdG,https://api.spotify.com/v1/audio-analysis/4Clmg1g8n2yBYG13Z1oSdG,189818,4
