,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.722,0.947,8,-4.045,1,0.0489,0.00599,0.671,0.0597,0.414,127.995,audio_features,7ICg4Hz9LuayHPuTfuSIsg,spotify:track:7ICg4Hz9LuayHPuTfuSIsg,https://api.spotify.com/v1/tracks/7ICg4Hz9LuayHPuTfuSIsg,https://api.spotify.com/v1/audio-analysis/7ICg4Hz9LuayHPuTfuSIsg,210000,4
1,0.701,0.879,7,-6.278,1,0.0763,0.0103,0.0187,0.172,0.154,126.007,audio_features,4DndSKZKWXbbBxi5lO4QUP,spotify:track:4DndSKZKWXbbBxi5lO4QUP,https://api.spotify.com/v1/tracks/4DndSKZKWXbbBxi5lO4QUP,https://api.spotify.com/v1/audio-analysis/4DndSKZKWXbbBxi5lO4QUP,171429,4
2,0.798,0.945,6,-8.586,0,0.0524,0.0225,0.408,0.245,0.158,123.99,audio_features,460XCntyhpuFVDyPfDGPXn,spotify:track:460XCntyhpuFVDyPfDGPXn,https://api.spotify.com/v1/tracks/460XCntyhpuFVDyPfDGPXn,https://api.spotify.com/v1/audio-analysis/460XCntyhpuFVDyPfDGPXn,200323,4
3,0.72,0.88,4,-5.455,0,0.128,0.00133,0.282,0.191,0.293,127.937,audio_features,1JugHSp1VpNZgacMwTnbsy,spotify:track:1JugHSp1VpNZgacMwTnbsy,https://api.spotify.com/v1/tracks/1JugHSp1VpNZgacMwTnbsy,https://api.spotify.com/v1/audio-analysis/1JugHSp1VpNZgacMwTnbsy,153281,4
4,0.793,0.863,10,-7.576,0,0.0489,0.0768,0.564,0.0706,0.557,128.993,audio_features,6KiGuMNPHZedaU8ALt8lQ9,spotify:track:6KiGuMNPHZedaU8ALt8lQ9,https://api.spotify.com/v1/tracks/6KiGuMNPHZedaU8ALt8lQ9,https://api.spotify.com/v1/audio-analysis/6KiGuMNPHZedaU8ALt8lQ9,152558,4
5,0.812,0.97,5,-5.821,0,0.176,0.046,0.795,0.113,0.279,128.005,audio_features,1ZU9C5s4NbM30SI7pB3Uql,spotify:track:1ZU9C5s4NbM30SI7pB3Uql,https://api.spotify.com/v1/tracks/1ZU9C5s4NbM30SI7pB3Uql,https://api.spotify.com/v1/audio-analysis/1ZU9C5s4NbM30SI7pB3Uql,156562,4
6,0.806,0.908,2,-4.582,1,0.0459,0.00727,0.555,0.0594,0.662,126.016,audio_features,2tsXwYU3LN3vTPlFu8rzyp,spotify:track:2tsXwYU3LN3vTPlFu8rzyp,https://api.spotify.com/v1/tracks/2tsXwYU3LN3vTPlFu8rzyp,https://api.spotify.com/v1/audio-analysis/2tsXwYU3LN3vTPlFu8rzyp,123809,4
7,0.771,0.921,11,-6.927,0,0.0542,0.00382,0.245,0.19,0.393,130.011,audio_features,5nZ9KC7vuQe8vy7N3M5YXj,spotify:track:5nZ9KC7vuQe8vy7N3M5YXj,https://api.spotify.com/v1/tracks/5nZ9KC7vuQe8vy7N3M5YXj,https://api.spotify.com/v1/audio-analysis/5nZ9KC7vuQe8vy7N3M5YXj,150462,4
8,0.796,0.955,4,-6.281,0,0.0573,0.0411,0.814,0.117,0.825,128.63,audio_features,6gzSd5XFpIWXWoVbS3V9ow,spotify:track:6gzSd5XFpIWXWoVbS3V9ow,https://api.spotify.com/v1/tracks/6gzSd5XFpIWXWoVbS3V9ow,https://api.spotify.com/v1/audio-analysis/6gzSd5XFpIWXWoVbS3V9ow,199687,4
9,0.793,0.952,1,-7.071,0,0.053,0.0341,0.874,0.0885,0.669,130.004,audio_features,4TbPgvEeXo4tLnBS7xpfR2,spotify:track:4TbPgvEeXo4tLnBS7xpfR2,https://api.spotify.com/v1/tracks/4TbPgvEeXo4tLnBS7xpfR2,https://api.spotify.com/v1/audio-analysis/4TbPgvEeXo4tLnBS7xpfR2,192231,4
