,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.417,0.976,2,-4.696,0,0.0665,0.000351,0.000117,0.074,0.463,186.081,audio_features,2ZhswJTKMkNNTAjrTmPhOJ,spotify:track:2ZhswJTKMkNNTAjrTmPhOJ,https://api.spotify.com/v1/tracks/2ZhswJTKMkNNTAjrTmPhOJ,https://api.spotify.com/v1/audio-analysis/2ZhswJTKMkNNTAjrTmPhOJ,255840,4
1,0.569,0.883,2,-4.41,0,0.0748,8.07e-05,7.74e-05,0.0883,0.373,134.001,audio_features,25GC50HslaaruyrKjdu0lP,spotify:track:25GC50HslaaruyrKjdu0lP,https://api.spotify.com/v1/tracks/25GC50HslaaruyrKjdu0lP,https://api.spotify.com/v1/audio-analysis/25GC50HslaaruyrKjdu0lP,291427,4
2,0.4,0.959,2,-3.258,0,0.103,0.000187,4.21e-06,0.231,0.339,149.062,audio_features,0gchQwxmBWj5no8NJ8b2yH,spotify:track:0gchQwxmBWj5no8NJ8b2yH,https://api.spotify.com/v1/tracks/0gchQwxmBWj5no8NJ8b2yH,https://api.spotify.com/v1/audio-analysis/0gchQwxmBWj5no8NJ8b2yH,230093,4
3,0.306,0.995,2,-3.203,1,0.1,2.98e-05,0.00859,0.254,0.135,127.908,audio_features,4RUmLxHGEoeyG3TU78OCLG,spotify:track:4RUmLxHGEoeyG3TU78OCLG,https://api.spotify.com/v1/tracks/4RUmLxHGEoeyG3TU78OCLG,https://api.spotify.com/v1/audio-analysis/4RUmLxHGEoeyG3TU78OCLG,247693,4
4,0.456,0.985,6,-2.949,1,0.207,0.000235,0.00368,0.103,0.183,143.006,audio_features,68osIGtVjM7QWVe6pazLHj,spotify:track:68osIGtVjM7QWVe6pazLHj,https://api.spotify.com/v1/tracks/68osIGtVjM7QWVe6pazLHj,https://api.spotify.com/v1/audio-analysis/68osIGtVjM7QWVe6pazLHj,243320,4
5,0.679,0.742,2,-7.863,0,0.029,0.036,0.0,0.0791,0.552,125.052,audio_features,5JFZ9Dn9Br9d0C3BEaO75L,spotify:track:5JFZ9Dn9Br9d0C3BEaO75L,https://api.spotify.com/v1/tracks/5JFZ9Dn9Br9d0C3BEaO75L,https://api.spotify.com/v1/audio-analysis/5JFZ9Dn9Br9d0C3BEaO75L,202102,4
6,0.437,0.863,11,-5.28,0,0.0941,0.00302,0.0,0.144,0.233,194.073,audio_features,1eMJ4MmWMtX8DfcviNyY3R,spotify:track:1eMJ4MmWMtX8DfcviNyY3R,https://api.spotify.com/v1/tracks/1eMJ4MmWMtX8DfcviNyY3R,https://api.spotify.com/v1/audio-analysis/1eMJ4MmWMtX8DfcviNyY3R,240928,4
7,0.517,0.887,10,-7.637,0,0.0732,0.000244,0.00258,0.151,0.531,166.008,audio_features,0ncHMpFGT96pis5pi4iJDm,spotify:track:0ncHMpFGT96pis5pi4iJDm,https://api.spotify.com/v1/tracks/0ncHMpFGT96pis5pi4iJDm,https://api.spotify.com/v1/audio-analysis/0ncHMpFGT96pis5pi4iJDm,321162,4
8,0.426,0.936,8,-5.52,0,0.0828,2.1e-05,0.0,0.926,0.416,158.038,audio_features,2D4LEUzvLRCQOLMxnajH72,spotify:track:2D4LEUzvLRCQOLMxnajH72,https://api.spotify.com/v1/tracks/2D4LEUzvLRCQOLMxnajH72,https://api.spotify.com/v1/audio-analysis/2D4LEUzvLRCQOLMxnajH72,219107,4
9,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,audio_features,23UoI3jlFiWdo5jadUYo69,spotify:track:23UoI3jlFiWdo5jadUYo69,https://api.spotify.com/v1/tracks/23UoI3jlFiWdo5jadUYo69,https://api.spotify.com/v1/audio-analysis/23UoI3jlFiWdo5jadUYo69,267867,4
10,0.505,0.964,7,-3.673,1,0.0718,9.97e-05,2.85e-06,0.113,0.571,138.021,audio_features,6WaYiQUPel70HUaCZj5eND,spotify:track:6WaYiQUPel70HUaCZj5eND,https://api.spotify.com/v1/tracks/6WaYiQUPel70HUaCZj5eND,https://api.spotify.com/v1/audio-analysis/6WaYiQUPel70HUaCZj5eND,229773,4
11,0.571,0.894,0,-4.561,0,0.0696,0.0441,6.15e-06,0.123,0.452,75.005,audio_features,0YiqstoUoXgePF6Oi7ySra,spotify:track:0YiqstoUoXgePF6Oi7ySra,https://api.spotify.com/v1/tracks/0YiqstoUoXgePF6Oi7ySra,https://api.spotify.com/v1/audio-analysis/0YiqstoUoXgePF6Oi7ySra,261000,4
12,0.531,0.984,3,-3.767,0,0.0652,0.0017,1.13e-05,0.361,0.386,107.036,audio_features,2G8PweZBBwTpyP8vpNQJK2,spotify:track:2G8PweZBBwTpyP8vpNQJK2,https://api.spotify.com/v1/tracks/2G8PweZBBwTpyP8vpNQJK2,https://api.spotify.com/v1/audio-analysis/2G8PweZBBwTpyP8vpNQJK2,268480,4
13,0.499,0.937,6,-2.492,1,0.0605,4.54e-05,6.11e-06,0.477,0.569,90.029,audio_features,0SnvI0twJ1Mnh0rJlBRrf0,spotify:track:0SnvI0twJ1Mnh0rJlBRrf0,https://api.spotify.com/v1/tracks/0SnvI0twJ1Mnh0rJlBRrf0,https://api.spotify.com/v1/audio-analysis/0SnvI0twJ1Mnh0rJlBRrf0,224000,4
14,0.416,0.954,11,-4.154,0,0.0618,0.00149,0.0,0.407,0.153,96.991,audio_features,6GoHTm0vZGTcs7I87HUIdX,spotify:track:6GoHTm0vZGTcs7I87HUIdX,https://api.spotify.com/v1/tracks/6GoHTm0vZGTcs7I87HUIdX,https://api.spotify.com/v1/audio-analysis/6GoHTm0vZGTcs7I87HUIdX,281333,4
15,0.39,0.939,4,-3.828,0,0.0787,5.08e-05,0.0,0.0968,0.495,161.997,audio_features,0YZEYxd1oiqZRFhnnmTKKi,spotify:track:0YZEYxd1oiqZRFhnnmTKKi,https://api.spotify.com/v1/tracks/0YZEYxd1oiqZRFhnnmTKKi,https://api.spotify.com/v1/audio-analysis/0YZEYxd1oiqZRFhnnmTKKi,205394,4
16,0.461,0.914,6,-2.814,1,0.126,0.000229,0.00076,0.0723,0.48,92.513,audio_features,7oBZzvbZNeryWbmKNnAcEL,spotify:track:7oBZzvbZNeryWbmKNnAcEL,https://api.spotify.com/v1/tracks/7oBZzvbZNeryWbmKNnAcEL,https://api.spotify.com/v1/audio-analysis/7oBZzvbZNeryWbmKNnAcEL,220042,4
17,0.428,0.943,0,-4.129,1,0.0798,0.00162,0.0,0.814,0.605,152.041,audio_features,2U64TRs9DKbGzs2fPxSGdx,spotify:track:2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/tracks/2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/audio-analysis/2U64TRs9DKbGzs2fPxSGdx,199737,4
18,0.235,0.943,2,-3.44,0,0.165,0.00881,0.0,0.359,0.0492,150.036,audio_features,582VSFPYCNvLdmXLvhoyzl,spotify:track:582VSFPYCNvLdmXLvhoyzl,https://api.spotify.com/v1/tracks/582VSFPYCNvLdmXLvhoyzl,https://api.spotify.com/v1/audio-analysis/582VSFPYCNvLdmXLvhoyzl,213640,4
19,0.446,0.927,2,-3.727,0,0.228,0.027,0.0,0.0931,0.274,160.031,audio_features,6SeFPYWv9lIlSWanyEDYf5,spotify:track:6SeFPYWv9lIlSWanyEDYf5,https://api.spotify.com/v1/tracks/6SeFPYWv9lIlSWanyEDYf5,https://api.spotify.com/v1/audio-analysis/6SeFPYWv9lIlSWanyEDYf5,299016,4
