,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.213,0.927,7,-3.378,0,0.14,0.000729,4.85e-06,0.081,0.28,162.109,audio_features,1kdiiFGX1Htx0aVZYaDwEJ,spotify:track:1kdiiFGX1Htx0aVZYaDwEJ,https://api.spotify.com/v1/tracks/1kdiiFGX1Htx0aVZYaDwEJ,https://api.spotify.com/v1/audio-analysis/1kdiiFGX1Htx0aVZYaDwEJ,348387,4
1,0.423,0.738,6,-7.329,1,0.0319,0.359,0.084,0.0801,0.276,111.414,audio_features,58RDwkonFMOkoytBtIQetc,spotify:track:58RDwkonFMOkoytBtIQetc,https://api.spotify.com/v1/tracks/58RDwkonFMOkoytBtIQetc,https://api.spotify.com/v1/audio-analysis/58RDwkonFMOkoytBtIQetc,428800,4
2,0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,audio_features,0O7lENhqOySbsL743G7PqD,spotify:track:0O7lENhqOySbsL743G7PqD,https://api.spotify.com/v1/tracks/0O7lENhqOySbsL743G7PqD,https://api.spotify.com/v1/audio-analysis/0O7lENhqOySbsL743G7PqD,224320,3
3,0.489,0.79,7,-6.154,0,0.0359,0.132,0.0372,0.0468,0.819,99.588,audio_features,08zvzy2FD1V0wFn8mhiQaH,spotify:track:08zvzy2FD1V0wFn8mhiQaH,https://api.spotify.com/v1/tracks/08zvzy2FD1V0wFn8mhiQaH,https://api.spotify.com/v1/audio-analysis/08zvzy2FD1V0wFn8mhiQaH,215533,4
4,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,audio_features,0nLiqZ6A27jJri2VCalIUs,spotify:track:0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/tracks/0nLiqZ6A27jJri2VCalIUs,https://api.spotify.com/v1/audio-analysis/0nLiqZ6A27jJri2VCalIUs,388267,3
5,0.522,0.517,9,-6.0,1,0.0415,0.00145,0.000159,0.103,0.236,129.148,audio_features,4ZzCFuFwZI0JY32L2znC8V,spotify:track:4ZzCFuFwZI0JY32L2znC8V,https://api.spotify.com/v1/tracks/4ZzCFuFwZI0JY32L2znC8V,https://api.spotify.com/v1/audio-analysis/4ZzCFuFwZI0JY32L2znC8V,472827,4
6,0.157,0.911,8,-7.918,1,0.1,7.84e-05,0.017,0.739,0.326,161.567,audio_features,12SU6QXyBMouwxEUqEYlA4,spotify:track:12SU6QXyBMouwxEUqEYlA4,https://api.spotify.com/v1/tracks/12SU6QXyBMouwxEUqEYlA4,https://api.spotify.com/v1/audio-analysis/12SU6QXyBMouwxEUqEYlA4,332256,4
7,0.619,0.724,1,-6.783,1,0.0316,0.000246,0.0584,0.312,0.445,118.509,audio_features,4mm2PAEpJqPEHNtMrHZo1s,spotify:track:4mm2PAEpJqPEHNtMrHZo1s,https://api.spotify.com/v1/tracks/4mm2PAEpJqPEHNtMrHZo1s,https://api.spotify.com/v1/audio-analysis/4mm2PAEpJqPEHNtMrHZo1s,588667,4
8,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,audio_features,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3,271240,4
9,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85e-06,0.18,0.26,118.698,audio_features,5XcZRgJv3zMhTqCyESjQrF,spotify:track:5XcZRgJv3zMhTqCyESjQrF,https://api.spotify.com/v1/tracks/5XcZRgJv3zMhTqCyESjQrF,https://api.spotify.com/v1/audio-analysis/5XcZRgJv3zMhTqCyESjQrF,270080,4
10,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,audio_features,11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,281160,4
