,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.943,0.68,10,-4.931,1,0.125,0.0289,4.17e-05,0.114,0.578,112.946,audio_features,3Jo8w8vow92GQAbBJas0I5,spotify:track:3Jo8w8vow92GQAbBJas0I5,https://api.spotify.com/v1/tracks/3Jo8w8vow92GQAbBJas0I5,https://api.spotify.com/v1/audio-analysis/3Jo8w8vow92GQAbBJas0I5,418627,4
1,0.735,0.801,3,-4.525,1,0.0437,0.178,0.000408,0.324,0.331,131.425,audio_features,4FC7GMnGwYeAjuvC83Srbs,spotify:track:4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/tracks/4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/audio-analysis/4FC7GMnGwYeAjuvC83Srbs,280947,4
2,0.819,0.928,4,-4.155,0,0.139,0.0393,2.76e-05,0.618,0.769,103.225,audio_features,2JzcEEYul9ngmGGPzvFVNL,spotify:track:2JzcEEYul9ngmGGPzvFVNL,https://api.spotify.com/v1/tracks/2JzcEEYul9ngmGGPzvFVNL,https://api.spotify.com/v1/audio-analysis/2JzcEEYul9ngmGGPzvFVNL,313200,4
3,0.538,0.698,11,-4.282,0,0.305,0.0103,3.45e-06,0.134,0.424,118.752,audio_features,35SI5zFEhOeo4XDBMwS41S,spotify:track:35SI5zFEhOeo4XDBMwS41S,https://api.spotify.com/v1/tracks/35SI5zFEhOeo4XDBMwS41S,https://api.spotify.com/v1/audio-analysis/35SI5zFEhOeo4XDBMwS41S,335147,4
4,0.739,0.96,1,-2.293,1,0.0581,0.146,3.68e-05,0.38,0.722,125.02,audio_features,4h5KB1btt2aZBq9EJHmWF4,spotify:track:4h5KB1btt2aZBq9EJHmWF4,https://api.spotify.com/v1/tracks/4h5KB1btt2aZBq9EJHmWF4,https://api.spotify.com/v1/audio-analysis/4h5KB1btt2aZBq9EJHmWF4,255987,4
5,0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,audio_features,5lWFrW5T3JtxVCLDb7etPu,spotify:track:5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/tracks/5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/audio-analysis/5lWFrW5T3JtxVCLDb7etPu,247360,4
6,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,audio_features,2bCQHF9gdG5BNDVuEIEnNk,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760,4
7,0.884,0.96,2,-4.613,1,0.0721,0.0487,0.0227,0.271,0.617,116.273,audio_features,2EI8uljBPaI23VUr2tv4eS,spotify:track:2EI8uljBPaI23VUr2tv4eS,https://api.spotify.com/v1/tracks/2EI8uljBPaI23VUr2tv4eS,https://api.spotify.com/v1/audio-analysis/2EI8uljBPaI23VUr2tv4eS,338173,4
8,0.861,0.594,5,-4.658,1,0.121,0.0153,0.000326,0.104,0.506,103.159,audio_features,4HWcWgleTuUAWnVPNwW4CM,spotify:track:4HWcWgleTuUAWnVPNwW4CM,https://api.spotify.com/v1/tracks/4HWcWgleTuUAWnVPNwW4CM,https://api.spotify.com/v1/audio-analysis/4HWcWgleTuUAWnVPNwW4CM,393307,4
9,0.877,0.781,11,-3.775,0,0.0691,0.117,0.000746,0.149,0.606,110.494,audio_features,5Fy40smNxk0j5OpFMtvfaU,spotify:track:5Fy40smNxk0j5OpFMtvfaU,https://api.spotify.com/v1/tracks/5Fy40smNxk0j5OpFMtvfaU,https://api.spotify.com/v1/audio-analysis/5Fy40smNxk0j5OpFMtvfaU,390573,4
10,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
11,0.749,0.546,8,-7.217,0,0.103,0.464,0.00191,0.126,0.454,105.232,audio_features,5OoRmdDfAiDztSwrhe7wuE,spotify:track:5OoRmdDfAiDztSwrhe7wuE,https://api.spotify.com/v1/tracks/5OoRmdDfAiDztSwrhe7wuE,https://api.spotify.com/v1/audio-analysis/5OoRmdDfAiDztSwrhe7wuE,232800,4
12,0.502,0.855,4,-3.27,0,0.0305,0.152,0.000488,0.106,0.337,86.968,audio_features,1euDTbMNRPNfKd8zZz4zTT,spotify:track:1euDTbMNRPNfKd8zZz4zTT,https://api.spotify.com/v1/tracks/1euDTbMNRPNfKd8zZz4zTT,https://api.spotify.com/v1/audio-analysis/1euDTbMNRPNfKd8zZz4zTT,328627,4
13,0.638,0.511,2,-10.041,1,0.0289,0.541,0.00478,0.26,0.68,93.108,audio_features,35lAjvsvS9k9HHuP1fjDT8,spotify:track:35lAjvsvS9k9HHuP1fjDT8,https://api.spotify.com/v1/tracks/35lAjvsvS9k9HHuP1fjDT8,https://api.spotify.com/v1/audio-analysis/35lAjvsvS9k9HHuP1fjDT8,245560,4
14,0.879,0.825,9,-4.698,0,0.0534,0.0471,0.000531,0.0648,0.9,105.857,audio_features,6U6Cr0sQTmuvPqEs8iLgPn,spotify:track:6U6Cr0sQTmuvPqEs8iLgPn,https://api.spotify.com/v1/tracks/6U6Cr0sQTmuvPqEs8iLgPn,https://api.spotify.com/v1/audio-analysis/6U6Cr0sQTmuvPqEs8iLgPn,261000,4
15,0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,audio_features,4jnFqNWeJCeCRHc4HCdxfd,spotify:track:4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/tracks/4jnFqNWeJCeCRHc4HCdxfd,https://api.spotify.com/v1/audio-analysis/4jnFqNWeJCeCRHc4HCdxfd,239227,4
16,0.85,0.957,4,-3.991,1,0.113,0.393,0.00292,0.0764,0.609,123.589,audio_features,2jQfozDpitT8lVEYoOjmeR,spotify:track:2jQfozDpitT8lVEYoOjmeR,https://api.spotify.com/v1/tracks/2jQfozDpitT8lVEYoOjmeR,https://api.spotify.com/v1/audio-analysis/2jQfozDpitT8lVEYoOjmeR,280360,4
17,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,audio_features,0sKlV58cODrjxGFOyf9IXY,spotify:track:0sKlV58cODrjxGFOyf9IXY,https://api.spotify.com/v1/tracks/0sKlV58cODrjxGFOyf9IXY,https://api.spotify.com/v1/audio-analysis/0sKlV58cODrjxGFOyf9IXY,298120,4
18,0.889,0.727,2,-5.845,1,0.0852,0.0127,0.00275,0.179,0.51,109.656,audio_features,3kFMRdbxcBkPopY8mMFmSU,spotify:track:3kFMRdbxcBkPopY8mMFmSU,https://api.spotify.com/v1/tracks/3kFMRdbxcBkPopY8mMFmSU,https://api.spotify.com/v1/audio-analysis/3kFMRdbxcBkPopY8mMFmSU,323293,4
19,0.518,0.901,9,-3.749,1,0.093,0.174,0.0314,0.0712,0.873,115.026,audio_features,7EsjkelQuoUlJXEw7SeVV4,spotify:track:7EsjkelQuoUlJXEw7SeVV4,https://api.spotify.com/v1/tracks/7EsjkelQuoUlJXEw7SeVV4,https://api.spotify.com/v1/audio-analysis/7EsjkelQuoUlJXEw7SeVV4,254933,4
20,0.807,0.741,1,-4.472,1,0.083,0.0135,0.0316,0.06,0.558,108.989,audio_features,11lw4bWbmxWIETHitBU0Gc,spotify:track:11lw4bWbmxWIETHitBU0Gc,https://api.spotify.com/v1/tracks/11lw4bWbmxWIETHitBU0Gc,https://api.spotify.com/v1/audio-analysis/11lw4bWbmxWIETHitBU0Gc,253000,4
21,0.651,0.402,11,-9.303,1,0.028,0.639,7.73e-05,0.0765,0.258,119.873,audio_features,3AoeaZs8dFemFJr3JdzOL0,spotify:track:3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/tracks/3AoeaZs8dFemFJr3JdzOL0,https://api.spotify.com/v1/audio-analysis/3AoeaZs8dFemFJr3JdzOL0,345600,4
22,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,audio_features,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,365467,4
23,0.888,0.816,11,-4.909,0,0.0404,0.233,0.00042,0.127,0.961,127.276,audio_features,5lA3pwMkBdd24StM90QrNR,spotify:track:5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/tracks/5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/audio-analysis/5lA3pwMkBdd24StM90QrNR,238733,4
24,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,audio_features,7oOOI85fVQvVnK5ynNMdW7,spotify:track:7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/tracks/7oOOI85fVQvVnK5ynNMdW7,https://api.spotify.com/v1/audio-analysis/7oOOI85fVQvVnK5ynNMdW7,220627,4
25,0.805,0.743,9,-4.895,0,0.0533,0.00534,2.84e-05,0.0901,0.822,114.074,audio_features,6J69x61f9wuyBBxjmYGFqb,spotify:track:6J69x61f9wuyBBxjmYGFqb,https://api.spotify.com/v1/tracks/6J69x61f9wuyBBxjmYGFqb,https://api.spotify.com/v1/audio-analysis/6J69x61f9wuyBBxjmYGFqb,270373,4
26,0.843,0.483,11,-10.288,0,0.095,0.0848,7.63e-06,0.0741,0.665,109.588,audio_features,6XYbMGvtl6tlPoGWaiH7EY,spotify:track:6XYbMGvtl6tlPoGWaiH7EY,https://api.spotify.com/v1/tracks/6XYbMGvtl6tlPoGWaiH7EY,https://api.spotify.com/v1/audio-analysis/6XYbMGvtl6tlPoGWaiH7EY,260667,4
