,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,audio_features,54CAG8n70kKVbFV6l1zF4G,spotify:track:54CAG8n70kKVbFV6l1zF4G,https://api.spotify.com/v1/tracks/54CAG8n70kKVbFV6l1zF4G,https://api.spotify.com/v1/audio-analysis/54CAG8n70kKVbFV6l1zF4G,237413,3
1,0.577,0.503,2,-12.784,1,0.0378,0.313,0.714,0.342,0.414,90.083,audio_features,1jICgYoQuukOtDI2jnGcJC,spotify:track:1jICgYoQuukOtDI2jnGcJC,https://api.spotify.com/v1/tracks/1jICgYoQuukOtDI2jnGcJC,https://api.spotify.com/v1/audio-analysis/1jICgYoQuukOtDI2jnGcJC,230973,4
2,0.475,0.563,4,-13.009,0,0.0355,0.0115,0.777,0.0541,0.368,179.655,audio_features,19eQWCG7R2ue0tdkXoW1zN,spotify:track:19eQWCG7R2ue0tdkXoW1zN,https://api.spotify.com/v1/tracks/19eQWCG7R2ue0tdkXoW1zN,https://api.spotify.com/v1/audio-analysis/19eQWCG7R2ue0tdkXoW1zN,300791,4
3,0.219,0.298,2,-11.52,0,0.0313,0.944,0.254,0.094,0.154,79.136,audio_features,6bk11TH82XrT5QUC1gDw9A,spotify:track:6bk11TH82XrT5QUC1gDw9A,https://api.spotify.com/v1/tracks/6bk11TH82XrT5QUC1gDw9A,https://api.spotify.com/v1/audio-analysis/6bk11TH82XrT5QUC1gDw9A,193680,3
4,0.476,0.584,10,-12.357,1,0.038,0.119,0.0,0.274,0.417,88.026,audio_features,2UKkLqST2xWpK8n1b0Xr5Z,spotify:track:2UKkLqST2xWpK8n1b0Xr5Z,https://api.spotify.com/v1/tracks/2UKkLqST2xWpK8n1b0Xr5Z,https://api.spotify.com/v1/audio-analysis/2UKkLqST2xWpK8n1b0Xr5Z,255467,4
5,0.363,0.115,0,-20.386,0,0.0352,0.984,0.975,0.135,0.188,122.598,audio_features,53Lfqp8F0KCInwcFjabMJB,spotify:track:53Lfqp8F0KCInwcFjabMJB,https://api.spotify.com/v1/tracks/53Lfqp8F0KCInwcFjabMJB,https://api.spotify.com/v1/audio-analysis/53Lfqp8F0KCInwcFjabMJB,163200,4
6,0.335,0.252,9,-16.578,1,0.0331,0.677,0.261,0.161,0.167,145.035,audio_features,74UiAwqOTEtEBcSKDIayj6,spotify:track:74UiAwqOTEtEBcSKDIayj6,https://api.spotify.com/v1/tracks/74UiAwqOTEtEBcSKDIayj6,https://api.spotify.com/v1/audio-analysis/74UiAwqOTEtEBcSKDIayj6,476267,4
7,0.537,0.523,0,-9.807,0,0.0259,0.589,0.92,0.107,0.0884,115.044,audio_features,01zd6N3yOLYqvvs1cNymlG,spotify:track:01zd6N3yOLYqvvs1cNymlG,https://api.spotify.com/v1/tracks/01zd6N3yOLYqvvs1cNymlG,https://api.spotify.com/v1/audio-analysis/01zd6N3yOLYqvvs1cNymlG,196183,4
8,0.517,0.683,7,-10.478,1,0.101,0.00697,0.442,0.0705,0.596,171.809,audio_features,3G2gxx8FkMAK3N0HC8lDLq,spotify:track:3G2gxx8FkMAK3N0HC8lDLq,https://api.spotify.com/v1/tracks/3G2gxx8FkMAK3N0HC8lDLq,https://api.spotify.com/v1/audio-analysis/3G2gxx8FkMAK3N0HC8lDLq,252600,4
9,0.702,0.694,5,-11.973,1,0.0444,0.122,0.529,0.151,0.564,108.999,audio_features,3EMpF3yoIKOdeg5DGnQNP4,spotify:track:3EMpF3yoIKOdeg5DGnQNP4,https://api.spotify.com/v1/tracks/3EMpF3yoIKOdeg5DGnQNP4,https://api.spotify.com/v1/audio-analysis/3EMpF3yoIKOdeg5DGnQNP4,335593,4
10,0.553,0.505,6,-12.207,1,0.0712,0.187,0.000241,0.2,0.677,153.955,audio_features,4oP3K8Pm70y7wZIceRx182,spotify:track:4oP3K8Pm70y7wZIceRx182,https://api.spotify.com/v1/tracks/4oP3K8Pm70y7wZIceRx182,https://api.spotify.com/v1/audio-analysis/4oP3K8Pm70y7wZIceRx182,196867,4
11,0.556,0.467,5,-12.522,0,0.0391,0.0182,0.000574,0.0496,0.203,134.074,audio_features,6aGmfnGy4r2wfGLdw7t8pQ,spotify:track:6aGmfnGy4r2wfGLdw7t8pQ,https://api.spotify.com/v1/tracks/6aGmfnGy4r2wfGLdw7t8pQ,https://api.spotify.com/v1/audio-analysis/6aGmfnGy4r2wfGLdw7t8pQ,321293,4
12,0.487,0.444,0,-10.906,0,0.0285,0.135,0.00236,0.0764,0.193,172.005,audio_features,34c9BhvNUH7DTJQptiqmMS,spotify:track:34c9BhvNUH7DTJQptiqmMS,https://api.spotify.com/v1/tracks/34c9BhvNUH7DTJQptiqmMS,https://api.spotify.com/v1/audio-analysis/34c9BhvNUH7DTJQptiqmMS,253867,4
13,0.535,0.4,5,-11.381,0,0.0322,0.0544,0.000133,0.149,0.276,73.534,audio_features,4SZelBi4Ey6IZtfXVlvbFi,spotify:track:4SZelBi4Ey6IZtfXVlvbFi,https://api.spotify.com/v1/tracks/4SZelBi4Ey6IZtfXVlvbFi,https://api.spotify.com/v1/audio-analysis/4SZelBi4Ey6IZtfXVlvbFi,203600,4
14,0.442,0.697,3,-6.884,0,0.0379,0.0167,8.29e-06,0.0792,0.368,157.932,audio_features,1dbo2DhFXJTIYwR6vBnUyW,spotify:track:1dbo2DhFXJTIYwR6vBnUyW,https://api.spotify.com/v1/tracks/1dbo2DhFXJTIYwR6vBnUyW,https://api.spotify.com/v1/audio-analysis/1dbo2DhFXJTIYwR6vBnUyW,240733,4
15,0.554,0.549,6,-13.539,0,0.0405,0.0641,0.714,0.115,0.347,137.047,audio_features,3ItolYokU2ceiiz7ffYsog,spotify:track:3ItolYokU2ceiiz7ffYsog,https://api.spotify.com/v1/tracks/3ItolYokU2ceiiz7ffYsog,https://api.spotify.com/v1/audio-analysis/3ItolYokU2ceiiz7ffYsog,358093,4
16,0.605,0.532,1,-10.872,0,0.0337,0.0919,0.000576,0.0762,0.139,102.804,audio_features,7mfvOqsvzZaUl7sfbcNk4E,spotify:track:7mfvOqsvzZaUl7sfbcNk4E,https://api.spotify.com/v1/tracks/7mfvOqsvzZaUl7sfbcNk4E,https://api.spotify.com/v1/audio-analysis/7mfvOqsvzZaUl7sfbcNk4E,235227,4
17,0.657,0.572,8,-7.303,1,0.0244,0.536,0.0241,0.0782,0.0917,102.779,audio_features,0rmg0BnI951Unz2OjbGnli,spotify:track:0rmg0BnI951Unz2OjbGnli,https://api.spotify.com/v1/tracks/0rmg0BnI951Unz2OjbGnli,https://api.spotify.com/v1/audio-analysis/0rmg0BnI951Unz2OjbGnli,233480,4
