,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.471,0.494,7,-10.407,1,0.0312,0.387,0.0944,0.617,0.373,79.255,audio_features,1Qa0Y05al633fG8f9Peytc,spotify:track:1Qa0Y05al633fG8f9Peytc,https://api.spotify.com/v1/tracks/1Qa0Y05al633fG8f9Peytc,https://api.spotify.com/v1/audio-analysis/1Qa0Y05al633fG8f9Peytc,229827,4
1,0.391,0.375,7,-12.573,1,0.046,0.0797,0.013,0.143,0.116,153.802,audio_features,0VV8wkOM4w78A2OHZOTzNP,spotify:track:0VV8wkOM4w78A2OHZOTzNP,https://api.spotify.com/v1/tracks/0VV8wkOM4w78A2OHZOTzNP,https://api.spotify.com/v1/audio-analysis/0VV8wkOM4w78A2OHZOTzNP,192773,4
2,0.41,0.361,5,-14.061,1,0.0351,0.431,0.000174,0.0779,0.134,120.0,audio_features,0Oj0TT23GBH2XuHAaSsloH,spotify:track:0Oj0TT23GBH2XuHAaSsloH,https://api.spotify.com/v1/tracks/0Oj0TT23GBH2XuHAaSsloH,https://api.spotify.com/v1/audio-analysis/0Oj0TT23GBH2XuHAaSsloH,247733,4
3,0.742,0.471,0,-10.767,1,0.0326,0.134,0.0903,0.284,0.815,124.95,audio_features,3uiMBldZ07pW0ySHDX5gzE,spotify:track:3uiMBldZ07pW0ySHDX5gzE,https://api.spotify.com/v1/tracks/3uiMBldZ07pW0ySHDX5gzE,https://api.spotify.com/v1/audio-analysis/3uiMBldZ07pW0ySHDX5gzE,354240,4
4,0.479,0.601,7,-8.806,1,0.0319,0.0823,0.00141,0.111,0.669,124.966,audio_features,1H4idkmruFoJBg1DvUv2tY,spotify:track:1H4idkmruFoJBg1DvUv2tY,https://api.spotify.com/v1/tracks/1H4idkmruFoJBg1DvUv2tY,https://api.spotify.com/v1/audio-analysis/1H4idkmruFoJBg1DvUv2tY,313027,4
5,0.503,0.739,9,-7.265,1,0.0316,0.018,0.0798,0.0949,0.414,128.917,audio_features,4D40ZlFAWsvX7lua1Kablh,spotify:track:4D40ZlFAWsvX7lua1Kablh,https://api.spotify.com/v1/tracks/4D40ZlFAWsvX7lua1Kablh,https://api.spotify.com/v1/audio-analysis/4D40ZlFAWsvX7lua1Kablh,248360,4
6,0.32,0.428,5,-14.262,1,0.0536,0.00349,0.000276,0.519,0.411,172.603,audio_features,3CCBwpqjdar1PG6HHulmD0,spotify:track:3CCBwpqjdar1PG6HHulmD0,https://api.spotify.com/v1/tracks/3CCBwpqjdar1PG6HHulmD0,https://api.spotify.com/v1/audio-analysis/3CCBwpqjdar1PG6HHulmD0,312733,4
7,0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,91.786,audio_features,5SwgE4wA0P7f6AEz2UQMB2,spotify:track:5SwgE4wA0P7f6AEz2UQMB2,https://api.spotify.com/v1/tracks/5SwgE4wA0P7f6AEz2UQMB2,https://api.spotify.com/v1/audio-analysis/5SwgE4wA0P7f6AEz2UQMB2,295147,4
8,0.563,0.521,7,-8.431,1,0.0286,0.255,1.66e-05,0.106,0.313,117.47,audio_features,3zbWdTNDBnh0hdH5l8HNwh,spotify:track:3zbWdTNDBnh0hdH5l8HNwh,https://api.spotify.com/v1/tracks/3zbWdTNDBnh0hdH5l8HNwh,https://api.spotify.com/v1/audio-analysis/3zbWdTNDBnh0hdH5l8HNwh,204320,4
9,0.369,0.413,9,-14.386,0,0.0339,0.167,0.0,0.116,0.406,94.287,audio_features,6SRTJV0dBrK2oNV6ZOJzgj,spotify:track:6SRTJV0dBrK2oNV6ZOJzgj,https://api.spotify.com/v1/tracks/6SRTJV0dBrK2oNV6ZOJzgj,https://api.spotify.com/v1/audio-analysis/6SRTJV0dBrK2oNV6ZOJzgj,235840,4
