,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.649,0.749,5,-6.282,1,0.0336,0.00487,0.0,0.0609,0.858,108.925,audio_features,4XosOpYQmXonefmkyCHuuH,spotify:track:4XosOpYQmXonefmkyCHuuH,https://api.spotify.com/v1/tracks/4XosOpYQmXonefmkyCHuuH,https://api.spotify.com/v1/audio-analysis/4XosOpYQmXonefmkyCHuuH,158040,4
1,0.704,0.574,10,-14.524,0,0.0611,0.339,0.0,0.0705,0.763,83.955,audio_features,1CQHMHRCDs1qioeseVTbaR,spotify:track:1CQHMHRCDs1qioeseVTbaR,https://api.spotify.com/v1/tracks/1CQHMHRCDs1qioeseVTbaR,https://api.spotify.com/v1/audio-analysis/1CQHMHRCDs1qioeseVTbaR,166747,4
2,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,audio_features,4ZVZBc5xvMyV3WzWktn8i7,spotify:track:4ZVZBc5xvMyV3WzWktn8i7,https://api.spotify.com/v1/tracks/4ZVZBc5xvMyV3WzWktn8i7,https://api.spotify.com/v1/audio-analysis/4ZVZBc5xvMyV3WzWktn8i7,141507,4
3,0.664,0.751,0,-5.285,1,0.064,0.555,0.000407,0.0799,0.961,117.893,audio_features,1oiFqhXJDtakpQULbBXpu0,spotify:track:1oiFqhXJDtakpQULbBXpu0,https://api.spotify.com/v1/tracks/1oiFqhXJDtakpQULbBXpu0,https://api.spotify.com/v1/audio-analysis/1oiFqhXJDtakpQULbBXpu0,234200,4
4,0.593,0.791,8,-8.698,0,0.068,0.175,0.0,0.0976,0.63,112.295,audio_features,2vLaES21zwbX1Rnmj56Bbb,spotify:track:2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/tracks/2vLaES21zwbX1Rnmj56Bbb,https://api.spotify.com/v1/audio-analysis/2vLaES21zwbX1Rnmj56Bbb,188800,4
5,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,audio_features,3IDc87lrpEHWFBASmgTgFV,spotify:track:3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/tracks/3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/audio-analysis/3IDc87lrpEHWFBASmgTgFV,193573,4
6,0.743,0.36,2,-15.189,1,0.0299,0.412,0.0018,0.146,0.736,103.821,audio_features,7bwt3onTC1MCsCfI648J44,spotify:track:7bwt3onTC1MCsCfI648J44,https://api.spotify.com/v1/tracks/7bwt3onTC1MCsCfI648J44,https://api.spotify.com/v1/audio-analysis/7bwt3onTC1MCsCfI648J44,160773,4
7,0.574,0.418,0,-10.739,1,0.0345,0.636,0.0,0.0961,0.692,104.57,audio_features,745H5CctFr12Mo7cqa1BMH,spotify:track:745H5CctFr12Mo7cqa1BMH,https://api.spotify.com/v1/tracks/745H5CctFr12Mo7cqa1BMH,https://api.spotify.com/v1/audio-analysis/745H5CctFr12Mo7cqa1BMH,165000,4
8,0.276,0.394,10,-10.04,1,0.0334,0.732,0.0,0.292,0.486,138.561,audio_features,0YfOnJWqmAKaUvEL1QcNop,spotify:track:0YfOnJWqmAKaUvEL1QcNop,https://api.spotify.com/v1/tracks/0YfOnJWqmAKaUvEL1QcNop,https://api.spotify.com/v1/audio-analysis/0YfOnJWqmAKaUvEL1QcNop,191320,5
9,0.591,0.301,0,-11.352,1,0.0345,0.826,0.0,0.124,0.418,126.923,audio_features,1P6jtqzj1b7Pan9XhI6g0H,spotify:track:1P6jtqzj1b7Pan9XhI6g0H,https://api.spotify.com/v1/tracks/1P6jtqzj1b7Pan9XhI6g0H,https://api.spotify.com/v1/audio-analysis/1P6jtqzj1b7Pan9XhI6g0H,226000,4
10,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,audio_features,4eGHlplaq1ME8oetnTuFFf,spotify:track:4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/tracks/4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/audio-analysis/4eGHlplaq1ME8oetnTuFFf,159000,4
11,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,audio_features,4qKlYv1B1XhJ7Q114Thv6m,spotify:track:4qKlYv1B1XhJ7Q114Thv6m,https://api.spotify.com/v1/tracks/4qKlYv1B1XhJ7Q114Thv6m,https://api.spotify.com/v1/audio-analysis/4qKlYv1B1XhJ7Q114Thv6m,171467,4
12,0.519,0.374,0,-8.878,1,0.0272,0.377,0.0,0.0767,0.422,111.336,audio_features,33Te0rwuoSFzoIg2qpEfNI,spotify:track:33Te0rwuoSFzoIg2qpEfNI,https://api.spotify.com/v1/tracks/33Te0rwuoSFzoIg2qpEfNI,https://api.spotify.com/v1/audio-analysis/33Te0rwuoSFzoIg2qpEfNI,216347,3
